14.1.1.30. A tartós fogyasztási cikkek éves átlagos állománya a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
2010;;;;;;;;;;;;;;;;
Hûtõszekrény;63;62;58;65;72;74;64;56;49;57;58;70;58;69;69;70
Fagyasztógép;47;25;44;54;48;47;50;43;40;14;37;48;48;43;61;70
Hûtõ- és fagyasztógép;42;39;46;41;35;27;42;51;59;43;45;35;47;44;40;42
Mikrohullámú sütõ;86;84;91;87;76;73;89;91;89;86;85;76;93;90;87;94
Mosogatógép;10;4;14;11;3;1;8;16;28;5;9;4;18;9;7;13
Mosógép;100;96;100;101;99;98;101;100;100;94;97;99;102;100;103;104
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;82;81;88;84;69;58;87;92;93;83;83;71;90;83;82;91
Mosógép szárítóval;2;2;2;2;1;1;2;2;6;1;2;1;3;0;1;2
Szárítógép;1;0;1;1;0;0;1;1;3;1;1;1;1;0;0;1
Televízió, színes;137;127;146;138;120;120;143;145;133;100;126;115;155;170;151;179
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;12;12;15;13;5;3;10;17;26;14;13;6;16;9;11;10
Digitális kamera;5;2;7;4;1;1;4;6;15;4;4;1;8;5;3;8
Digitális fényképezõgép;32;38;47;27;8;7;30;48;67;50;32;9;51;42;20;41
DVD-lejátszó és -felvevõ;53;60;73;47;19;28;57;64;66;61;54;20;79;62;43;73
E-könyv olvasó;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Házimozi-berendezés;9;11;14;6;1;4;10;11;11;11;8;1;16;3;6;11
Asztali számítógép (PC);49;59;69;43;13;19;51;65;74;52;44;13;79;67;35;75
Hordozható számítógép (laptop, notebook);19;34;26;16;4;3;14;30;51;37;17;4;30;31;11;24
Kézi számítógép (tablet, PDA);1;0;1;1;0;0;0;2;3;1;1;0;2;1;1;1
Mobiltelefon;169;187;216;161;81;110;184;189;196;150;141;78;250;200;151;268
Vezetékes telefon;54;26;44;59;70;42;52;62;72;14;42;68;47;61;68;65
Légkondicionáló;4;1;6;4;2;0;3;6;13;3;4;2;6;4;3;4
Nagyértékû riasztóberendezés;3;0;3;3;2;0;2;3;11;2;3;2;3;2;2;2
Motorkerékpár;6;5;9;6;2;4;8;6;4;5;5;2;10;4;7;11
Személygépkocsi;54;32;68;56;27;21;59;66;81;28;49;26;76;55;57;85
Ebbõl:;;;;;;;;;;;;;;;;
saját;51;32;64;53;26;20;57;62;73;26;46;26;72;54;55;83
2015;;;;;;;;;;;;;;;;
Hûtõszekrény;47;38;41;52;53;57;48;43;40;33;45;53;41;59;49;56
Fagyasztógép;40;25;36;48;44;42;45;37;35;8;29;44;41;48;53;64
Hûtõ- és fagyasztógép;58;58;63;56;51;44;58;61;67;58;58;52;64;49;61;59
Mikrohullámú sütõ;87;81;89;88;82;75;89;89;91;89;83;83;91;87;89;97
Mosogatógép;16;4;21;16;8;3;12;18;33;9;15;9;25;10;15;20
Mosógép;98;92;98;99;98;96;99;98;99;90;96;98;100;98;101;105
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;86;80;89;86;82;66;88;91;96;80;85;82;91;80;90;96
Mosógép szárítóval;1;0;2;1;1;0;1;2;1;1;2;1;1;2;2;1
Szárítógép;2;1;3;1;1;1;2;2;3;1;1;0;4;1;2;3
Televízió, színes;150;129;159;154;132;130;157;154;151;92;131;131;173;154;174;218
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;52;38;62;50;34;22;49;58;74;41;50;36;66;47;53;78
Digitális kamera;9;2;13;8;3;1;7;10;17;4;8;4;15;3;8;15
Digitális fényképezõgép;38;27;52;35;16;8;32;44;68;34;40;17;57;39;36;46
DVD-lejátszó és -felvevõ;43;31;54;45;23;22;43;50;55;33;42;25;61;46;47;57
E-könyv olvasó;3;2;5;2;1;0;2;3;9;8;4;1;6;6;3;3
Házimozi-berendezés;10;8;17;6;2;3;9;11;18;7;15;2;17;3;8;13
Asztali számítógép (PC);48;49;63;47;22;22;48;54;65;37;44;22;72;62;54;80
Hordozható számítógép (laptop, notebook);44;66;62;37;15;10;35;50;81;76;43;16;67;55;38;66
Kézi számítógép (tablet, PDA);10;8;16;7;2;3;9;11;18;7;8;2;19;7;7;19
Mobiltelefon;186;205;229;177;110;136;195;191;211;169;145;108;269;218;201;318
Vezetékes telefon;47;20;37;50;66;34;46;51;55;8;30;63;41;56;60;57
Légkondicionáló;7;3;9;7;4;1;4;8;15;6;8;4;10;1;7;5
Nagyértékû riasztóberendezés;4;2;4;4;3;0;2;4;10;2;4;3;5;5;4;3
Motorkerékpár;8;8;10;8;3;5;10;7;6;3;5;3;12;6;10;17
Személygépkocsi;59;34;73;61;34;22;57;65;90;30;55;37;82;51;73;87
Ebbõl:;;;;;;;;;;;;;;;;
saját;57;33;69;58;34;21;55;62;83;27;53;36;77;50;70;83
2016;;;;;;;;;;;;;;;;
Hûtõszekrény;41;42;36;43;49;55;44;36;34;31;36;48;37;53;42;46
Fagyasztógép;43;35;40;49;46;46;50;40;37;13;33;45;44;58;55;69
Hûtõ- és fagyasztógép;63;59;68;63;56;46;61;70;73;64;65;56;69;51;66;65
Mikrohullámú sütõ;87;81;89;88;84;75;88;91;91;80;85;84;91;88;89;98
Mosogatógép;17;8;23;17;8;3;10;20;35;12;16;9;27;12;16;20
Mosógép;99;93;99;99;99;97;100;99;99;90;97;98;100;102;101;107
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;87;83;90;87;83;68;88;94;95;81;86;83;92;91;91;96
Mosógép szárítóval;2;2;2;2;1;1;2;2;2;2;2;1;2;5;2;2
Szárítógép;3;2;5;2;1;1;2;3;7;1;2;1;7;2;2;3
Televízió, színes;156;144;166;161;135;133;163;164;157;93;136;134;183;179;176;226
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;66;64;77;68;44;28;60;76;90;41;60;45;89;58;68;97
Digitális kamera;10;11;13;8;4;1;6;11;20;5;8;4;17;12;8;13
Digitális fényképezõgép;38;34;51;35;16;8;26;46;67;30;42;17;57;32;38;45
DVD-lejátszó és -felvevõ;41;38;51;43;23;21;39;48;54;30;41;24;57;34;45;57
E-könyv olvasó;4;8;5;3;1;1;1;3;9;9;3;1;6;6;3;4
Házimozi-berendezés;9;8;14;8;2;2;8;9;18;6;14;2;15;6;8;13
Asztali számítógép (PC);48;53;61;49;23;23;44;55;65;36;46;23;70;67;53;79
Hordozható számítógép (laptop, notebook);50;72;70;43;16;12;35;59;87;75;50;18;78;63;43;78
Kézi számítógép (tablet, PDA);13;13;21;8;3;3;9;16;24;11;10;3;26;11;7;26
Mobiltelefon;190;230;234;181;114;136;195;203;213;167;150;111;277;229;198;320
Vezetékes telefon;48;25;37;51;67;36;43;53;56;13;32;63;39;66;61;60
Légkondicionáló;8;2;10;8;5;1;3;10;15;5;8;5;11;12;7;7
Nagyértékû riasztóberendezés;4;5;4;5;4;1;2;4;10;3;4;4;5;5;5;2
Motorkerékpár;7;3;10;7;3;6;10;6;6;5;7;3;11;9;8;14
Személygépkocsi;63;46;78;63;35;24;59;69;92;35;61;37;88;64;69;92
Ebbõl:;;;;;;;;;;;;;;;;
saját;59;44;73;60;35;23;57;66;85;34;58;36;82;61;67;87
2017;;;;;;;;;;;;;;;;
Hûtõszekrény;40;38;37;41;46;56;44;34;32;32;40;45;35;44;44;43
Fagyasztógép;43;37;40;49;46;43;51;41;38;16;31;47;43;51;60;63
Hûtõ- és fagyasztógép;66;57;71;64;59;48;64;72;75;59;63;59;74;60;65;76
Mikrohullámú sütõ;89;85;91;88;87;80;91;92;90;87;84;86;93;98;94;97
Mosogatógép;20;12;26;20;10;4;14;21;37;14;18;11;31;20;16;24
Mosógép;96;93;96;96;96;95;97;95;97;87;93;96;98;100;97;102
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;85;79;87;85;82;69;86;89;92;81;83;82;88;90;86;90
Mosógép szárítóval;3;2;3;3;2;1;3;3;4;1;3;2;4;6;3;3
Szárítógép;3;1;5;3;1;1;3;3;5;1;2;1;7;4;2;4
Televízió, színes;155;149;165;155;139;134;166;160;154;99;129;135;180;168;182;236
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;78;83;91;75;56;38;73;89;100;67;65;56;104;80;81;118
Digitális kamera;9;12;11;8;5;2;6;9;18;6;7;5;15;15;7;11
Digitális fényképezõgép;34;30;45;32;15;6;24;38;60;28;31;17;53;43;30;42
DVD-lejátszó és -felvevõ;36;27;44;37;21;15;35;40;48;18;35;22;49;38;39;53
E-könyv olvasó;4;4;6;3;1;0;1;4;10;7;4;1;7;12;2;3
Házimozi-berendezés;8;13;12;6;3;3;7;10;12;6;10;2;13;9;8;12
Asztali számítógép (PC);44;38;55;47;23;19;41;49;60;25;42;24;62;69;49;71
Hordozható számítógép (laptop, notebook);55;94;75;49;21;14;37;63;96;94;49;22;86;63;48;87
Kézi számítógép (tablet, PDA);18;17;28;12;4;4;15;20;29;22;13;4;34;18;10;30
Mobiltelefon;194;225;241;181;119;138;199;201;225;164;154;116;282;212;208;328
Vezetékes telefon;49;28;40;50;66;35;43;53;63;16;36;62;42;68;61;61
Légkondicionáló;8;7;9;8;6;2;4;10;15;5;8;6;11;13;7;7
Nagyértékû riasztóberendezés;5;2;5;6;4;1;2;5;11;2;4;4;6;8;5;5
Motorkerékpár;7;11;10;5;3;3;8;8;7;2;9;3;10;5;7;10
Személygépkocsi;66;52;83;66;38;24;63;73;94;29;63;40;95;70;73;92
Ebbõl:;;;;;;;;;;;;;;;;
saját;63;48;78;64;37;24;61;69;87;27;59;39;89;68;70;88
2018;;;;;;;;;;;;;;;;
Hûtõszekrény;37;33;34;38;42;51;42;31;28;29;39;41;30;45;42;45
Fagyasztógép;45;35;42;49;48;45;54;42;40;12;34;48;46;45;56;67
Hûtõ- és fagyasztógép;68;71;71;69;63;50;65;74;79;68;65;63;76;73;66;70
Mikrohullámú sütõ;92;93;93;90;90;85;94;94;92;90;86;90;96;97;92;98
Mosogatógép;23;18;29;23;14;6;16;26;40;12;20;13;37;26;20;25
Mosógép;97;97;97;96;97;94;97;97;98;92;93;97;98;101;98;98
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;86;85;87;85;85;71;87;89;93;86;82;86;89;91;87;89
Mosógép szárítóval;4;6;4;3;3;2;3;4;4;2;4;2;5;7;5;4
Szárítógép;4;3;7;3;1;1;3;5;7;2;2;1;9;2;3;7
Televízió, színes;163;164;174;165;142;138;172;167;164;102;142;140;189;202;186;218
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;94;108;109;90;69;52;90;104;116;67;82;69;125;118;96;124
Digitális kamera;8;5;10;9;5;1;5;10;16;4;8;4;14;14;7;9
Digitális fényképezõgép;29;23;37;30;17;6;22;33;51;19;29;17;42;30;30;39
DVD-lejátszó és -felvevõ;31;24;36;32;21;14;29;35;40;19;29;21;41;35;34;42
E-könyv olvasó;4;6;5;3;1;1;2;3;9;7;5;1;6;9;1;2
Házimozi-berendezés;7;3;10;6;2;4;5;8;10;5;8;2;11;7;7;5
Asztali számítógép (PC);45;41;55;49;27;22;41;51;62;23;41;28;65;62;47;69
Hordozható számítógép (laptop, notebook);59;81;78;58;27;19;43;68;98;93;55;27;87;73;60;95
Kézi számítógép (tablet, PDA);18;13;26;15;6;7;14;19;27;13;13;6;35;18;11;22
Mobiltelefon;199;251;244;190;126;150;208;203;221;155;159;122;288;251;211;322
Vezetékes telefon;51;29;42;54;66;36;44;56;64;16;39;62;45;64;61;60
Légkondicionáló;11;4;13;9;8;2;5;13;21;13;10;8;15;11;11;7
Nagyértékû riasztóberendezés;6;3;6;9;4;1;2;6;14;3;6;5;7;11;8;6
Motorkerékpár;7;6;9;7;3;5;8;7;7;0;7;3;12;3;6;7
Személygépkocsi;71;68;88;72;41;28;67;79;97;45;64;43;102;93;78;93
Ebbõl:;;;;;;;;;;;;;;;;
saját;68;63;83;69;41;27;66;74;91;43;60;42;96;85;75;86
2019;;;;;;;;;;;;;;;;
Hûtõszekrény;35;34;32;36;40;47;39;32;28;32;38;40;28;28;37;40
Fagyasztógép;46;35;42;48;51;48;55;42;38;12;34;49;46;60;58;66
Hûtõ- és fagyasztógép;69;60;72;70;64;55;67;71;79;63;63;65;77;80;71;69
Mikrohullámú sütõ;91;89;92;91;90;85;94;91;92;90;87;90;94;88;92;96
Mosogatógép;25;18;29;26;16;7;18;26;42;14;21;16;37;33;23;26
Mosógép;97;96;98;97;97;97;99;97;96;90;95;96;99;104;100;98
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;87;89;88;87;86;75;90;90;90;84;85;86;90;95;89;88
Mosógép szárítóval;4;1;5;4;3;2;3;4;6;2;4;2;6;1;3;6
Szárítógép;5;3;8;5;2;2;5;5;8;2;4;2;11;3;4;6
Televízió, színes;159;150;166;164;144;144;170;165;151;107;133;141;182;204;184;218
Ebbõl:;;;;;;;;;;0;0;0;0;0;0;0
LED-,LCD-, plazma-, lézertelevízió;104;105;121;100;79;69;105;114;115;86;88;77;134;145;119;139
Digitális kamera;8;8;11;6;3;2;4;8;15;9;7;3;13;15;5;5
Digitális fényképezõgép;24;17;30;24;14;5;16;27;41;22;25;15;33;25;23;26
DVD-lejátszó és -felvevõ;25;28;29;27;17;13;22;28;33;18;27;18;32;23;27;28
E-könyv olvasó;3;2;5;3;1;0;1;3;9;3;5;1;6;1;1;2
Házimozi-berendezés;6;7;9;6;2;3;6;7;9;7;8;2;11;0;6;5
Asztali számítógép (PC);42;36;51;43;27;22;38;47;55;27;39;28;59;53;42;61
Hordozható számítógép (laptop, notebook);67;87;87;66;31;22;50;71;109;95;66;31;97;104;64;91
Kézi számítógép (tablet, PDA);19;12;27;17;6;7;14;18;32;16;16;7;34;22;11;22
Mobiltelefon;202;243;246;193;129;162;208;205;221;170;163;125;288;260;214;323
Vezetékes telefon;50;28;40;54;65;36;46;53;59;13;38;63;42;73;60;57
Légkondicionáló;12;13;14;12;8;3;8;13;21;15;13;8;16;7;9;9
Nagyértékû riasztóberendezés;6;3;6;6;5;1;3;6;13;4;6;5;8;7;5;5
Motorkerékpár;6;6;8;5;3;4;8;6;5;3;6;3;10;5;5;10
Személygépkocsi;74;64;90;78;43;28;69;80;102;41;65;44;106;99;82;98
Ebbõl:;;;;;;;;;;;;;;;;
saját;70;60;85;74;43;28;68;76;93;41;61;44;100;95;80;94
2020;;;;;;;;;;;;;;;;
Hûtõszekrény;32;38;27;36;37;45;34;30;24;27;30;37;27;36;35;40
Fagyasztógép;44;35;39;51;48;46;53;44;33;9;30;48;45;57;61;67
Hûtõ- és fagyasztógép;74;61;78;71;70;57;73;77;82;72;72;70;79;70;77;71
Mikrohullámú sütõ;93;90;94;93;92;88;95;95;92;87;91;92;95;89;96;97
Mosogatógép;27;17;34;27;16;6;21;29;43;16;27;16;39;17;27;35
Mosógép;99;93;99;98;99;96;99;99;99;92;98;98;100;104;101;98
Ebbõl:;;;;;;;;;;;;;;;;
automata, félautomata mosógép;90;82;91;88;90;77;90;92;93;87;89;89;91;90;91;88
Mosógép szárítóval;4;3;5;4;3;1;5;5;5;2;4;3;6;10;5;5
Szárítógép;6;4;9;5;2;2;5;7;9;4;4;2;13;15;4;7
Televízió, színes;160;153;166;163;148;148;172;166;148;113;132;145;182;190;187;228
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;116;108;128;117;93;78;122;124;121;93;99;92;141;147;134;155
Digitális kamera;6;3;8;6;2;1;3;8;9;4;5;3;10;6;5;9
Digitális fényképezõgép;21;11;26;22;12;4;15;23;35;11;23;13;31;18;17;25
DVD-lejátszó és -felvevõ;21;17;24;23;15;10;21;24;23;9;22;15;26;39;23;26
E-könyv olvasó;3;0;5;3;2;0;2;4;6;3;4;2;5;1;2;2
