14.1.1.31. Az egy fõre jutó éves kiadások részletezése COICOP-csoportosítás, a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [forint/fõ/év];;;;;;;;;;;;;;;;;
Megnevezés;Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
2010;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;176 099;150 400;155 858;208 629;221 652;168 660;169 707;183 000;208 008;151 806;230 945;239 578;147 242;157 464;207 308;142 068
02;Szeszes italok, dohányáru;25 059;23 308;23 966;32 632;20 764;24 361;25 868;24 226;25 179;24 140;49 222;22 609;20 216;19 809;33 920;19 363
03;Ruházat és lábbeli (szolgáltatással együtt);30 202;29 924;32 626;31 520;19 191;15 433;25 927;39 059;63 677;42 614;40 208;21 761;31 717;30 987;24 761;23 749
04;Lakásfenntartás, háztartási energia;194 491;196 115;167 987;228 963;257 874;167 058;184 347;217 771;246 811;253 878;291 988;287 198;148 576;186 518;207 588;136 088
05;Lakberendezés, háztartásvitel;30 109;20 477;26 266;36 364;39 439;21 279;26 326;35 938;55 017;31 338;42 722;45 518;23 525;23 677;33 319;21 973
06;Egészségügy;37 831;15 932;22 173;49 610;89 069;38 079;32 021;41 036;58 245;13 120;44 052;94 751;19 307;52 292;52 778;28 657
07;Közlekedés;85 242;69 297;88 580;102 116;54 991;36 888;81 145;112 759;146 277;83 114;129 832;64 239;84 598;69 429;87 456;69 872
08;Hírközlés;46 158;41 021;43 894;54 656;45 930;26 229;43 241;58 734;74 001;49 968;66 276;51 240;41 211;49 237;45 903;38 068
09;Kultúra, szórakozás;60 450;54 094;58 644;69 386;58 114;26 623;46 802;82 440;152 437;83 714;91 564;68 433;53 957;56 869;53 873;41 398
10;Oktatás;6 934;10 183;8 092;7 034;1 741;2 043;5 105;10 907;16 935;13 860;2 554;286;9 647;21 358;1 452;9 010
11;Vendéglátás és szálláshely-szolgáltatás ;30 255;36 080;33 321;30 361;17 146;9 562;22 771;44 468;79 458;60 968;55 602;20 080;30 405;16 858;17 337;17 200
12;Egyéb termékek és szolgáltatások;49 617;30 553;45 519;61 476;54 933;30 960;42 326;63 725;92 794;41 372;72 073;63 392;42 867;42 082;55 732;33 476
;Mindösszesen;772 445;677 384;706 926;912 749;880 843;567 173;705 586;914 062;1 218 839;849 892;1 117 036;979 085;653 268;726 580;821 429;580 922
2015;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;239 715;195 941;208 108;282 101;320 632;215 551;238 279;250 311;251 340;212 512;311 536;342 565;187 387;217 145;280 310;190 815
02;Szeszes italok, dohányáru;32 307;33 200;29 474;44 901;29 682;28 275;32 986;33 358;33 496;45 017;62 109;36 466;23 378;18 098;42 493;19 834
03;Ruházat és lábbeli (szolgáltatással együtt);40 546;33 919;45 315;36 464;27 986;18 785;32 897;39 139;69 424;53 208;61 508;30 225;41 325;27 354;33 447;32 317
04;Lakásfenntartás, háztartási energia;210 062;212 834;183 936;234 115;282 316;185 200;200 721;225 425;229 836;286 204;301 547;299 741;158 087;202 823;215 342;149 039
05;Lakberendezés, háztartásvitel;39 032;29 646;34 057;43 512;54 432;26 034;36 265;37 746;54 013;40 117;50 329;57 873;31 230;31 962;40 169;26 312
06;Egészségügy;49 438;19 594;31 285;58 975;112 008;44 123;42 949;49 213;63 160;19 201;49 942;112 897;27 271;41 684;67 019;35 550
07;Közlekedés;109 275;68 728;114 904;133 608;69 256;29 341;91 686;116 631;189 552;92 193;155 669;77 757;105 720;80 953;160 987;93 428
08;Hírközlés;70 199;59 896;67 420;78 720;73 335;40 329;66 880;81 881;88 006;70 635;103 195;78 270;60 351;73 576;74 082;57 057
09;Kultúra, szórakozás;64 374;43 891;66 741;58 497;64 800;23 066;47 138;67 286;118 532;95 006;117 175;70 369;54 057;41 109;50 836;39 704
10;Oktatás;8 969;10 200;11 675;6 510;1 219;2 400;6 995;9 663;16 267;21 863;7 177;679;12 121;16 577;2 508;10 920
11;Vendéglátás és szálláshely-szolgáltatás ;35 554;31 912;42 828;24 710;20 189;14 551;25 451;37 290;64 843;86 003;66 991;21 755;34 962;25 666;15 277;24 963
12;Egyéb termékek és szolgáltatások;79 248;50 915;70 408;91 892;103 554;46 877;70 445;87 595;109 758;64 417;109 833;109 541;62 452;69 287;88 776;65 099
;Mindösszesen;978 719;790 676;906 152;1 094 005;1 159 407;674 532;892 694;1 035 538;1 288 229;1 086 376;1 397 011;1 238 138;798 341;846 235;1 071 246;745 038
2016;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;246 533;209 972;219 073;273 061;325 796;217 372;236 169;258 558;267 021;219 645;328 072;342 128;196 239;235 663;267 370;195 586
02;Szeszes italok, dohányáru;33 573;33 908;29 893;48 046;32 903;30 989;34 383;33 985;34 150;47 525;63 758;37 383;23 909;23 934;43 004;23 506
03;Ruházat és lábbeli (szolgáltatással együtt);43 031;47 537;47 875;39 540;28 214;19 170;32 321;45 021;72 982;54 579;59 981;29 985;45 617;39 002;34 252;37 093
04;Lakásfenntartás, háztartási energia;215 715;202 267;187 996;245 877;288 792;189 173;199 479;227 786;241 162;287 336;313 515;305 124;158 722;224 178;231 025;157 630
05;Lakberendezés, háztartásvitel;41 036;32 076;37 043;47 280;50 852;26 434;36 665;42 856;55 902;38 512;61 942;55 869;32 316;35 564;43 278;27 116
06;Egészségügy;51 331;27 276;33 052;57 650;114 919;45 009;42 917;49 951;68 611;20 713;53 230;116 239;27 224;50 153;72 098;34 381
07;Közlekedés;117 500;67 401;122 491;148 101;78 080;34 944;95 882;139 712;181 862;94 515;189 737;89 290;109 800;81 442;139 263;112 559
08;Hírközlés;73 673;67 729;69 428;80 401;83 456;41 162;65 055;85 871;94 545;75 980;110 146;87 426;60 760;70 491;80 175;56 970
09;Kultúra, szórakozás;68 738;50 215;71 055;67 473;64 519;27 801;42 010;69 566;133 762;107 856;129 638;71 373;57 214;44 732;59 367;38 257
10;Oktatás;9 660;18 004;12 620;5 616;1 559;2 530;4 918;12 098;18 035;17 717;10 165;1 064;12 938;8 665;2 648;13 468
11;Vendéglátás és szálláshely-szolgáltatás ;38 171;42 519;44 239;32 679;20 889;13 127;20 505;39 410;78 579;77 359;66 271;21 656;40 291;36 292;26 688;17 153
12;Egyéb termékek és szolgáltatások;83 170;48 536;74 893;95 015;107 093;46 902;66 752;88 116;126 304;73 798;112 956;112 818;65 288;88 880;101 721;59 844
;Mindösszesen;1 022 132;847 439;949 659;1 140 738;1 197 072;694 613;877 056;1 092 930;1 372 916;1 115 536;1 499 412;1 270 357;830 321;938 998;1 100 889;773 562
2017;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;273 010;217 462;242 732;315 431;349 954;248 503;264 767;276 195;296 565;266 184;371 112;364 985;215 094;267 971;310 857;214 180
