14.1.1.32. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
2010;;;;;;;;;;;;;;;;
Kenyér;44,5;47,6;40,6;50,5;52,4;61,4;44,9;35,3;27,4;37,0;55,5;54,3;39,0;42,0;51,8;41,0
Péksütemény;9,9;9,8;9,6;10,1;10,9;8,6;9,9;10,3;11,8;11,0;12,7;11,5;9,1;9,2;9,2;8,2
Egyéb cereáliák;30,8;25,5;25,9;37,7;42,8;36,8;30,5;27,7;26,2;22,3;35,6;46,1;24,9;30,9;39,4;26,3
Cereáliák összesen;85,2;82,9;76,0;98,3;106,0;106,8;85,3;73,3;65,4;70,3;103,9;111,9;73,0;82,1;100,4;75,6
Marha- és borjúhús;0,9;0,7;0,7;1,3;1,1;0,7;0,9;0,9;1,1;0,3;1,4;1,1;0,7;0,6;1,4;0,9
Sertéshús;15,7;12,9;13,8;19,4;19,1;18,3;16,0;14,5;10,9;11,0;18,5;20,2;13,4;12,5;20,9;14,7
Baromfihús;16,5;12,9;14,2;20,4;21,7;19,5;16,4;15,0;14,3;11,1;20,3;23,2;13,7;15,0;22,1;13,3
Szalámi, szárazkolbász, sonka;5,7;5,3;5,1;6,9;7,1;5,2;5,9;5,8;6,1;4,5;8,2;7,5;4,7;5,2;7,2;4,5
Egyéb hentesáru;9,5;9,7;8,7;10,6;11,1;10,4;9,6;8,9;8,0;9,1;12,8;11,8;8,2;6,9;11,1;7,8
