14.1.1.33. A gyermekes, a gyermek nélküli és az egyszemélyes háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük szerint ;;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;171 862;389 127;356 019;131 510;281 681;1 330 199;1 193 963;649 197;456 326;375 138;2 674 624;1 193 963;410 046;783 917;628 291;565 672
Adatszolgáltató háztartások száma;521;965;928;428;716;3 558;2 720;1 697;1 067;894;6 378;2 720;716;2 004;1 510;1 210
Háztartások átlagos taglétszáma;2,6;3,0;4,0;5,5;5,0;3,9;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;
Alkalmazásban állók;107 870;486 971;461 433;134 332;494 569;1 685 175;268 329;662 001;61 735;611 208;1 603 273;268 329;139 338;128 991;261 071;7 258
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;12 282;53 223;57 625;14 741;34 492;172 363;49 305;89 229;15 288;80 530;234 352;49 305;31 494;17 811;48 234;1 071
Aktív keresõk összesen;120 152;540 194;519 058;149 073;529 061;1 857 538;317 634;751 230;77 023;691 738;1 837 625;317 634;170 832;146 802;309 305;8 329
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;10 790;292 332;297 287;99 726;291 683;991 818;170 832;376 005;46 747;393 294;986 878;170 832;170 832;–;166 710;4 122
nõk;109 362;247 862;221 771;49 347;237 378;865 720;146 802;375 225;30 276;298 444;850 747;146 802;–;146 802;142 595;4 207
Nyugdíjasok összesen;12 218;43 436;19 690;4 815;138 686;218 845;722 795;269 624;774 471;257 876;2 024 766;722 795;154 468;568 327;168 416;554 379
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;2 357;22 456;10 507;2 788;57 346;95 454;154 468;139 042;350 930;116 109;760 549;154 468;154 468;–;43 083;111 385
nõk;9 861;20 980;9 183;2 027;81 340;123 391;568 327;130 582;423 541;141 767;1 264 217;568 327;–;568 327;125 333;442 994
Munkanélküliek összesen;17 472;75 069;62 808;33 940;131 115;320 404;55 320;113 797;26 140;134 515;329 772;55 320;35 660;19 660;55 320;–
Ebbõl:;;;;;;;;;;;;;;;;
férfiak;3 603;36 559;32 514;21 638;74 883;169 197;35 660;56 079;20 213;85 151;197 103;35 660;35 660;–;35 660;–
nõk;13 869;38 510;30 294;12 302;56 232;151 207;19 660;57 718;5 927;49 364;132 669;19 660;–;19 660;19 660;–
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;7 939;31 512;14 729;5 215;50 323;109 718;62 918;113 273;23 020;97 611;296 822;62 918;34 375;28 543;62 918;–
Tanuló felnõttek;484;1 850;203;–;8 513;11 050;4 311;3 273;–;18 527;26 111;4 311;2 064;2 247;4 311;–
Egyéb Inaktív felnõttek;36 477;109 701;122 250;93 038;119 364;480 830;8 928;24 577;10 205;36 729;80 439;8 928;4 494;4 434;5 964;2 964
Nem tanuló gyermekek;39 518;145 784;237 065;140 213;123 947;686 527;–;–;–;–;–;–;–;–;–;–
Tanulók összesen;204 348;219 835;448 273;298 468;300 736;1 471 660;22 057;22 620;1 793;6 499;52 969;22 057;8 153;13 904;22 057;–
Összesen;438 608;1 167 381;1 424 076;724 762;1 401 745;5 156 572;1 193 963;1 298 394;912 652;1 243 495;4 648 504;1 193 963;410 046;783 917;628 291;565 672
2015;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;187 428;365 009;310 338;127 947;238 894;1 229 616;1 381 548;650 296;504 243;374 057;2 910 144;1 381 548;580 698;800 850;738 949;642 599
Adatszolgáltató háztartások száma;270;518;457;241;445;1 931;2 354;1 045;1 165;690;5 254;2 354;684;1 670;990;1 364
Háztartások átlagos taglétszáma;2,6;3,0;4,0;5,5;5,0;3,8;1,0;2,0;2,0;3,3;1,7;1,0;1,0;1,0;1,0;1,0
