14.1.1.34. Lakással kapcsolatos adatok a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban;;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
2010;;;;;;;;;;;;;;;;
A háztartások megoszlása lakáshasználati jogcím szerint, %;;;;;;;;;;;;;;;;
Tulajdonos;83,3;85,9;90,3;85,7;95,6;88,8;81,6;86,0;95,4;95,5;87,0;81,6;76,5;84,3;77,6;86,1
Haszonélvezõ, tulajdonos rokona;6,3;3,7;2,6;4,7;0,8;3,2;7,1;2,6;2,2;1,3;4,4;7,1;5,7;7,8;5,3;9,1
Bérelt lakás bérlõi piaci áron;3,2;4,7;2,6;2,6;1,3;3,0;4,7;6,4;0,8;1,0;3,9;4,7;8,6;2,7;8,4;0,7
Bérelt lakás bérlõi nem piaci áron;6,4;5,1;2,2;4,9;2,1;3,8;4,4;3,3;1,4;2,2;3,3;4,4;6,0;3,6;5,3;3,4
Magántulajdonú lakás szívességi lakáshasználói;0,7;0,5;1,0;1,4;–;0,6;1,3;0,9;–;–;0,8;1,3;1,6;1,2;2,2;0,3
Szolgálati lakás használói;0,2;0,1;1,3;0,6;0,2;0,5;0,8;0,8;0,2;–;0,6;0,8;1,7;0,4;1,2;0,4
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások megoszlása a fûtés módja szerint, %;;;;;;;;;;;;;;;;
Nincs fûtés;–;–;–;–;–;–;–;0,1;–;–;0,0;–;–;–;–;–
Távfûtés;22,3;19,4;12,6;5,4;5,6;13,6;19,7;18,2;14,1;10,4;17,0;19,7;19,1;20,0;22,8;16,2
Egy épület több lakását fûtõ kazán gázzal, egyébbel;4,8;3,0;3,2;0,7;3,2;3,1;4,0;3,3;2,4;2,7;3,4;4,0;4,2;3,9;5,1;2,7
Cirkó-, etázsfûtés gázzal;19,8;26,1;28,8;24,0;23,3;25,2;18,8;23,8;24,4;26,7;22,1;18,8;17,9;19,3;18,4;19,3
Cirkó-, etázsfûtés egyébbel;9,5;16,7;19,6;18,9;29,4;19,4;7,2;19,5;15,9;29,7;14,8;7,2;7,2;7,2;7,4;7,1
Egyedi helyiségfûtés gázzal;23,0;17,5;14,4;17,1;12,8;16,3;28,8;18,1;23,5;13,6;23,2;28,8;25,0;30,8;26,1;31,8
Egyedi helyiségfûtés villannyal;1,6;0,7;1,0;0,2;0,7;0,8;1,4;1,0;1,6;0,6;1,3;1,4;1,4;1,5;1,2;1,7
Egyedi helyiségfûtés egyébbel (szén, fa, olaj);19,0;16,5;20,5;33,7;25,1;21,4;20,1;16,0;18,2;16,3;18,2;20,1;25,2;17,4;19,0;21,3
Mobilfûtés;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások mennyiségi és minõségi mutatói;;;;;;;;;;;;;;;;
Lakások átlagos területe, m2;73;80;90;94;99;87;65;80;79;95;75;65;64;66;63;69
Fürdõszobával rendelkezõk aránya, %;94,8;96,1;97,8;92,5;95,8;96,0;93,3;96,8;96,3;98,6;95,4;93,3;89,9;95,1;93,1;93,6
WC-vel rendelkezõk aránya, %;92,8;96,1;96,9;91,8;94,6;95,1;93,1;96,9;95,6;97,9;95,1;93,1;89,6;95,0;92,7;93,7
Folyó vízzel rendelkezõk aránya, %;97,8;98,9;98,4;96,3;97,2;98,0;97,0;98,8;98,7;99,4;98,1;97,0;95,1;98,0;96,6;97,4
Gázzal rendelkezõk aránya, %;91,5;93,7;94,5;94,1;96,1;94,2;93,3;95,0;95,8;94,9;94,3;93,3;93,0;93,5;92,0;94,7
vezetékes;72,6;77,5;74,8;62,6;70,5;73,2;76,7;78,9;83,2;77,2;78,4;76,7;70,7;79,9;75,1;78,6
palackos;18,9;16,1;19,4;31,5;25,6;20,9;16,5;16,1;12,3;17,6;15,8;16,5;22,1;13,5;16,8;16,1
tartályos;–;0,1;0,4;–;–;0,1;0,1;–;0,2;0,1;0,1;0,1;0,2;–;0,1;–
Szennyvízelvezetéssel rendelkezõk aránya, %;97,8;99,3;98,6;96,3;97,5;98,3;97,0;98,8;98,7;99,4;98,1;97,0;95,3;97,9;96,7;97,3
közcsatorna;77,2;77,1;73,0;60,1;64,8;71,7;76,8;74,2;75,7;73,5;75,5;76,8;73,8;78,4;78,7;74,7
házi csatorna;20,5;22,3;25,6;36,2;32,8;26,5;20,2;24,6;23,0;26,0;22,5;20,2;21,5;19,5;18,0;22,6
Telefonnal rendelkezõk aránya, %;97,5;98,2;98,2;94,8;98,0;97,7;91,2;97,8;97,5;99,4;95,0;91,2;88,3;92,7;92,7;89,6
2015;;;;;;;;;;;;;;;;
A háztartások megoszlása lakáshasználati jogcím szerint, %;;;;;;;;;;;;;;;;
Tulajdonos;78,8;85,8;85,4;85,1;89,8;85,3;84,1;84,5;94,2;92,5;87,0;84,1;81,2;86,3;80,8;88,0
Haszonélvezõ, tulajdonos rokona;5,1;2,1;5,2;4,8;1,7;3,6;5,7;2,4;3,5;1,3;4,0;5,7;4,5;6,5;3,9;7,7
Bérelt lakás bérlõi piaci áron;6,6;4,6;3,9;1,6;1,8;3,9;4,5;7,6;0,4;2,2;4,2;4,5;7,2;2,6;7,8;0,7
Bérelt lakás bérlõi nem piaci áron;7,1;5,0;4,1;5,3;4,3;5,0;3,6;3,8;1,8;3,5;3,3;3,6;4,6;2,8;4,4;2,6
Magántulajdonú lakás szívességi lakáshasználói;1,9;1,9;0,2;1,0;1,7;1,3;1,5;1,6;0,1;0,5;1,1;1,5;1,4;1,6;2,1;0,8
Szolgálati lakás használói;0,5;0,5;1,2;2,2;0,6;0,9;0,6;0,2;–;–;0,3;0,6;1,1;0,2;0,9;0,2
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások megoszlása a fûtés módja szerint, %;;;;;;;;;;;;;;;;
Nincs fûtés;–;–;–;–;–;–;0,1;–;0,3;–;0,1;0,1;0,2;–;–;0,2
Távfûtés;26,0;18,7;9,9;10,6;9,6;15,0;21,3;18,5;15,3;10,6;18,2;21,3;20,7;21,6;25,2;16,8
Egy épület több lakását fûtõ kazán gázzal;6,8;4,0;4,2;3,8;3,0;4,3;4,2;5,3;2,9;4,0;4,2;4,2;3,7;4,5;5,2;3,1
Egy épület több lakását fûtõ kazán egyébbel;2,7;1,5;1,4;2,7;2,2;1,9;1,1;1,7;1,4;2,0;1,4;1,1;1,6;0,7;0,8;1,3
Cirkó-, etázsfûtés gázzal;16,3;22,3;34,6;16,6;16,8;22,8;17,7;19,5;25,3;21,7;19,9;17,7;16,7;18,4;16,0;19,6
Cirkó-, etázsfûtés egyébbel;10,9;19,9;22,4;21,6;28,4;21,0;9,7;20,1;19,2;30,0;16,3;9,7;9,8;9,6;9,3;10,1
Egyedi helyiségfûtés gázzal;12,7;10,0;9,0;6,9;8,8;9,6;22,5;15,7;16,3;12,1;18,6;22,5;19,8;24,4;17,8;27,8
Egyedi helyiségfûtés villannyal;–;0,5;0,3;–;0,5;0,3;1,1;0,3;0,5;0,5;0,8;1,1;0,8;1,3;1,1;1,1
Egyedi helyiségfûtés egyébbel (szén, fa, olaj);24,4;23,2;18,2;37,9;30,8;25,1;22,4;18,9;18,8;19,1;20,6;22,4;26,7;19,3;24,4;20,1
Mobilfûtés;0,3;–;–;–;–;0,0;0,0;–;–;–;0,0;0,0;–;0,1;0,1;–
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások mennyiségi és minõségi mutatói;;;;;;;;;;;;;;;;
Lakások átlagos területe, m2;69;82;90;93;96;86;67;78;80;93;75;67;67;67;65;70
Fürdõszobával rendelkezõk aránya, %;95,7;96,4;97,9;90,7;95,3;95,9;94,9;97,7;97,7;98,2;96,4;94,9;92,5;96,6;93,5;96,6
WC-vel rendelkezõk aránya, %;95,8;95,9;97,5;89,5;95,4;95,5;94,3;96,8;97,6;97,7;95,9;94,3;92,2;95,9;92,9;96,0
Folyó vízzel rendelkezõk aránya, %;95,9;96,8;97,9;92,6;95,3;96,2;96,7;97,7;98,3;98,8;97,5;96,7;95,2;97,8;95,6;98,1
Gázzal rendelkezõk aránya, %;86,3;85,9;89,4;90,0;89,7;88,0;88,9;89,1;93,6;92,9;90,3;88,9;86,6;90,6;86,5;91,7
vezetékes;66,2;69,4;75,6;64,1;62,2;68,5;75,0;75,3;82,7;77,6;76,7;75,0;69,0;79,3;69,6;81,1
palackos;20,1;16,4;13,8;25,9;27,5;19,4;14,0;13,8;10,9;15,4;13,6;14,0;17,6;11,3;16,9;10,5
tartályos;–;0,0;–;–;–;0,0;–;0,0;–;–;0,0;–;–;–;–;–
Szennyvízelvezetéssel rendelkezõk aránya, %;96,4;98,2;97,9;91,7;95,9;96,7;97,4;97,9;98,6;98,8;97,9;97,4;96,5;98,1;96,7;98,3
közcsatorna;86,4;85,5;87,0;75,2;74,3;82,8;85,0;86,0;86,6;86,2;85,7;85,0;81,9;87,2;83,0;87,4
házi csatorna;10,1;12,8;10,9;16,5;21,6;14,0;12,4;11,9;12,0;12,6;12,3;12,4;14,6;10,8;13,7;10,9
Telefonnal rendelkezõk aránya, %;98,2;98,5;98,4;99,2;98,0;98,4;95,4;99,1;99,1;99,5;97,4;95,4;93,6;96,6;95,2;95,5
2016;;;;;;;;;;;;;;;;
A háztartások megoszlása lakáshasználati jogcím szerint, %;;;;;;;;;;;;;;;;
Tulajdonos;69,3;86,5;87,3;80,7;87,9;84,2;83,1;83,1;91,6;91,3;85,6;83,1;79,4;85,6;78,8;87,5
Haszonélvezõ, tulajdonos rokona;3,3;2,3;4,5;5,8;2,4;3,4;5,9;2,8;4,6;1,8;4,4;5,9;5,2;6,3;4,2;7,6
Bérelt lakás bérlõi piaci áron;14,0;6,6;4,4;3,9;5,5;6,4;4,7;7,9;1,4;3,9;4,7;4,7;7,9;2,5;7,9;1,4
Bérelt lakás bérlõi nem piaci áron;7,3;2,9;3,3;8,0;2,8;4,1;4,0;4,4;2,3;2,2;3,6;4,0;4,4;3,8;5,3;2,8
Magántulajdonú lakás szívességi lakáshasználói;5,6;1,2;0,3;0,7;0,2;1,2;1,8;1,5;0,1;0,4;1,3;1,8;2,5;1,4;3,0;0,5
Szolgálati lakás használói;0,5;0,4;0,3;0,8;1,2;0,6;0,5;0,3;0,1;0,4;0,4;0,5;0,8;0,3;0,8;0,2
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások megoszlása a fûtés módja szerint, %;;;;;;;;;;;;;;;;
Nincs fûtés;–;–;–;–;–;–;0,0;–;0,3;–;0,1;0,0;0,1;–;0,1;–
Távfûtés;23,9;17,5;10,3;9,2;6,3;13,2;21,3;19,6;14,9;9,8;18,4;21,3;21,1;21,5;25,5;17,0
Egy épület több lakását fûtõ kazán gázzal;4,5;2,9;3,8;3,2;3,8;3,6;4,6;4,2;2,6;3,1;4,0;4,6;4,7;4,6;5,5;3,6
Egy épület több lakását fûtõ kazán egyébbel;1,4;0,8;1,6;1,0;3,0;1,6;0,5;1,0;1,5;2,4;1,0;0,5;0,7;0,4;0,3;0,7
Cirkó-, etázsfûtés gázzal;18,1;24,3;31,0;15,2;19,8;23,4;18,1;19,5;22,6;22,1;19,7;18,1;15,8;19,7;15,6;20,6
Cirkó-, etázsfûtés egyébbel;17,0;22,6;27,5;26,0;33,9;25,9;11,4;25,1;24,5;31,9;19,3;11,4;11,4;11,3;11,4;11,3
Egyedi helyiségfûtés gázzal;11,8;8,4;9,0;7,0;8,5;8,8;20,8;13,8;14,3;10,0;16,8;20,8;18,8;22,2;16,7;25,0
Egyedi helyiségfûtés villannyal;–;0,9;0,6;0,6;0,9;0,7;2,0;1,7;0,7;1,5;1,6;2,0;2,1;1,9;2,4;1,5
Egyedi helyiségfûtés egyébbel (szén, fa, olaj);23,3;22,6;16,2;37,8;23,8;22,8;21,3;15,1;18,6;19,3;19,2;21,3;25,4;18,5;22,3;20,3
Mobilfûtés;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások mennyiségi és minõségi mutatói;;;;;;;;;;;;;;;;
Lakások átlagos területe, m2;71;84;91;94;99;88;68;78;83;93;76;68;67;68;65;70
Fürdõszobával rendelkezõk aránya, %;97,3;96,9;98,7;91,2;95,1;96,4;95,4;97,7;98,2;98,6;96,8;95,4;93,7;96,6;94,1;96,8
WC-vel rendelkezõk aránya, %;97,4;96,3;97,8;90,9;95,1;96,0;94,2;96,5;97,6;98,0;95,8;94,2;92,3;95,5;92,7;95,8
Folyó vízzel rendelkezõk aránya, %;96,1;97,6;97,2;93,4;94,2;96,1;96,0;97,9;98,4;98,8;97,2;96,0;94,3;97,1;94,7;97,3
Gázzal rendelkezõk aránya, %;87,0;89,2;92,4;92,8;93,7;91,1;89,5;89,9;94,5;94,1;91,0;89,5;87,0;91,2;86,8;92,3
vezetékes;66,6;72,2;74,1;63,6;70,5;70,7;75,1;77,0;82,2;75,5;76,9;75,1;68,9;79,4;70,4;80,1
palackos;20,4;16,9;18,4;28,8;23,1;20,3;14,3;12,9;12,2;18,6;14,1;14,3;18,1;11,8;16,4;12,2
tartályos;–;–;–;0,3;–;0,0;–;0,0;–;–;0,0;–;–;–;–;–
Szennyvízelvezetéssel rendelkezõk aránya, %;98,5;98,2;98,1;93,6;95,6;97,2;97,1;97,9;98,8;98,4;97,8;97,1;96,2;97,7;96,3;97,9
közcsatorna;88,4;88,1;86,9;76,9;81,3;85,2;85,6;88,9;88,8;87,8;87,2;85,6;81,4;88,5;83,9;87,4
házi csatorna;10,1;10,1;11,3;16,7;14,3;12,0;11,4;9,0;10,0;10,6;10,5;11,4;14,8;9,2;12,3;10,5
Telefonnal rendelkezõk aránya, %;98,8;99,5;99,7;97,9;98,9;99,1;94,3;98,9;98,0;99,1;96,6;94,3;92,2;95,8;93,8;94,9
2017;;;;;;;;;;;;;;;;
A háztartások megoszlása lakáshasználati jogcím szerint, %;;;;;;;;;;;;;;;;
Tulajdonos;68,3;86,0;87,8;82,2;89,5;84,4;81,1;84,3;93,6;93,5;85,8;81,1;78,7;82,7;77,1;85,2
Haszonélvezõ, tulajdonos rokona;5,3;2,6;4,0;11,2;1,1;4,0;6,6;3,1;3,1;1,8;4,6;6,6;5,3;7,5;4,9;8,4
Bérelt lakás bérlõi piaci áron;10,0;5,1;4,6;1,9;5,0;5,3;5,5;6,7;1,2;3,8;4,7;5,5;7,3;4,4;9,3;1,7
Bérelt lakás bérlõi nem piaci áron;14,3;4,8;1,9;4,4;2,6;4,8;4,4;4,7;2,0;0,7;3,5;4,4;5,5;3,6;5,2;3,5
Magántulajdonú lakás szívességi lakáshasználói;2,1;1,0;0,8;–;0,7;0,9;2,0;1,0;0,1;–;1,1;2,0;2,7;1,5;3,0;1,0
Szolgálati lakás használói;–;0,5;0,9;0,4;1,2;0,6;0,3;0,2;–;0,2;0,2;0,3;0,6;0,2;0,4;0,2
Összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
A lakások megoszlása a fûtés módja szerint, %;;;;;;;;;;;;;;;;
Nincs fûtés;–;–;–;–;–;–;0,1;–;0,1;–;0,1;0,1;0,2;–;0,1;–
Távfûtés;23,6;16,7;8,8;7,2;6,9;12,6;20,2;17,7;13,1;8,2;16,8;20,2;17,7;21,8;22,7;17,6
Egy épület több lakását fûtõ kazán gázzal;2,7;3,8;3,5;0,4;2,4;2,9;5,0;4,5;2,4;3,9;4,2;5,0;4,1;5,5;4,6;5,3
Egy épület több lakását fûtõ kazán egyébbel;0,2;0,7;1,7;1,6;1,1;1,1;0,5;1,0;1,2;1,8;0,9;0,5;0,7;0,4;0,4;0,7
Cirkó-, etázsfûtés gázzal;25,3;25,1;27,9;23,2;20,2;24,7;19,2;21,3;25,2;25,0;21,6;19,2;18,3;19,9;18,6;19,9
Cirkó-, etázsfûtés egyébbel;14,3;23,2;36,2;28,8;38,1;28,8;11,9;26,0;27,0;32,7;20,5;11,9;12,5;11,4;13,0;10,7
