14.1.1.38. Az aktív, a nyugdíjas és az egyéb inaktív  háztartások száma, a háztartásban élõ személyek jellemzõi jövedelemszerzõ tevékenységük, jövedelmi ötödök (kvintilisek) szerint;;;;;;;;;;;;;;;;;;
Megnevezés;Aktív háztartások: 1. jövedelmi ötöd;Aktív háztartások: 2. jövedelmi ötöd;Aktív háztartások: 3. jövedelmi ötöd;Aktív háztartások: 4. jövedelmi ötöd;Aktív háztartások: 5. jövedelmi ötöd;Aktív háztartások összesen;Nyugdíjas háztartások: 1. jövedelmi ötöd;Nyugdíjas háztartások: 2. jövedelmi ötöd;Nyugdíjas háztartások: 3. jövedelmi ötöd;Nyugdíjas háztartások: 4. jövedelmi ötöd;Nyugdíjas háztartások: 5. jövedelmi ötöd;Nyugdíjas háztartások összesen;Egyéb inaktív háztartás: 1. jövedelmi ötöd;Egyéb inaktív háztartás: 2. jövedelmi ötöd;Egyéb inaktív háztartás: 3. jövedelmi ötöd;Egyéb inaktív háztartás: 4. jövedelmi ötöd;Egyéb inaktív háztartás: 5. jövedelmi ötöd;Egyéb inaktív háztartás összesen
2010;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;312 020;439 813;438 960;458 948;700 319;2 350 060;52 645;147 768;349 886;441 253;310 350;1 301 902;176 104;74 791;43 630;38 437;19 899;352 861
Adatszolgáltató háztartások száma;858;1 127;1 111;1 117;1 769;5 982;151;357;800;995;712;3 015;505;192;115;84;43;939
Háztartások átlagos taglétszáma;4,0;3,5;3,1;2,8;2,2;3,0;2,8;1,8;1,5;1,4;1,4;1,5;3,3;1,8;1,4;1,2;1,2;2,4
A személyek száma jövedelemszerzõ tevékenységük szerint;;;;;;;;;;;;;;;;;;
Alkalmazásban állók;374 832;602 683;642 578;692 306;976 049;3 288 448;–;–;–;–;–;–;–;–;–;–;–;–
Egyéni és társas vállalkozók,segítõ családtagok, szövetkezeti tagok ;38 622;78 871;83 124;87 791;118 307;406 715;–;–;–;–;–;–;–;–;–;–;–;–
Aktív keresõk összesen;413 454;681 554;725 702;780 097;1 094 356;3 695 163;–;–;–;–;–;–;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;249 947;380 929;378 029;405 603;564 188;1 978 696;–;–;–;–;–;–;–;–;–;–;–;–
nõk;163 507;300 625;347 673;374 494;530 168;1 716 467;–;–;–;–;–;–;–;–;–;–;–;–
Nyugdíjasok összesen;29 117;97 964;117 458;127 296;134 252;506 087;63 694;192 380;480 482;583 969;416 999;1 737 524;–;–;–;–;–;–
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;11 049;41 791;48 361;58 763;61 478;221 442;31 467;71 037;170 745;196 480;164 832;634 561;–;–;–;–;–;–
nõk;18 068;56 173;69 097;68 533;72 774;284 645;32 227;121 343;309 737;387 489;252 167;1 102 963;–;–;–;–;–;–
Munkanélküliek összesen;112 769;91 893;55 037;35 403;28 403;323 505;26 654;30 378;15 360;7 718;2 638;82 748;169 446;41 643;15 219;9 526;8 089;243 923
Ebbõl:;;;;;;;;;;;;;;;;;;
férfiak;55 067;49 467;29 768;17 928;13 360;165 590;15 981;21 972;10 141;4 561;560;53 215;103 279;25 181;8 391;5 489;5 155;147 495
nõk;57 702;42 426;25 269;17 475;15 043;157 915;10 673;8 406;5 219;3 157;2 078;29 533;66 167;16 462;6 828;4 037;2 934;96 428
Fogyatékosok és/vagy munkaképtelenek egészségügyi okból;32 424;51 066;46 477;32 797;21 498;184 262;7 372;19 317;28 122;12 603;5 007;72 421;50 027;42 794;27 393;20 551;9 092;149 857
Tanuló felnõttek;3 440;3 667;5 316;4 623;12 336;29 382;547;–;–;927;–;1 474;646;738;1 662;1 823;1 436;6 305
Egyéb Inaktív felnõttek;129 925;118 684;66 172;50 768;36 480;402 029;17 166;13 646;5 514;2 182;895;39 403;98 372;12 999;2 189;4 485;1 792;119 837
Nem tanuló gyermekek;178 491;150 015;96 534;75 635;56 001;556 676;6 296;3 109;–;593;–;9 998;109 194;7 073;849;2 351;386;119 853
Tanulók, hallgatók;334 692;357 746;247 659;194 199;125 579;1 259 875;23 197;13 006;9 216;4 532;3 173;53 124;154 536;30 200;15 317;8 577;3 000;211 630
Összesen;1 234 312;1 552 589;1 360 355;1 300 818;1 508 905;6 956 979;144 926;271 836;538 694;612 524;428 712;1 996 692;582 221;135 447;62 629;47 313;23 795;851 405
2015;;;;;;;;;;;;;;;;;;
A háztartások száma;;;;;;;;;;;;;;;;;;
Háztartások felszorzott száma;392 054;497 177;495 529;510 315;724 620;2 619 695;61 200;145 112;316 494;386 252;346 821;1 255 879;138 451;55 709;34 551;25 198;10 277;264 186
Adatszolgáltató háztartások száma;688;841;793;771;847;3 940;147;372;786;862;700;2 867;210;79;50;27;12;378
