17.2.1.1. Summary data of external trade in goods monthly;;;;;;;
Year;Period, quarters;Value, at current prices billion HUF;Value, at current prices million USD;Value, at current prices million EUR;Value index calculated from data in HUF same period of previous year = 100.0%;Value index calculated from data in USD same period of previous year = 100.0%;Value index calculated from data in EUR same period of previous year = 100.0%
Imports;;;;;;;
2018.;January;2 435;9 501;7 848;109,6;125,2;109,3
;February;2 391;9 494;7 685;105,4;121,1;104,4
;March;2 662;10 511;8 523;99,2;113,8;98,3
;April;2 515;9 917;8 072;116,4;132,9;116,1
;May;2 687;10 187;8 525;105,0;112,8;103,5
;June;2 758;10 020;8 572;113,0;112,9;108,4
;July;2 631;9 453;8 113;117,4;113,5;111,3
;August;2 584;9 251;7 997;113,4;105,4;107,0
;September;2 745;9 852;8 463;113,1;104,9;107,1
;October;2 991;10 664;9 237;115,7;108,1;110,6
;November;2 915;10 279;9 039;111,8;104,5;107,9
;December;2 342;8 263;7 260;108,4;101,4;105,2
2019.;January;2 771;9 859;8 639;113,8;103,8;110,1
;February;2 657;9 482;8 354;111,1;99,9;108,7
;March;2 892;10 347;9 143;108,7;98,4;107,3
;April;2 799;9 892;8 776;111,3;99,7;108,7
;May;2 887;10 005;8 919;107,5;98,2;104,6
;June;2 700;9 381;8 335;97,9;93,6;97,2
;July;2 902;10 016;8 931;110,3;106,0;110,1
;August;2 636;8 984;8 071;102,0;97,1;100,9
;September;3 051;10 169;9 216;111,1;103,2;108,9
;October;3 253;10 820;9 797;108,8;101,5;106,1
;November;3 049;10 138;9 157;104,6;98,6;101,3
;December;2 460;8 240;7 423;105,1;99,7;102,2
2020.;January;3 006;10 018;9 019;108,5;101,6;104,4
;February;2 830;9 202;8 401;106,5;97,0;100,6
;March;2 990;9 595;8 724;103,4;92,7;95,4
;April;2 202;6 778;6 216;78,7;68,5;70,8
;May;2 329;7 199;6 617;80,7;72,0;74,2
;June;2 748;8 816;7 892;101,8;94,0;94,7
;July;2 952;9 634;8 452;101,7;96,2;94,6
;August;2 670;8 983;7 645;101,3;100,0;94,7
;September;3 283;10 867;9 183;107,6;106,9;99,6
;October;3 397;10 992;9 357;104,4;101,6;95,5
;November;3 507;11 494;9 708;115,0;113,4;106,0
;December;2 934;9 854;8 156;119,2;119,6;109,9
2021.;January;2 878;9 737;7 995;95,8;97,2;88,6
;February;3 191;10 792;8 915;112,7;117,3;106,1
;March;3 756;12 333;10 324;125,6;128,5;118,3
;April;3 453;11 380;9 534;156,8;167,9;153,4
;May;3 360;11 413;9 428;144,3;158,5;142,5
;June;3 488;12 048;9 961;126,9;136,7;126,2
;July;3 462;11 561;9 752;117,3;120,0;115,4
;August;3 217;10 695;9 081;120,5;119,0;118,8
;September;3 676;12 281;10 445;112,0;113,0;113,7
;October;3 820;12 387;10 642;112,5;112,7;113,7
;November;4 076;12 829;11 190;116,2;111,6;115,3
;December;3 791;11 687;10 339;129,2;118,6;126,8
2022.;January;3 891;12 181;10 768;135,2;125,1;134,7
;February;4 162;13 197;11 646;130,4;122,3;130,6
;March;4 859;14 222;12 901;129,3;115,3;125,0
;April;4 373;12 622;11 655;126,6;110,9;122,2
;May;4 730;13 248;12 433;140,8;116,1;131,9
;June;4 897;13 132;12 447;140,4;109,0;125,0
;July;4 860;12 438;12 100;140,4;107,6;124,1
;August;5 219;13 230;13 022;162,2;123,7;143,4
;September;5 735;13 999;14 112;156,0;114,0;135,1
;October;5 525;13 177;13 375;144,6;106,4;125,7
;November;;;;;;
;December;;;;;;
Exports;;;;;;;
2018.;January;2 622;10 251;8 455;110,5;126,3;110,2
;February;2 653;10 535;8 527;105,7;121,5;104,8
;March;2 880;11 370;9 220;98,1;112,4;97,1
;April;2 665;10 510;8 555;110,4;126,0;110,2
;May;2 844;10 754;9 016;100,7;107,7;99,2
;June;3 078;11 172;9 560;113,8;113,5;109,0
;July;2 716;9 757;8 370;116,7;112,7;110,5
;August;2 564;9 176;7 935;106,4;98,7;100,3
;September;2 805;10 068;8 644;102,9;95,5;97,5
;October;3 061;10 893;9 451;111,4;104,0;106,5
;November;3 057;10 776;9 480;108,4;101,3;104,6
;December;2 465;8 697;7 642;105,4;98,5;102,3
2019.;January;2 881;10 264;8 992;109,9;100,1;106,3
;February;2 892;10 318;9 091;109,0;97,9;106,6
;March;3 074;10 996;9 719;106,7;96,7;105,4
;April;2 865;10 092;8 962;107,5;96,0;104,8
;May;3 084;10 663;9 514;108,4;99,2;105,5
;June;2 862;9 965;8 846;93,0;89,2;92,5
;July;2 928;10 105;9 009;107,8;103,6;107,6
;August;2 642;9 000;8 086;103,0;98,1;101,9
;September;3 212;10 688;9 693;114,5;106,2;112,1
;October;3 379;11 239;10 176;110,4;103,2;107,7
;November;3 160;10 498;9 486;103,4;97,4;100,1
;December;2 492;8 351;7 521;101,1;96,0;98,4
2020.;January;3 094;10 299;9 274;107,4;100,3;103,1
;February;3 211;10 429;9 528;111,0;101,1;104,8
;March;3 108;9 971;9 057;101,1;90,7;93,2
;April;2 008;6 162;5 658;70,1;61,1;63,1
;May;2 401;7 431;6 827;77,8;69,7;71,8
;June;2 999;9 659;8 618;104,8;96,9;97,4
;July;3 021;9 859;8 638;103,2;97,6;95,9
;August;2 789;9 404;7 989;105,6;104,5;98,8
