17.2.3.1. Külkereskedelmi termékforgalom, behozatal havonta [millió euró];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Idõszak;Ausztria;Belgium;Bulgária;Ciprus;Csehország;Dánia;Észtország;Finnország;Franciaország;Görögország;Hollandia;Horvátország;Írország;Lengyelország;Lettország;Litvánia;Luxemburg;Magyarország;Málta;Németország;Olaszország;Portugália;Románia;Spanyolország;Svédország;Szlovákia;Szlovénia;EU27_2020
2018.;január;12 949;32 676;2 579;620;13 016;7 551;1 254;5 445;48 393;4 467;46 150;1 751;6 481;18 407;1 162;2 358;1 701;8 125;464;89 425;35 270;6 029;6 195;27 541;12 097;5 982;2 865;400 951
;február;12 636;30 277;2 326;608;11 760;6 635;1 201;5 169;45 169;3 927;42 039;1 718;6 458;17 834;1 203;2 279;1 589;7 837;379;86 015;33 263;5 649;6 342;25 360;11 180;6 126;2 709;377 687
;március;15 043;34 103;2 611;728;12 834;7 272;1 342;5 729;49 702;4 459;45 186;2 240;7 164;19 583;1 313;2 591;1 856;8 710;453;90 950;37 190;6 313;7 165;28 494;11 914;6 591;3 125;414 660
;április;13 327;30 166;2 535;952;12 377;8 254;1 341;5 461;46 857;4 308;42 960;1 919;6 580;18 289;1 245;2 341;1 673;8 247;467;89 752;33 588;6 196;6 251;27 360;11 956;6 258;2 787;393 448
;május;13 671;31 840;2 630;841;13 133;7 402;1 406;5 620;47 846;4 363;44 842;2 073;6 894;18 221;1 381;2 701;1 773;8 716;611;88 933;37 343;6 346;7 147;27 829;12 682;6 614;3 134;405 989
;június;14 050;33 058;2 804;642;13 283;7 283;1 403;5 586;50 231;5 017;45 418;2 090;8 230;19 535;1 448;2 610;1 756;8 767;565;93 273;37 097;6 901;7 172;29 465;12 256;6 683;2 985;419 607
;július;13 727;32 528;2 856;862;12 415;6 578;1 318;5 389;48 835;4 680;45 306;2 131;7 798;18 433;1 457;2 550;1 636;8 454;473;94 493;37 400;6 608;7 177;28 264;10 663;5 979;3 051;411 060
;augusztus;12 655;30 665;2 543;644;12 832;7 123;1 345;5 624;41 496;4 325;46 121;1 892;7 174;18 585;1 591;2 697;1 441;8 243;601;87 644;28 246;5 761;6 535;23 753;11 599;6 509;2 584;380 229
;szeptember;13 405;31 527;2 641;679;12 979;6 797;1 315;5 338;46 458;4 514;44 751;1 953;8 132;18 924;1 492;2 558;1 670;8 794;368;90 870;35 859;5 977;6 811;27 672;11 635;6 678;2 979;402 775
;október;15 468;34 437;3 180;764;15 481;7 813;1 551;6 053;53 030;5 229;51 164;2 237;8 829;21 596;1 636;3 006;1 877;9 582;531;98 427;40 173;6 798;8 217;30 445;13 955;7 592;3 470;452 539
;november;14 978;33 680;2 894;970;14 819;7 636;1 446;5 789;50 272;4 563;49 330;2 111;8 808;20 731;1 438;2 780;1 765;9 265;445;95 997;37 511;6 901;7 500;27 942;13 132;7 767;3 303;433 770
;december;12 099;30 401;2 486;856;11 529;6 597;1 297;5 376;44 285;4 268;43 562;1 772;8 862;17 660;1 331;2 472;1 726;7 520;378;81 652;33 105;5 962;6 317;26 512;11 419;5 948;2 811;378 201
2019.;január;13 844;32 751;2 578;809;13 463;7 528;1 280;5 326;48 943;4 628;47 446;1 882;7 591;19 079;1 217;2 399;2 130;8 915;407;94 013;35 904;6 741;6 761;27 418;12 156;6 588;3 049;414 843
;február;13 861;30 944;2 726;560;12 544;6 996;1 251;5 266;47 435;4 263;43 944;1 994;6 478;19 517;1 213;2 492;1 974;8 614;592;90 912;34 383;6 194;7 050;26 314;11 205;6 450;3 032;398 201
