19.1.3.1. A mezõgazdasági termelés volumenének alakulása [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;
Ország, orszácsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Ausztria;-2,0;2,0;-0,7;-2,7;5,6;-4,0;-0,3;2,7;5,7;-1,6;-6,4;8,0;-6,8;0,3;6,0;-4,6;3,3;-2,1;2,0;-0,5
Belgium;..;-3,8;3,5;-2,4;3,6;-5,6;-2,4;2,4;-3,5;2,8;4,5;0,5;-5,0;4,9;6,3;-0,3;-4,2;4,7;-5,8;6,2
Bulgária;-8,4;-12,9;8,1;-11,0;23,2;-18,8;5,0;-19,7;33,4;-6,6;10,5;0,1;-8,8;22,5;-2,2;-3,4;4,0;4,3;-1,2;1,9
Ciprus;-2,6;-0,9;4,2;-3,8;2,3;-10,4;-6,4;-2,1;-3,3;-3,9;-0,4;4,2;-5,6;-5,6;-1,7;5,5;-3,9;5,0;-2,0;3,7
Csehország;-5,0;2,7;-9,8;-8,4;18,9;-6,5;-7,9;6,9;1,7;-4,6;-8,3;8,0;-10,7;8,5;10,7;-4,3;4,5;-6,4;-2,1;0,1
Dánia;0,5;0,8;-0,4;1,1;1,5;-1,3;-3,3;1,8;0,8;0,1;-1,1;1,7;0,1;-1,5;2,7;1,3;-2,4;3,3;-9,1;8,3
Észtország;9,7;-3,4;-5,1;-2,3;4,5;7,3;-4,6;13,5;-3,7;2,0;-4,8;5,9;6,5;3,7;5,3;14,3;-17,8;8,9;-15,0;26,0
Finnország;8,0;-1,0;3,4;-1,7;-0,7;3,8;-2,8;2,3;-1,3;1,1;-7,9;4,3;-3,8;5,0;1,5;-1,5;-0,1;-1,4;-5,2;9,9
Franciaország;-3,8;-4,3;5,7;-7,8;8,4;-3,5;-4,3;-1,3;5,1;0,8;-2,5;2,0;-2,3;-1,6;6,7;-0,3;-6,4;6,4;-4,8;1,2
Görögország;1,2;-1,7;0,3;-6,3;2,2;3,7;-7,0;-3,8;1,6;1,0;-0,4;-0,9;1,9;-7,9;3,0;6,0;-4,6;1,1;-23,3;-2,8
Hollandia;-1,0;-7,0;-0,2;-6,4;6,3;-1,8;-2,2;3,1;1,7;2,8;-0,2;3,9;-2,4;2,8;3,4;2,7;3,1;0,1;-6,2;3,4
Horvátország;-22,5;13,7;6,3;-19,7;21,4;5,9;4,8;-2,0;17,7;-2,3;-7,3;0,4;-5,1;8,0;-0,5;2,6;12,7;-14,2;-11,7;-2,5
Írország;-5,0;1,5;-4,5;1,6;1,5;-4,6;-0,8;1,9;-2,7;-2,2;4,3;2,9;-5,6;4,9;6,8;4,8;2,6;5,9;-0,6;3,9
Lengyelország;-1,0;1,0;-3,2;-3,5;7,4;-6,3;-2,6;7,3;0,5;3,0;-4,8;2,2;3,0;-0,9;6,9;-5,2;5,4;4,6;-3,2;-0,5
Lettország;1,5;-1,3;5,9;-0,1;2,1;11,0;-5,3;13,4;1,6;-3,6;-5,4;0,4;18,6;-2,9;4,8;20,8;-3,0;2,0;-21,9;25,7
Litvánia;5,7;-14,4;9,3;1,9;-0,7;2,0;-15,1;18,2;1,8;2,0;-11,2;9,2;15,8;-4,5;8,3;11,5;-6,6;1,8;-17,4;13,0
Luxemburg;..;2,0;5,1;-2,9;5,1;-5,6;-1,5;0,1;1,8;1,6;-1,6;0,1;-2,1;3,0;5,2;5,6;-0,8;3,4;6,2;-0,6
Magyarország;-4,1;13,6;-10,5;-8,6;28,4;-10,7;-2,7;-12,4;23,9;-10,4;-13,5;10,6;-9,7;11,6;13,5;-4,2;9,2;-5,7;-0,5;-1,2
Málta;-3,7;-1,0;-1,2;-1,7;-2,3;-3,8;5,8;-4,3;7,5;-8,6;1,0;-3,2;-4,3;1,6;2,5;-4,6;-2,6;-1,3;-18,9;-8,7
Németország;1,1;0,5;-4,4;-4,3;11,0;-3,7;-2,2;1,9;5,0;2,0;-3,8;0,7;1,0;1,0;6,0;-3,6;-1,5;-0,3;-6,2;2,3
Olaszország;-3,1;-2,0;-2,9;-3,4;12,4;-3,1;-4,2;-1,2;2,8;0,0;-3,4;-0,8;-4,1;-1,7;-6,0;7,2;-0,7;-3,7;0,7;-1,2
Portugália;-7,5;0,1;2,5;-3,2;6,8;-6,6;2,3;-4,8;3,9;2,6;1,0;-4,3;-1,2;2,7;-0,7;14,8;-8,1;11,5;-9,3;9,5
Románia;-14,9;17,3;-6,6;9,9;16,4;-12,4;-0,9;-21,1;23,2;-2,3;-0,1;11,2;-22,3;22,7;4,7;-6,7;4,9;14,9;2,3;-4,9
Spanyolország;7,7;0,5;-0,2;9,6;-5,8;-9,4;9,1;-0,8;-0,4;-1,1;3,3;3,4;-12,8;21,1;-9,1;5,1;6,7;-4,1;15,2;-9,6
Svédország;1,1;-1,7;0,4;-1,9;3,6;-4,2;-5,9;2,5;1,3;2,2;-5,5;2,4;-0,1;0,1;6,8;2,8;-4,1;2,8;-16,7;19,3
Szlovákia;-15,6;8,0;2,7;-8,3;11,4;-2,7;-7,1;-4,4;13,7;-11,4;-13,8;13,6;-13,8;9,4;12,0;-14,3;18,0;-13,0;6,1;0,0
Szlovénia;-1,8;4,8;11,6;-8,7;7,0;-6,3;-2,9;-0,4;-0,4;-2,7;-1,0;-0,8;-8,1;-3,7;7,2;4,2;-1,1;-2,8;4,1;-2,5
EU27_2020;-1,4;-0,4;-0,8;-2,5;7,2;-4,9;-1,7;-0,7;4,1;0,1;-2,1;2,4;-4,2;3,9;2,2;0,6;0,3;1,2;-2,0;-0,2
Egyesült Királyság;-2,3;-7,6;6,4;-2,1;0,4;0,8;-0,6;-2,0;4,4;-2,2;2,0;2,4;-6,0;2,2;8,4;0,7;-3,3;4,3;-2,7;4,1
Észak-Macedónia;-0,6;-9,5;-7,7;10,4;11,1;0,3;2,4;0,1;5,5;1,7;4,0;-3,1;-3,1;5,3;-2,3;9,3;1,4;-19,0;20,8;-6,0
Norvégia;-2,0;-1,4;-0,6;1,8;4,4;-2,4;0,1;0,2;5,5;-4,2;1,8;-3,8;1,1;0,8;3,3;1,3;1,0;0,3;-4,7;5,5
Oroszország;6,2;6,7;2,5;-3,4;3,3;0,6;1,4;2,3;11,5;-1,4;-14,6;23,8;-7,2;9,1;5,4;2,6;2,4;4,9;-2,6;5,1
Svájc;2,1;-2,8;2,3;-3,9;4,4;-2,0;-0,3;3,0;0,6;2,8;-2,1;5,6;-3,9;-3,1;5,3;-3,1;-1,5;-0,2;3,7;-4,2
Szerbia;..;..;..;..;..;..;..;-7,3;10,7;2,5;-2,9;1,0;-18,1;20,0;-1,4;-3,7;13,8;-15,6;18,2;0,1
Törökország;4,5;-6,7;6,0;0,8;1,0;6,1;2,1;-4,4;4,4;1,6;4,7;4,7;5,8;3,2;-2,0;6,2;0,1;5,1;-0,9;4,1
Ukrajna;9,3;7,0;2,7;-2,9;10,1;-0,1;0,3;-7,2;24,5;-4,9;-3,1;21,1;-6,2;14,8;0,0;-4,3;5,4;-2,0;7,6;1,5
India;-1,1;2,9;-7,3;10,6;-0,9;5,5;5,5;8,6;1,2;-1,9;8,7;6,4;1,9;4,2;2,3;-1,6;4,2;6,0;4,2;1,0
Indonézia;3,3;2,4;6,0;6,9;4,1;3,1;4,3;0,4;5,3;3,0;6,8;2,7;5,5;1,1;-0,8;2,3;1,2;13,8;1,9;-0,9
Izrael;9,3;0,2;7,8;-1,7;6,9;0,0;-0,7;4,2;-1,0;1,0;-0,2;1,3;4,5;-0,5;3,9;-0,8;1,8;0,2;-4,8;-1,0
Japán;-0,6;-2,0;1,0;-3,3;0,6;0,9;-1,9;1,8;0,5;-1,4;-2,3;-1,2;1,9;4,3;0,0;-1,1;-0,4;0,4;-0,3;0,3
Kína;3,8;1,8;3,8;1,0;5,7;3,3;2,4;2,3;5,6;2,1;2,5;3,3;3,3;1,3;1,6;2,8;0,5;1,5;1,5;-0,1
Koreai Köztársaság;0,6;-0,3;-3,8;-2,6;1,6;0,1;0,7;0,7;3,2;1,8;-4,5;-3,9;4,3;4,7;3,7;-2,4;-1,2;-1,1;1,7;1,5
Dél-afrikai Köztársaság;4,6;-3,9;5,6;0,4;2,3;6,1;-3,3;2,6;12,2;-1,4;3,0;-0,8;3,2;5,5;5,6;-2,3;-4,6;9,5;-1,4;-2,0
Egyiptom;4,2;-1,0;7,7;3,3;2,7;3,9;5,7;3,9;3,5;0,0;-5,0;4,3;4,5;-2,3;4,0;1,2;-2,9;2,7;-3,9;5,3
Argentína;0,5;0,3;-0,8;3,7;2,5;13,6;-1,3;9,5;1,3;-16,4;15,6;5,7;-7,5;8,6;2,0;8,7;-3,3;5,0;-7,9;15,8
Brazília;3,1;5,0;6,5;6,8;5,4;0,5;4,8;6,8;6,2;-1,7;5,6;4,7;-1,2;5,9;1,7;2,3;-2,6;8,0;1,0;2,2
Egyesült Államok;2,3;-1,1;-2,0;3,4;6,4;-2,5;-1,7;5,5;0,8;1,9;0,0;-0,9;-0,3;4,5;3,0;-1,5;8,3;-2,2;1,0;-2,9
Kanada;-2,5;-9,5;-5,4;13,2;8,7;2,6;-3,2;-1,6;11,3;-2,4;-1,1;-1,0;2,6;15,5;-6,0;4,1;7,9;1,3;0,1;2,4
Kolumbia;2,8;1,0;2,5;3,1;3,0;1,6;4,1;3,1;2,7;-6,6;-1,5;2,4;8,1;5,3;1,9;4,5;1,7;17,3;8,5;1,9
Mexikó;1,1;5,5;-0,4;3,4;2,8;-0,8;4,7;2,2;2,6;-2,4;3,0;-1,1;5,3;2,5;3,5;0,6;5,6;4,5;2,3;1,3
Ausztrália;-1,0;0,9;1,2;-18,6;20,7;-1,2;3,6;-16,8;3,8;7,9;-0,2;7,7;6,8;0,2;2,8;-1,2;-0,7;6,0;-8,1;-8,1
Új-Zéland;8,6;3,0;0,0;4,5;4,3;-1,8;1,0;2,6;-1,4;1,8;0,0;-0,4;5,0;2,5;6,1;2,1;-0,3;-3,4;2,2;1,5
