19.1.3.2. A gabona termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;4 494;4 837;4 763;4 270;5 324;4 907;4 468;4 766;5 756;5 164;4 867;5 712;4 883;4 599;5 720;4 854;5 702;4 875;4 787;5 399;5 650
Belgium;2 513;2 359;2 639;2 561;2 932;2 787;2 684;2 719;3 113;3 255;3 041;2 939;2 958;3 097;3 163;3 164;2 288;2 764;2 431;2 814;2 566
Bulgária;4 388;6 077;6 770;3 814;7 463;5 839;5 532;3 870;7 016;6 243;7 136;7 521;6 988;9 154;9 530;8 570;8 752;9 476;10 110;11 131;8 598
Ciprus;48;127;142;165;111;70;67;64;6;57;66;70;91;52;7;88;10;36;25;61;76
Csehország;6 468;7 353;6 785;5 781;8 804;7 677;6 403;7 157;8 374;7 836;6 882;8 289;6 600;7 517;8 784;8 188;8 601;7 461;6 971;7 646;8 127
Dánia;9 413;9 423;8 804;9 051;8 963;9 283;8 632;8 220;9 106;10 164;8 863;8 809;9 485;9 120;9 796;10 048;9 154;10 027;6 924;9 518;9 468
Észtország;697;558;525;506;608;760;619;879;864;873;678;772;991;976;1 222;1 535;934;1 312;920;1 625;1 633
Finnország;4 103;3 671;3 938;3 791;3 619;4 059;3 790;4 135;4 229;4 261;2 992;3 671;3 662;4 066;4 131;3 685;3 566;3 422;2 768;4 036;3 416
Franciaország;65 732;60 301;69 701;55 100;70 642;64 210;61 820;59 579;70 418;70 373;65 839;63 955;68 342;67 538;72 579;72 876;54 399;68 730;61 839;70 379;56 850
Görögország;4 927;4 939;4 825;4 708;5 068;5 074;4 685;4 612;5 567;5 244;4 723;4 869;4 772;4 875;4 264;4 297;3 962;3 683;2 994;2 944;3 105
Hollandia;1 732;1 672;1 655;1 739;1 748;1 705;1 675;1 548;1 963;1 994;1 803;1 610;1 731;1 756;1 701;1 672;1 355;1 393;1 315;1 542;1 364
Horvátország;2 311;2 827;3 078;2 016;3 067;3 040;3 036;2 536;3 727;3 443;3 015;2 835;2 695;3 195;3 001;2 803;3 574;2 660;3 244;3 513;3 746
Írország;2 177;2 169;1 967;2 152;2 508;1 948;2 090;2 006;2 464;2 066;2 044;2 512;2 128;2 403;2 600;2 636;2 313;2 395;1 785;2 268;1 893
Lengyelország;22 341;26 960;26 877;23 391;29 635;26 928;21 776;27 143;27 664;29 826;27 228;26 767;28 544;28 455;31 945;28 003;29 849;31 925;26 282;28 451;34 865
Lettország;924;928;1 029;932;1 060;1 314;1 159;1 535;1 689;1 663;1 436;1 412;2 125;1 949;2 227;3 022;2 703;2 693;2 057;3 163;3 497
Litvánia;2 668;2 356;2 539;2 626;2 859;2 811;1 858;3 017;3 422;3 807;2 797;3 226;4 657;4 475;5 123;6 067;5 121;5 074;4 000;5 208;6 545
Luxemburg;153;144;169;164;179;161;161;148;191;189;166;150;153;173;169;177;139;149;158;164;146
Magyarország;10 036;15 046;11 703;8 770;16 779;16 212;14 467;9 653;16 841;13 590;12 269;13 678;10 373;13 610;16 613;14 145;16 644;14 017;14 886;15 650;15 567
Málta;12;12;12;12;12;12;13;14;17;16;15;15;14;14;14;12;13;15;..;..;..
