19.1.3.3. A búza termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;1 313;1 508;1 434;1 191;1 719;1 453;1 396;1 399;1 690;1 523;1 518;1 782;1 275;1 598;1 804;1 726;1 970;1 437;1 367;1 597;1 653
Belgium;1 688;1 457;1 675;1 640;1 913;1 768;1 662;1 577;1 850;1 910;1 850;1 688;1 835;1 804;1 995;2 019;1 400;1 703;1 662;1 902;1 741
Bulgária;2 781;4 077;4 123;2 004;3 961;3 478;3 302;2 391;4 632;3 977;4 095;4 458;4 455;5 505;5 347;5 012;5 663;6 133;5 955;6 320;4 848
Ciprus;10;11;13;14;10;9;8;11;2;15;19;24;23;15;4;35;7;17;15;29;32
Csehország;4 084;4 476;3 866;2 638;5 043;4 145;3 506;3 939;4 632;4 358;4 162;4 913;3 519;4 701;5 442;5 274;5 455;4 718;4 418;4 812;4 902
Dánia;4 693;4 664;4 056;4 701;4 759;4 887;4 802;4 519;5 019;5 940;5 060;4 831;4 525;4 145;5 153;5 029;4 202;4 834;2 624;4 642;4 070
Észtország;147;133;148;145;197;263;220;346;343;343;328;360;485;407;616;813;456;713;450;847;841
Finnország;538;489;569;679;782;801;684;797;788;887;724;975;887;869;1 088;992;824;802;502;914;687
Franciaország;37 356;31 545;38 937;30 479;39 690;36 886;35 364;32 763;39 006;38 337;38 207;35 993;37 886;38 651;38 950;42 750;29 316;38 678;35 424;40 605;30 144
Görögország;2 287;2 197;2 039;1 702;2 092;2 019;1 778;1 629;2 075;2 139;1 921;1 857;1 836;1 832;1 570;1 459;1 561;1 357;1 073;979;1 095
Hollandia;1 143;991;1 057;1 130;1 224;1 175;1 184;1 018;1 366;1 402;1 370;1 175;1 302;1 335;1 304;1 300;1 016;1 054;962;1 131;932
Horvátország;865;812;823;506;801;602;805;812;858;936;681;782;1 000;999;649;759;969;688;753;803;868
Írország;737;769;867;794;1 019;803;801;713;993;690;669;929;708;545;717;697;648;682;485;595;365
Lengyelország;8 503;9 283;9 304;7 858;9 892;8 771;7 060;8 317;9 275;9 790;9 408;9 339;8 608;9 485;11 629;10 958;10 828;11 666;9 638;10 807;12 433
Lettország;427;452;520;468;500;677;598;807;990;1 036;989;940;1 540;1 435;1 468;2 250;2 062;2 139;1 432;2 371;2 660
Litvánia;1 238;1 076;1 218;1 204;1 430;1 379;810;1 391;1 723;2 100;1 710;1 869;2 999;2 871;3 231;4 380;3 844;3 917;2 839;3 844;4 819
Luxemburg;61;54;72;69;80;72;76;70;98;91;83;77;79;91;78;91;70;78;80;82;72
Magyarország;3 692;5 197;3 910;2 941;6 007;5 088;4 376;3 987;5 631;4 419;3 745;4 107;4 011;5 058;5 262;5 331;5 603;5 246;5 258;5 378;5 121
Málta;10;10;10;10;10;10;11;12;15;14;13;12;12;12;12;10;11;12;..;..;..
Németország;21 622;22 838;20 818;19 260;25 427;23 693;22 428;20 828;25 989;25 192;23 783;22 783;22 409;25 019;27 785;26 550;24 464;24 482;20 264;23 063;22 172
Olaszország;7 464;6 413;7 548;6 229;8 639;7 717;7 182;7 170;8 855;6 535;6 850;6 642;7 654;7 312;7 142;7 394;8 038;6 966;7 105;6 739;6 716
Portugália;355;154;413;150;293;82;250;102;203;124;83;51;59;92;99;80;90;60;70;77;84
Románia;4 434;7 735;4 421;2 479;7 812;7 341;5 526;3 044;7 181;5 203;5 812;7 132;5 298;7 296;7 585;7 962;8 431;10 035;10 144;10 297;6 755
Spanyolország;7 294;5 008;6 822;6 290;7 097;4 027;5 522;6 436;6 714;4 805;5 941;6 877;5 190;7 745;6 471;6 363;7 873;4 876;8 323;6 041;8 144
Svédország;2 372;2 372;2 088;2 256;2 412;2 247;1 967;2 256;2 202;2 278;2 143;2 253;2 289;1 869;3 086;3 300;2 835;3 299;1 620;3 477;3 214
Szlovákia;1 254;1 800;1 554;930;1 765;1 608;1 343;1 380;1 819;1 538;1 185;1 631;1 275;1 684;2 072;2 082;2 434;1 771;1 928;1 939;2 133
Szlovénia;163;181;175;123;147;141;134;133;160;137;153;154;188;138;173;157;163;141;122;140;158
EU27_2020;116 531;115 701;118 478;97 892;134 721;121 142;112 793;107 849;134 108;125 719;122 502;123 634;121 347;132 514;140 732;144 774;130 232;137 502;124 511;139 432;126 659
Egyesült Királyság;16 704;11 580;15 973;14 282;15 473;14 863;14 755;13 221;17 227;14 076;14 878;15 257;13 261;11 921;16 606;16 444;14 383;14 837;13 555;16 225;9 658
Észak-Macedónia;299;246;267;225;357;334;293;218;292;271;243;256;215;259;288;201;306;200;241;240;246
Norvégia;313;259;262;350;407;395;357;401;453;278;331;285;275;213;390;495;309;401;138;459;303
Oroszország;34 460;46 996;50 622;34 070;45 434;47 615;44 927;49 368;63 765;61 740;41 508;56 240;37 720;52 091;59 711;61 786;73 346;86 003;72 136;74 453;85 896
Svájc;569;506;517;437;539;531;544;544;549;550;524;553;516;480;551;527;387;531;511;496;527
Szerbia;..;..;..;..;..;..;1 875;1 864;2 095;2 068;1 630;2 076;2 399;2 690;2 387;2 428;2 885;2 276;2 942;2 535;2 874
Törökország;21 000;19 000;19 500;19 000;21 000;21 500;20 010;17 234;17 782;20 600;19 674;21 800;20 100;22 050;19 000;22 600;20 600;21 500;20 000;19 000;20 500
Ukrajna;10 197;21 348;20 556;11 431;17 520;18 699;13 947;13 938;25 885;20 886;16 851;22 324;15 763;22 279;24 114;26 532;26 099;26 209;24 653;28 370;24 912
India;76 369;69 681;72 766;65 761;72 156;68 637;69 354;75 807;78 570;80 679;80 804;86 874;94 880;93 510;95 850;86 530;92 290;98 510;99 870;103 596;107 590
Irán;8 088;9 459;12 450;13 440;14 568;14 308;14 664;15 887;7 000;12 093;12 143;8 678;8 816;9 304;10 579;11 522;14 592;12 705;13 012;15 550;15 000
Izrael;94;158;177;184;154;201;131;159;76;133;112;142;222;178;140;173;168;72;71;85;117
Japán;688;700;828;856;860;875;837;910;881;674;571;746;858;812;852;1 004;791;907;765;1 037;949
Kína;99 636;93 873;90 290;86 488;91 952;97 445;108 466;109 298;112 464;115 115;115 186;117 414;121 030;121 931;126 215;132 646;133 275;134 247;131 447;133 601;134 255
Pakisztán;21 079;19 024;18 227;19 183;19 500;21 612;21 277;23 295;20 959;24 033;23 311;25 214;23 473;24 211;25 979;25 086;25 633;26 674;25 076;24 349;25 248
Dél-afrikai Köztársaság;2 428;2 504;2 438;1 547;1 687;1 905;2 105;1 905;2 130;1 958;1 430;2 005;1 915;1 870;1 750;1 440;1 910;1 535;1 868;1 535;2 109
Egyiptom;6 564;6 255;6 625;6 845;7 178;8 141;8 274;7 379;7 977;8 523;7 177;8 407;8 795;9 460;8 800;9 608;9 343;8 421;8 349;8 559;9 000
Etiópia;1 235;1 596;1 444;1 618;1 614;2 177;2 219;2 463;2 314;3 076;2 856;2 916;3 435;3 925;4 232;4 651;4 538;4 643;4 838;5 315;5 479
Marokkó;1 381;3 316;3 359;5 147;5 540;3 043;6 327;1 583;3 769;6 371;4 876;6 018;3 878;6 934;5 116;8 075;2 731;7 091;7 321;4 025;2 562
Argentína;15 479;16 147;15 428;12 399;14 710;16 139;12 722;14 663;16 487;8 508;9 016;16 068;14 683;8 134;9 188;13 930;11 315;18 395;18 518;19 460;19 777
Brazília;1 726;3 367;3 106;6 154;5 819;4 659;2 485;4 114;6 027;5 056;6 171;5 690;4 418;5 738;6 262;5 508;6 834;4 343;5 469;5 591;6 348
Chile;1 493;1 780;1 820;1 797;1 922;1 852;1 404;1 096;1 238;1 145;1 524;1 576;1 213;1 475;1 358;1 482;1 732;1 349;1 469;1 400;1 231
Egyesült Államok;60 639;53 000;43 704;63 803;58 697;57 242;49 216;55 820;68 016;60 366;60 062;54 419;61 677;58 105;55 147;55 840;62 832;47 380;51 306;52 581;49 691
Kanada;26 536;20 630;15 961;23 049;24 796;25 748;25 265;20 090;28 619;26 950;23 300;25 288;27 246;37 589;29 442;27 647;32 140;30 377;32 352;32 670;35 183
Mexikó;3 493;3 275;3 236;2 716;2 321;3 015;3 378;3 515;4 019;4 116;3 677;3 628;3 274;3 357;3 670;3 711;3 863;3 504;2 943;3 244;2 987
Ausztrália;22 108;22 108;24 299;10 132;26 132;21 905;25 150;10 822;13 569;21 420;21 834;27 410;29 905;22 856;25 303;23 743;22 275;31 819;20 941;17 598;14 480
Új-Zéland;326;364;301;319;256;319;262;344;343;403;445;383;489;448;413;414;459;405;371;398;454
