19.1.3.6. Az alma termésmennyisége [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;490;410;478;423;484;453;509;478;551;486;271;303;262;235;310;288;102;185;388;239;258
Belgium;545;337;349;319;356;325;358;358;335;311;344;228;220;229;318;284;238;86;231;242;168
Bulgária;89;43;26;38;39;26;26;26;24;35;43;40;31;55;55;58;45;45;50;44;38
Ciprus;11;9;11;10;11;11;11;9;7;7;7;7;7;5;5;5;4;4;2;2;2
Csehország;339;221;166;141;147;134;136;116;154;142;100;85;119;122;128;155;125;105;152;100;116
Dánia;25;20;19;32;35;35;32;32;29;28;24;26;19;31;35;36;36;20;33;25;40
Észtország;19;15;17;5;2;11;3;4;2;5;2;3;2;4;2;3;5;4;2;2;1
Finnország;3;3;3;3;3;4;3;3;4;4;4;5;5;5;5;6;6;7;7;8;7
Franciaország;2 130;1 882;1 995;1 722;1 800;1 829;1 679;1 782;1 702;1 730;1 751;1 763;1 306;1 688;1 848;1 969;1 823;1 696;1 740;1 754;1 620
Görögország;315;248;281;208;275;250;289;251;260;268;274;274;266;254;252;267;280;253;286;277;304
Hollandia;461;408;354;359;436;359;365;391;375;407;334;418;281;314;353;336;317;227;269;273;220
Horvátország;64;22;44;46;63;57;58;63;57;74;89;100;37;122;97;102;45;57;90;68;64
Írország;11;16;11;8;19;15;18;15;16;13;21;20;12;15;20;19;22;21;20;20;19
Lengyelország;1 450;2 434;2 168;2 428;2 522;2 075;2 305;1 040;2 831;2 626;1 878;2 493;2 877;3 085;3 195;3 169;3 604;2 441;4 000;3 081;3 554
Lettország;35;36;50;36;7;38;34;31;29;13;10;8;9;15;10;8;10;7;14;10;14
Litvánia;99;151;80;97;34;97;99;41;74;53;34;49;72;63;60;74;66;87;81;32;52
Luxemburg;12;4;11;4;11;4;9;2;3;2;2;2;2;2;3;2;2;1;2;2;2
Magyarország;695;605;527;508;700;510;537;586;569;575;497;293;651;592;780;511;497;474;679;498;399
Németország;3 137;1 779;1 471;818;980;891;948;1 070;1 047;1 071;835;898;972;804;1 116;973;1 033;597;1 199;991;1 023
Olaszország;2 232;2 299;2 199;1 954;2 136;2 192;2 131;2 230;2 210;2 326;2 205;2 411;1 991;2 217;2 474;2 474;2 456;1 921;2 467;2 304;2 462
Portugália;230;258;300;285;275;251;257;245;237;263;213;247;221;287;274;325;242;329;264;371;286
Románia;490;507;491;811;1 098;638;590;475;459;517;553;620;463;514;513;476;467;349;635;493;537
Spanyolország;814;917;695;881;691;774;650;721;662;602;646;670;481;546;621;594;621;587;563;639;522
Svédország;22;20;18;22;19;18;24;21;22;21;24;21;23;27;25;25;26;22;31;22;29
Szlovákia;81;50;51;61;42;47;31;18;42;38;34;31;44;46;48;46;21;32;44;35;28
Szlovénia;130;78;142;102;140;106;119;114;103;96;118;105;55;92;100;115;60;80;87;54;67
EU27_2020;13 929;12 774;11 959;11 318;12 323;11 149;11 222;10 123;11 803;11 714;10 313;11 121;10 431;11 369;12 646;12 320;12 152;9 639;13 333;11 585;11 833
Egyesült Királyság;209;212;179;144;170;218;269;243;243;229;235;240;204;399;451;460;481;535;549;609;523
Észak-Macedónia;84;38;63;62;82;86;96;152;174;106;121;125;127;113;96;137;101;43;140;89;106
Norvégia;16;11;17;12;16;11;15;11;17;14;11;8;11;10;13;11;13;13;15;16;12
Oroszország;1 832;1 640;1 950;1 700;2 026;1 786;1 626;2 342;1 122;1 441;992;1 198;1 403;1 573;1 624;1 613;1 701;1 494;1 859;1 951;2 041
Svájc;375;202;275;210;285;213;259;275;255;251;202;328;234;210;231;214;227;146;297;191;192
Szerbia;..;..;..;..;..;..;240;245;236;282;240;266;244;458;336;432;400;379;460;500;489
Törökország;2 400;2 450;2 200;2 600;2 100;2 570;2 002;2 458;2 504;2 782;2 600;2 680;2 889;3 128;2 480;2 570;2 926;3 032;3 626;3 619;4 300
Ukrajna;648;475;522;871;717;720;537;755;719;853;897;954;1 127;1 211;1 085;1 180;1 099;1 076;1 462;1 154;1 115
India;1 050;1 230;1 160;1 470;1 522;1 739;1 814;1 624;2 001;1 985;1 777;2 891;2 203;1 915;2 498;2 134;2 521;2 265;2 327;2 316;2 734
Irán;2 097;2 353;2 334;2 519;2 219;2 662;2 307;2 978;2 779;2 854;2 904;3 113;3 104;3 035;2 412;2 500;2 097;2 399;1 937;2 241;2 207
Izrael;103;112;127;119;150;140;122;101;97;115;131;119;108;112;78;108;100;113;111;104;104
Japán;800;931;926;842;755;819;832;840;911;846;787;655;794;742;816;812;765;735;756;702;720
Kína;20 437;20 023;19 251;21 105;23 682;24 017;26 065;27 866;29 851;31 684;33 265;35 987;38 493;39 684;40 925;38 900;40 394;41 391;39 235;42 427;40 501
Koreai Köztársaság;489;404;433;365;357;368;408;436;471;494;460;380;395;494;475;583;576;545;475;535;422
Pakisztán;439;367;315;334;352;351;348;442;441;366;526;599;556;606;617;620;670;565;544;604;625
Dél-afrikai Köztársaság;602;616;623;817;765;679;633;708;778;818;724;781;796;904;778;934;916;929;830;892;993
Egyiptom;468;474;525;533;546;578;570;558;551;509;493;456;541;630;624;696;755;716;716;701;698
Marokkó;300;228;373;275;396;309;374;427;404;423;445;512;486;583;536;674;406;821;697;810;779
Argentína;833;1 429;1 157;1 307;1 262;1 206;1 100;1 000;950;894;720;1 150;1 050;970;711;693;459;459;510;538;536
Brazília;1 153;716;857;842;980;851;863;1 115;1 124;1 223;1 279;1 339;1 340;1 231;1 379;1 265;1 055;1 308;1 203;1 223;983
Chile;805;1 135;1 150;1 250;1 300;1 300;1 350;1 400;1 504;1 331;1 624;1 588;1 607;1 716;1 722;1 710;1 708;1 742;1 684;1 603;1 620
Egyesült Államok;4 799;4 274;3 866;3 983;4 723;4 385;4 456;4 123;4 365;4 394;4 210;4 282;4 079;4 732;5 359;4 557;5 214;5 241;4 645;5 029;4 651
Kanada;530;488;352;402;386;414;403;446;427;435;371;420;283;427;410;349;418;402;400;381;385
Mexikó;338;443;480;495;573;584;602;505;512;561;585;631;375;859;717;750;717;714;660;761;714
Ausztrália;320;303;290;326;285;453;301;378;265;295;264;300;289;289;267;295;308;314;268;265;263
Új-Zéland;620;474;531;501;546;524;354;421;446;431;444;439;437;444;490;540;550;470;480;558;562
