19.1.3.7. Szarvasmarha-állomány [ezer darab];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;2 153;2 155;2 118;2 067;2 052;2 051;2 011;2 003;2 000;1 997;2 026;2 013;1 977;1 956;1 958;1 961;1 958;1 954;1 913;1 880;1 855
Belgium;3 042;3 038;2 891;2 778;2 739;2 699;2 669;2 649;2 606;2 600;2 593;2 560;2 484;2 455;2 477;2 503;2 501;2 386;2 398;2 373;2 335
Bulgária;682;640;634;691;728;672;622;628;602;565;540;544;558;526;576;553;550;558;542;527;589
Ciprus;54;53;58;58;60;58;56;56;56;54;55;57;57;58;61;59;63;67;71;74;78
Csehország;1 574;1 582;1 520;1 474;1 428;1 397;1 374;1 391;1 402;1 363;1 349;1 344;1 354;1 353;1 374;1 407;1 416;1 421;1 365;1 367;1 340
Dánia;1 868;1 907;1 796;1 724;1 646;1 570;1 535;1 566;1 564;1 540;1 571;1 568;1 607;1 615;1 564;1 552;1 568;1 545;1 530;1 500;1 500
Észtország;267;253;261;254;257;250;250;245;241;238;235;236;238;246;261;265;248;251;252;254;253
Finnország;1 057;1 037;1 025;1 000;969;959;949;927;915;918;926;914;913;912;914;915;909;893;859;841;835
Franciaország;21 256;21 138;20 461;19 772;19 516;19 421;19 535;19 885;20 047;19 805;19 555;19 086;19 006;19 096;19 249;19 387;19 373;18 954;18 613;18 173;17 789
Görögország;602;613;621;626;621;604;618;629;624;626;627;627;623;609;600;607;609;611;542;530;539
Hollandia;4 070;4 047;3 858;3 759;3 767;3 799;3 749;3 763;3 890;3 968;3 975;3 885;3 879;3 999;4 169;4 315;4 294;4 030;3 690;3 721;3 691
Horvátország;427;438;417;444;466;471;483;467;454;447;444;447;452;442;441;440;445;451;414;420;423
Írország;7 037;7 050;6 992;7 000;7 016;6 992;6 978;6 891;6 902;6 891;6 607;6 493;6 754;6 903;6 926;6 964;7 221;7 363;6 593;6 560;6 529
Lengyelország;6 083;5 734;5 533;5 489;5 353;5 483;5 606;5 696;5 757;5 700;5 742;5 762;5 777;5 860;5 920;5 961;5 939;6 143;6 183;6 262;6 279
Lettország;378;367;385;388;379;371;385;377;399;380;378;380;381;393;407;422;419;412;395;395;399
Litvánia;898;748;752;779;812;792;800;839;788;771;759;748;752;729;714;737;723;695;654;635;630
Luxemburg;205;205;197;190;187;185;184;192;196;196;199;193;188;194;199;201;201;202;194;192;191
Magyarország;857;805;783;770;739;723;708;702;705;701;700;682;697;760;782;802;821;852;885;909;933
Málta;19;19;19;19;18;19;20;19;19;16;15;15;16;15;15;15;14;14;14;14;14
Németország;14 658;14 568;14 227;13 644;13 196;13 035;12 748;12 687;12 970;12 945;12 809;12 563;12 477;12 587;12 742;12 635;12 467;12 281;11 949;11 640;11 302
Olaszország;7 162;6 050;6 739;6 505;6 504;6 304;6 255;6 117;6 283;6 179;6 103;5 832;6 091;5 847;5 756;5 781;5 930;5 949;6 311;6 377;6 400
Portugália;1 421;1 414;1 404;1 395;1 389;1 443;1 441;1 452;1 491;1 495;1 447;1 503;1 498;1 471;1 549;1 606;1 635;1 670;1 632;1 675;1 691
Románia;3 051;2 870;2 800;2 878;2 897;2 808;2 862;2 934;2 819;2 684;2 512;2 001;1 989;2 009;2 022;2 069;2 092;2 050;1 977;1 923;1 911
