19.1.3.8. Sertésállomány [ezer darab];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;3 433;3 348;3 440;3 305;3 245;3 125;3 170;3 139;3 286;3 064;3 137;3 134;3 005;2 983;2 896;2 868;2 845;2 793;2 777;2 773;2 806
Belgium;7 369;6 834;6 735;6 539;6 355;6 318;6 295;6 255;6 282;6 321;6 430;6 521;6 634;6 593;6 350;6 364;6 177;6 108;6 209;6 085;6 218
Bulgária;1 512;1 144;788;996;1 032;931;943;1 013;889;784;730;664;608;531;586;553;600;616;655;492;592
Ciprus;408;451;491;490;471;430;453;450;465;463;464;439;395;358;342;358;353;350;362;352;359
Csehország;3 688;3 594;3 441;3 363;3 127;2 877;2 840;2 830;2 433;1 971;1 909;1 749;1 579;1 587;1 617;1 560;1 610;1 491;1 508;1 509;1 546
Dánia;11 922;12 608;12 732;12 949;13 233;13 534;13 361;13 723;12 738;12 369;13 173;12 932;12 331;12 076;12 332;12 538;12 383;12 308;12 642;12 728;13 391
Észtország;286;300;345;341;345;340;347;346;379;365;365;372;366;375;359;358;266;289;290;302;317
Finnország;1 296;1 261;1 315;1 375;1 365;1 401;1 436;1 448;1 483;1 381;1 367;1 335;1 290;1 308;1 245;1 243;1 235;1 136;1 041;1 062;1 104
Franciaország;14 927;15 377;15 345;15 160;15 022;14 949;14 837;14 910;14 947;14 719;14 287;13 975;13 760;13 485;13 335;13 162;12 627;12 931;13 713;13 510;13 737
Görögország;973;934;940;937;940;949;902;892;882;862;840;820;793;761;724;714;698;717;721;733;743
Hollandia;13 100;12 800;11 500;11 100;11 100;11 200;11 200;11 600;11 900;12 186;12 255;12 429;12 234;12 212;12 238;12 603;12 479;12 409;11 909;11 921;11 541
Horvátország;1 233;1 234;1 286;1 347;1 489;1 205;1 488;1 348;1 104;1 250;1 231;1 233;1 182;1 111;1 156;1 167;1 163;1 121;1 049;1 022;1 033
Írország;1 722;1 743;1 785;1 726;1 653;1 688;1 643;1 588;1 462;1 385;1 516;1 549;1 571;1 553;1 555;1 537;1 594;1 557;1 572;1 613;1 679
Lengyelország;17 122;17 106;18 629;18 605;16 988;18 112;18 881;18 129;15 425;14 279;15 244;13 509;11 581;11 162;11 724;11 640;10 865;11 353;11 028;11 216;11 727
Lettország;405;394;429;453;444;436;428;417;414;384;377;390;375;355;368;349;334;336;305;314;307
Litvánia;936;868;1 011;1 061;1 057;1 073;1 115;1 127;923;897;928;929;790;808;755;714;688;664;572;551;580
Luxemburg;80;79;80;84;85;90;84;83;81;80;84;89;90;88;87;95;92;97;83;84;82
Magyarország;5 335;4 834;4 822;5 082;4 913;4 059;3 853;3 987;3 871;3 383;3 247;3 169;3 044;2 989;3 004;3 136;3 124;2 907;2 872;2 634;2 850
Málta;80;80;81;78;73;77;73;74;77;66;71;46;45;49;47;44;41;34;36;35;45
Németország;25 633;25 784;26 103;26 334;25 659;26 858;26 521;27 125;26 687;26 948;26 509;26 758;28 132;27 690;28 339;27 652;27 376;27 578;26 445;26 053;26 070
Olaszország;8 414;8 646;8 766;9 166;9 157;8 972;9 200;9 281;9 273;9 252;9 157;9 321;8 662;8 562;8 676;8 675;8 478;8 571;8 492;8 510;8 543
Portugália;2 350;2 014;1 964;1 886;1 967;1 955;1 917;1 978;1 955;1 945;1 917;1 985;2 024;2 014;2 127;2 247;2 151;2 165;2 205;2 256;2 259
Románia;5 848;4 797;4 447;5 058;5 145;6 495;6 622;6 815;6 565;6 174;5 793;5 428;5 364;5 234;5 180;5 042;4 927;4 708;3 925;3 834;3 750
Spanyolország;22 418;22 149;23 518;24 056;24 895;24 884;26 219;26 061;26 026;26 290;25 704;25 635;25 250;25 495;26 568;28 367;29 232;29 971;30 804;31 246;32 796
Svédország;1 918;1 891;1 882;1 903;1 818;1 811;1 681;1 676;1 609;1 529;1 520;1 483;1 363;1 399;1 377;1 435;1 471;1 382;1 417;1 481;1 383
Szlovákia;1 562;1 488;1 517;1 554;1 443;1 149;1 108;1 105;952;749;741;687;580;631;637;642;633;586;627;589;538
Szlovénia;558;604;600;656;621;534;547;575;543;432;415;396;347;296;288;281;271;266;259;240;229
EU27_2020;154 529;152 360;153 993;155 604;153 642;155 453;157 164;157 976;152 651;149 528;149 410;146 978;143 395;141 705;143 913;145 344;143 713;144 442;143 519;143 146;146 228
Egyesült Királyság;6 482;5 845;5 588;5 047;5 161;4 864;4 933;4 834;4 714;4 540;4 460;4 441;4 481;4 885;4 815;4 739;4 866;4 969;5 055;5 130;5 148
Észak-Macedónia;226;204;196;179;158;156;167;255;247;194;191;197;177;167;165;195;203;202;196;136;164
Norvégia;730;711;751;791;826;824;836;838;828;845;850;854;856;851;842;849;854;852;815;793;785
Oroszország;18 341;15 824;16 227;17 601;16 278;13 717;13 812;16 185;16 340;16 162;17 231;17 218;17 258;18 816;19 081;19 546;21 406;21 925;23 076;23 727;25 163
Svájc;1 498;1 548;1 557;1 529;1 538;1 609;1 635;1 573;1 540;1 557;1 589;1 579;1 544;1 485;1 498;1 496;1 454;1 445;1 418;1 360;1 240
Szerbia;..;..;..;..;..;..;3 212;3 832;3 594;3 631;3 489;3 287;3 139;3 144;3 236;3 284;3 021;2 911;2 782;2 903;2 983
Ukrajna;10 073;7 652;8 370;9 204;7 322;6 466;7 053;8 055;7 020;6 526;7 577;7 960;7 373;7 577;7 764;7 351;7 079;6 669;6 110;6 025;5 727
Fülöp-szigetek;10 713;11 063;11 653;12 364;12 562;12 140;13 047;13 459;13 070;13 596;13 398;12 303;11 863;11 843;11 802;12 000;12 479;12 428;12 604;12 709;12 796
India;13 403;13 440;13 478;13 519;12 878;12 268;11 686;11 134;10 967;10 802;10 640;10 481;10 294;10 130;10 000;9 851;9 686;9 465;9 264;9 055;8 852
Indonézia;5 357;5 369;5 927;6 151;5 980;6 801;6 218;6 711;6 838;6 975;7 477;7 525;7 900;7 599;7 694;7 808;7 903;8 261;8 254;8 521;9 070
Japán;9 806;9 788;9 612;9 725;9 724;9 600;9 620;9 759;9 745;9 899;9 800;9 768;9 735;9 685;9 537;9 401;9 313;9 346;9 189;9 156;9 124
Kína;438 910;424 066;426 890;424 751;420 787;428 238;440 550;425 713;446 656;478 360;473 953;477 109;486 743;485 112;484 915;477 320;463 691;447 192;433 764;316 081;412 172
Koreai Köztársaság;8 214;8 720;8 974;9 231;8 908;8 962;9 382;9 606;9 087;9 585;9 881;8 171;9 916;9 912;10 090;10 187;10 367;11 273;11 333;11 280;11 078
Mianmar;3 974;4 261;4 499;4 840;5 217;5 677;6 293;7 007;7 677;8 496;9 416;10 497;11 600;12 567;13 761;15 056;16 524;19 273;19 779;20 835;19 193
Vietnám;20 194;21 800;23 170;24 885;26 144;27 435;26 855;26 561;26 702;27 628;27 373;27 056;26 494;26 264;26 761;27 751;29 075;27 407;28 152;19 616;22 028
Dél-afrikai Köztársaság;1 556;1 592;1 663;1 662;1 651;1 656;1 662;1 651;1 615;1 613;1 594;1 584;1 579;1 574;1 562;1 523;1 512;1 481;1 454;1 390;1 357
Madagaszkár;519;462;531;605;676;1 247;1 283;1 314;1 346;1 405;1 439;1 476;1 518;1 500;1 586;1 625;1 669;1 703;1 731;1 763;1 769
Nigéria;5 048;5 250;6 112;5 678;5 910;6 141;6 387;6 642;6 908;7 184;7 472;6 282;6 534;6 795;6 992;7 368;7 644;7 949;7 987;7 989;7 991
Argentína;1 750;1 700;1 600;1 500;1 490;1 830;2 260;2 270;2 270;2 270;3 179;3 437;3 819;4 222;4 692;5 011;5 119;5 119;5 191;5 129;5 377
Brazília;31 562;32 605;31 919;32 305;33 085;34 064;35 174;35 945;36 819;38 045;38 957;39 307;38 796;36 744;37 930;39 795;40 053;41 383;41 232;40 556;41 124
Egyesült Államok;59 110;59 722;59 554;60 453;60 444;60 975;61 449;62 516;68 177;64 887;64 925;66 361;66 224;64 775;67 776;68 919;71 345;73 145;75 070;78 228;77 312
Kanada;12 904;13 576;14 375;14 745;14 725;14 810;15 110;14 080;12 700;12 465;12 465;12 615;12 770;12 745;12 835;13 180;13 630;13 935;14 170;13 975;13 970
Kolumbia;2 228;2 500;2 350;2 100;1 892;1 724;2 726;4 047;4 533;4 482;5 162;5 127;5 353;5 341;5 897;5 749;5 095;5 327;5 507;6 474;6 711
Kuba;1 633;1 313;1 554;1 684;1 593;1 626;1 761;1 869;1 879;1 768;1 591;1 518;1 545;1 607;1 655;1 705;1 930;2 069;2 289;2 677;1 121
Mexikó;15 391;15 269;15 123;14 625;15 177;15 206;15 257;15 274;15 231;15 268;15 435;15 547;15 858;16 202;16 099;16 364;16 688;17 210;17 839;18 365;18 788
Venezuela;2 810;2 780;2 825;2 922;3 047;3 264;3 196;3 216;3 312;3 350;3 486;3 686;3 812;3 813;3 808;3 794;3 547;3 248;3 025;3 008;3 000
Ausztrália;2 511;2 748;2 940;2 658;2 548;2 538;2 733;2 605;2 411;2 302;2 289;2 285;2 138;2 098;2 308;2 272;2 294;2 486;2 534;2 319;2 258
Új-Zéland;369;354;342;377;389;341;356;367;325;323;335;327;314;298;287;268;255;274;287;256;235
