19.1.3.10. Összes hústermelés [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;835;832;851;853;856;849;860;891;897;905;920;918;901;904;900;910;905;893;875;872;870
Belgium;1 736;1 772;1 820;1 739;1 815;1 741;1 780;1 807;1 682;1 708;1 816;1 789;1 788;1 775;1 815;1 851;1 806;1 795;1 825;1 755;1 806
Bulgária;484;217;242;195;220;233;238;242;229;250;221;219;223;208;205;210;217;215;222;222;202
Ciprus;101;101;104;101;101;101;92;96;101;97;96;94;90;82;75;79;79;80;79;82;79
Csehország;785;803;794;782;795;745;709;698;668;620;603;564;516;504;509;505;506;495;463;468;472
Dánia;1 985;2 091;2 136;2 114;2 158;2 122;2 054;2 111;2 018;1 888;1 993;2 049;1 989;1 891;1 885;1 872;1 868;1 814;1 863;1 786;1 886
Észtország;53;57;68;68;71;67;70;70;75;76;75;81;78;80;71;83;78;71;73;75;77
Finnország;337;351;373;390;397;395;399;412;414;395;387;391;386;391;387;400;407;401;392;398;409
Franciaország;6 324;6 388;6 368;6 243;6 078;6 019;5 519;5 669;5 836;5 777;5 810;5 832;5 676;5 529;5 598;5 654;5 664;5 563;5 468;5 425;5 417
Görögország;470;468;478;517;498;504;466;456;460;458;454;433;436;491;429;462;463;448;438;444;442
Hollandia;2 880;2 595;2 536;2 231;2 386;2 412;2 361;2 448;2 473;2 532;2 553;2 660;2 686;2 700;2 784;2 914;2 986;3 007;3 047;3 105;3 109
Horvátország;130;128;140;147;168;192;193;208;204;212;219;220;248;223;210;210;217;222;227;240;230
Írország;1 018;1 034;963;977;973;957;944;972;920;888;941;953;917;941;1 021;1 027;1 063;1 130;1 143;1 147;1 189
Lengyelország;2 888;2 890;3 148;3 242;3 084;3 182;3 405;3 584;3 208;3 359;3 584;3 653;3 846;3 880;4 000;4 167;4 261;4 319;5 223;5 130;5 246
Lettország;62;60;63;71;74;77;80;85;86;83;80;80;79;81;85;85;87;91;91;93;90
Litvánia;189;152;177;176;199;220;220;225;195;178;197;199;207;219;227;242;231;249;223;223;226
Luxemburg;22;24;24;25;23;22;20;20;20;20;20;20;20;20;21;22;24;23;23;23;23
Magyarország;1 176;1 101;1 163;1 059;1 011;938;923;925;892;883;870;878;863;811;895;989;1 016;1 006;1 030;1 032;1 013
Málta;18;19;21;20;18;16;15;16;17;16;15;15;13;14;13;13;12;12;10;10;10
Németország;6 252;6 452;6 463;6 564;6 764;6 844;7 024;7 437;7 712;7 889;8 220;8 358;8 192;8 220;8 351;8 367;8 400;8 281;8 025;7 919;7 822
Olaszország;3 911;3 980;4 021;3 841;3 903;3 786;3 747;3 902;3 930;3 972;4 066;3 961;4 024;3 857;3 387;3 692;3 839;3 644;3 662;3 690;3 485
Portugália;760;762;781;739;756;773;768;800;840;833;839;838;815;789;791;842;856;852;838;848;847
Románia;993;957;1 043;1 146;928;1 002;944;1 016;969;1 082;1 016;1 007;998;903;1 054;1 091;1 134;1 133;1 044;1 040;1 023
Spanyolország;4 913;5 055;5 344;5 480;5 224;5 309;5 303;5 517;5 501;5 306;5 444;5 656;5 647;5 503;5 717;6 057;6 546;6 662;6 958;7 164;7 504
Svédország;543;541;558;552;554;532;520;527;532;531;539;534;496;505;530;550;546;552;546;547;568
Szlovákia;279;256;287;309;280;261;238;227;206;188;177;153;154;147;139;127;138;146;152;155;140
Szlovénia;147;163;155;174;164;154;148;154;152;142;143;135;130;121;123;121;132;138;137;140;140
EU27_2020;39 292;39 253;40 122;39 756;39 498;39 454;39 041;40 514;40 238;40 288;41 300;41 688;41 419;40 786;41 221;42 541;43 482;43 242;44 076;44 035;44 324
Egyesült Királyság;3 511;3 265;3 341;3 298;3 313;3 394;3 404;3 420;3 373;3 336;3 533;3 612;3 604;3 641;3 696;3 831;3 942;3 958;4 088;4 075;4 174
Észak-Macedónia;25;26;26;28;28;27;27;26;24;24;23;22;23;21;22;21;22;23;22;22;23
Norvégia;270;271;271;275;291;293;302;307;328;333;341;340;333;349;347;341;353;360;360;359;361
Oroszország;4 453;4 474;4 739;5 000;5 039;4 981;5 319;5 705;6 268;6 719;7 167;7 519;8 090;8 544;9 070;9 565;9 853;10 319;10 629;10 866;11 222
Svájc;413;432;440;433;432;438;441;446;441;455;472;476;473;468;480;479;483;480;489;476;482
Szerbia;..;..;..;..;..;..;436;476;466;459;474;480;493;489;510;463;489;491;525;516;517
Törökország;1 163;1 073;1 154;1 279;1 369;1 396;1 380;1 681;1 611;1 742;2 262;2 432;2 686;2 799;2 957;3 117;3 104;3 321;3 351;3 406;3 275
Ukrajna;1 688;1 542;1 674;1 751;1 624;1 621;1 749;1 939;1 934;1 941;2 086;2 173;2 238;2 417;2 388;2 351;2 386;2 379;2 364;2 501;2 487
Fülöp-szigetek;2 079;2 180;2 294;2 351;2 355;2 388;2 561;2 748;2 806;2 846;2 906;2 965;3 077;3 169;3 216;3 376;3 381;3 290;3 318;3 368;3 142
India;4 449;4 521;4 700;4 836;4 971;5 117;5 281;5 570;5 707;5 919;6 089;6 371;6 559;6 740;6 919;7 130;7 334;7 656;8 047;8 140;7 475
Indonézia;1 695;1 818;2 073;2 190;2 020;1 817;2 063;2 073;2 137;2 204;2 366;2 554;2 658;2 823;2 919;3 050;3 349;4 180;4 777;4 887;4 673
Irán;1 555;1 651;1 777;1 881;1 961;2 060;2 211;2 355;2 276;2 333;2 423;2 543;2 637;2 741;2 835;2 860;2 874;2 982;2 903;2 835;3 111
Izrael;499;535;559;568;579;605;650;664;688;669;685;705;719;685;717;763;796;798;804;785;839
Japán;2 991;2 916;3 022;3 020;3 030;3 031;3 122;3 131;3 149;3 250;3 233;3 154;3 281;3 905;3 902;3 875;3 921;3 963;4 016;4 055;4 138
Kína;62 058;62 977;64 222;66 250;67 907;71 187;72 863;70 697;74 751;78 310;80 899;81 157;85 008;86 760;88 006;87 614;86 313;87 879;88 474;77 718;77 143
Koreai Köztársaság;1 649;1 592;1 662;1 776;1 588;1 640;1 772;1 840;1 874;1 965;2 017;1 809;2 101;2 312;2 333;2 416;2 437;2 405;2 529;2 607;2 743
Malajzia;893;956;1 031;1 063;1 156;1 203;1 278;1 312;1 366;1 416;1 547;1 574;1 649;1 732;1 848;1 911;2 004;1 934;1 929;1 926;1 867
Pakisztán;1 701;1 748;1 799;1 852;1 897;1 944;2 236;2 332;2 432;2 542;2 654;2 774;2 901;3 049;3 182;3 335;3 510;4 092;4 292;4 506;4 737
Thaiföld;2 044;2 094;2 205;2 350;1 981;2 156;2 304;2 380;2 305;2 283;2 396;2 408;2 722;2 804;2 926;2 809;2 788;2 810;2 827;2 865;2 871
Vietnám;1 992;2 118;2 298;2 479;2 923;2 956;3 294;3 335;3 671;4 048;3 986;4 119;4 204;4 312;4 497;4 708;4 951;5 097;5 264;4 972;5 389
Dél-afrikai Köztársaság;1 644;1 718;1 758;1 840;1 925;2 028;2 163;2 355;2 516;2 591;2 784;2 776;2 792;3 081;3 200;3 276;3 243;3 131;3 243;3 367;3 447
Egyiptom;1 384;1 401;1 644;1 569;1 543;1 594;1 664;1 795;1 762;1 824;1 908;1 957;1 994;2 113;2 186;2 221;2 182;2 385;2 401;2 440;2 197
Nigéria;1 053;1 152;1 234;1 188;1 232;1 238;1 226;1 317;1 366;1 408;1 399;1 336;1 271;1 365;1 382;1 424;1 391;1 437;1 474;1 461;1 450
Argentína;4 101;3 843;3 562;3 757;4 246;4 532;4 630;4 913;4 997;5 357;4 722;4 781;5 018;5 344;5 238;5 485;5 397;5 704;5 935;6 152;6 227
Brazília;15 425;15 965;17 298;18 377;19 908;19 669;20 441;21 815;22 859;22 611;23 630;24 312;24 649;25 425;26 038;26 637;26 911;27 686;28 077;28 579;29 126
Chile;946;1 025;1 022;1 041;1 134;1 193;1 345;1 346;1 400;1 351;1 327;1 395;1 475;1 454;1 431;1 483;1 499;1 418;1 505;1 534;1 588
Egyesült Államok;37 565;38 252;38 716;39 464;39 805;39 744;40 132;41 625;42 883;41 856;41 953;42 451;42 622;42 754;42 825;43 273;44 632;45 790;46 822;48 133;48 711
Kanada;4 000;4 153;4 301;4 233;4 598;4 594;4 439;4 430;4 537;4 446;4 441;4 354;4 311;4 309;4 350;4 441;4 606;4 754;4 965;5 115;5 196
Kolumbia;1 377;1 415;1 453;1 463;1 574;1 699;1 840;1 972;2 111;2 014;2 041;2 124;2 308;2 384;2 469;2 595;2 638;2 691;2 800;2 901;2 820
Mexikó;4 464;4 637;4 829;4 913;5 109;5 322;5 401;5 547;5 632;5 728;5 828;6 001;6 079;6 122;6 221;6 352;6 552;6 801;7 044;7 328;7 537
Venezuela;1 257;1 421;1 448;1 238;1 170;1 299;1 397;1 424;1 458;1 574;1 761;1 885;1 776;1 709;1 622;1 447;1 197;1 040;1 020;924;952
Ausztrália;3 707;3 853;3 896;3 755;3 852;3 892;4 070;4 140;4 030;3 986;4 048;4 095;4 200;4 542;4 879;4 967;4 697;4 463;4 675;4 819;4 797
Új-Zéland;1 303;1 349;1 291;1 397;1 467;1 453;1 432;1 448;1 467;1 371;1 332;1 300;1 312;1 355;1 381;1 431;1 441;1 392;1 456;1 448;1 454
