19.1.3.11. Tehéntejtermelés [ezer tonna];;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;3 257;3 324;3 316;3 253;3 158;3 136;3 169;3 180;3 221;3 257;3 286;3 337;3 413;3 425;3 525;3 569;3 660;3 748;3 860;3 820;3 852
Belgium;3 691;3 697;3 473;3 406;3 065;3 030;2 844;2 885;2 856;2 963;3 075;3 110;3 081;3 483;3 702;4 007;3 907;4 058;4 236;4 337;4 494
Bulgária;1 707;1 392;1 509;1 504;1 598;1 508;1 516;1 327;1 316;1 232;1 278;1 286;1 242;1 306;1 231;1 153;1 149;1 091;1 025;940;1 005
Ciprus;194;199;201;220;213;193;188;183;195;194;192;211;206;205;209;214;254;279;295;310;347
Csehország;2 797;2 789;2 813;2 729;2 681;2 820;2 775;3 142;2 811;2 792;2 694;2 747;2 825;2 860;2 945;3 039;3 078;3 093;3 177;3 171;3 282
Dánia;4 720;4 553;4 590;4 675;4 569;4 584;4 627;4 650;4 720;4 814;4 909;4 881;4 995;5 105;5 191;5 356;5 455;5 557;5 615;5 615;5 666
Észtország;630;684;612;611;652;670;692;693;694;671;676;693;721;772;805;783;783;791;798;822;849
Finnország;2 450;2 530;2 532;2 472;2 449;2 433;2 413;2 356;2 311;2 332;2 336;2 301;2 297;2 328;2 400;2 436;2 430;2 406;2 398;2 374;2 407
Franciaország;23 885;23 807;24 194;23 691;23 485;23 938;23 517;23 602;24 376;23 505;24 206;25 289;24 883;24 591;25 828;25 935;26 572;26 509;26 023;26 036;26 152
Görögország;2 012;2 032;2 069;2 064;2 038;2 054;2 065;2 043;2 053;2 051;2 044;2 029;2 020;2 017;2 018;1 972;1 910;1 921;1 845;1 959;1 990
Hollandia;11 155;10 970;10 677;11 075;10 905;10 847;11 127;11 221;11 460;11 656;11 805;11 835;11 893;12 409;12 682;13 551;14 559;14 544;14 426;14 944;14 932
Horvátország;615;663;706;670;708;813;870;882;848;820;785;801;828;739;728;707;689;668;634;615;612
Írország;5 160;5 382;5 368;5 310;5 268;5 061;5 224;5 225;5 090;5 228;5 327;5 537;5 388;5 584;5 816;6 585;6 851;7 478;7 831;8 245;8 561
Lengyelország;11 890;11 885;11 874;11 927;11 855;11 946;12 003;12 117;12 445;12 467;12 298;12 434;12 685;12 735;13 002;13 253;13 252;13 312;14 179;14 511;14 831
Lettország;825;848;814;786;786;810;815;842;835;831;834;845;874;915;972;978;986;1 000;983;981;990
Litvánia;1 725;1 730;1 771;1 796;1 849;1 862;1 891;1 937;1 884;1 791;1 737;1 786;1 778;1 723;1 795;1 739;1 628;1 571;1 572;1 551;1 492
Luxemburg;264;270;271;268;269;271;269;275;279;285;297;295;293;299;320;349;379;390;411;424;451
Magyarország;2 157;2 157;2 143;2 044;1 903;1 937;1 851;1 849;1 846;1 763;1 691;1 718;1 818;1 778;1 877;1 947;1 924;1 973;1 954;1 967;2 019
Málta;52;52;49;47;44;44;44;44;43;43;45;44;46;44;45;44;46;44;43;44;45
Németország;28 353;28 213;27 899;28 563;28 274;28 481;28 023;28 432;28 687;29 200;29 646;30 355;30 704;31 351;32 419;32 708;32 700;32 626;33 110;33 103;33 189
Olaszország;13 299;12 329;12 374;12 336;11 633;11 863;11 811;11 481;12 116;11 198;11 135;11 113;11 224;11 004;11 640;11 785;11 429;12 029;13 132;13 300;13 510
Portugália;2 203;2 119;2 234;2 083;2 142;2 195;2 113;2 092;2 142;2 112;2 028;2 026;2 044;1 954;2 044;2 150;2 061;2 055;2 040;2 082;2 099
Románia;4 622;4 780;4 982;5 217;5 504;5 552;5 964;5 666;5 540;5 283;4 616;4 727;4 552;4 614;4 803;4 677;4 586;4 439;4 443;4 340;4 363
Spanyolország;6 937;7 213;7 338;7 341;7 274;7 250;7 108;7 046;7 272;7 273;7 465;7 523;7 505;7 632;7 856;7 865;8 153;8 087;8 418;8 560;8 686
