20.1.1.1. A munkaerõpiac legfontosabb éves adatai;;;;;;;;;;;;;;;
Év;Aktivitási arány a 15–74 éves népességben, %;Foglalkoztatási ráta a 15–64 éves népességben, %;Munkanélküliségi arány a 15–74 éves népességben, %;Tartósan munkanélküliek aránya az összes munkanélkülin belül, %;A nyilvántartott álláskeresõk száma, fõ;Alkalmazásban állók száma a nemzetgazdaságban, ezer fõ;Ebbõl: teljes munkaidõben alkalmazásban állók száma, ezer fõ;Ebbõl: közfoglalkoztatottak száma, ezer fõ;Üres álláshelyek aránya,%;Havi bruttó átlagkereset, Ft/hó/fõ;Havi nettó átlagkereset, Ft;Havi bruttó munkajövedelem, Ft;Havi bruttó átlagkeresetek változása az elõzõ évhez képest, %;Havi nettó átlagkeresetek változása az elõzõ évhez képest, %;Havi bruttó munkajövedelem változása az elõzõ évhez képest, %
2009;56,2;57,2;9,7;42,9;604 576;2 660,7;2382,5;…;0,9;199 836;124 115;212 876;100,5;101,7;101,1
2010;56,7;57,0;10,8;50,7;591 278;2 701,9;2414,8;…;1,0;202 525;132 604;215 997;101,3;106,8;101,5
2011;57,1;57,6;10,7;49,4;552 308;2 691,5;2372,8;…;1,1;213 094;141 151;227 405;105,2;106,4;105,3
2012;58,0;58,6;10,7;47,0;569 261;2 674,1;2372,9;…;1,0;223 060;144 084;235 491;104,6;102,0;103,6
2013;58,7;60,1;9,8;50,5;414 273;2 700,2;2397,9;129,1;1,2;230 713;151 117;244 261;103,4;104,8;103,7
2014;60,3;63,6;7,5;49,6;391 040;2 823,0;2531,9;182,5;1,4;237 694;155 689;250 611;103,0;103,0;102,6
2015;61,6;65,9;6,6;47,6;337 478;2 894,9;2604,7;191,9;1,5;247 924;162 391;261 398;104,3;104,3;104,3
2016;62,8;68,5;5,0;48,4;273 498;2 977,9;2 689,9;202,5;1,9;263 171;175 009;277 232;106,2;107,8;106,1
2017;63,5;70,2;4,0;42,6;254 749;3 026,9;2 727,4;164,6;2,2;297 017;197 516;312 144;112,9;112,9;112,6
2018;64,3;71,4;3,6;41,1;241 898;3 116,8;2 794,6;125,9;2,7;329 943;219 412;346 701;111,3;111,3;111,4
2019;64,7;72,2;3,3;34,6;234 903;3 185,7;2 852,7;101,1;2,5;367 833;244 609;383 374;111,4;111,4;110,6
2020;64,8;71,9;4,1;28,2;290 694;3 076,7;2 700,4;88,7;2,0;403 616;268 405;419 988;109,7;109,7;109,6
2021;65,6;73,1;4,1;31,2;238 712;3 173,2;2 832,4;84,1;..;438 814;291 812;458 381;108,7;108,7;109,1
