20.1.1.3. A 15–64 éves népesség gazdasági aktivitása, nemenként;;;;;;;;;
Év;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
2009;3 864,0;417,1;4 281,1;2 472,7;6 753,8;670,6;63,4;9,7;57,2
2010;3 842,7;468,9;4 311,6;2 424,4;6 736,0;735,1;64,0;10,9;57,0
2011;3 868,2;465,2;4 333,4;2 385,1;6 718,5;759,7;64,5;10,7;57,6
2012;3 924,3;471,7;4 396,0;2 298,1;6 694,1;785,1;65,7;10,7;58,6
2013;3 996,5;439,4;4 435,9;2 210,9;6 646,8;757,4;66,7;9,9;60,1
2014;4 191,7;342,2;4 533,9;2 053,8;6 587,7;615,2;68,8;7,5;63,6
2015;4 300,4;306,8;4 607,2;1 923,3;6 530,4;526,9;70,5;6,7;65,9
2016;4 439,9;233,7;4 673,7;1 804,2;6 477,9;414,2;72,1;5,0;68,5
2017;4 500,4;191,4;4 691,7;1 723,4;6 415,2;351,6;73,1;4,1;70,2
2018;4 547,6;171,5;4 719,0;1 650,4;6 369,5;308,5;74,1;3,6;71,4
2019;4 568,5;157,9;4 726,3;1 600,8;6 327,1;292,1;74,7;3,3;72,2
2020;4 518,6;196,1;4 714,7;1 565,6;6 280,3;371,4;75,1;4,2;71,9
2021;4 535,4;192,6;4 728,0;1 478,8;6 206,7;346,6;76,2;4,1;73,1
Férfi;;;;;;;;;
2009;2 007,4;231,8;2 239,2;1 065,0;3 304,2;356,7;67,8;10,4;60,8
2010;1 976,4;261,6;2 238,0;1 061,0;3 298,9;391,2;67,8;11,7;59,9
2011;2 002,5;251,4;2 253,9;1 040,5;3 294,4;398,0;68,4;11,2;60,8
2012;2 029,3;261,8;2 291,1;1 001,1;3 292,2;409,6;69,6;11,4;61,6
2013;2 085,4;239,0;2 324,4;947,7;3 272,1;391,7;71,0;10,3;63,7
2014;2 203,1;181,4;2 384,5;862,2;3 246,7;314,6;73,4;7,6;67,9
2015;2 264,9;161,3;2 426,2;796,7;3 222,9;269,4;75,3;6,6;70,3
2016;2 337,5;127,3;2 464,8;738,2;3 203,1;212,8;77,0;5,2;73,0
2017;2 389,8;95,7;2 485,5;691,4;3 176,9;169,5;78,2;3,8;75,2
2018;2 411,6;88,0;2 499,6;661,6;3 161,2;150,9;79,1;3,5;76,3
2019;2 435,9;85,4;2 521,2;628,5;3 149,7;147,6;80,0;3,4;77,3
2020;2 416,0;103,5;2 519,5;615,4;3 134,9;182,8;80,4;4,1;77,1
2021;2 417,1;98,5;2 515,6;585,4;3 101,0;169,8;81,1;3,9;77,9
Nõ;;;;;;;;;
2009;1 856,6;185,3;2 041,9;1 407,7;3 449,6;313,8;59,2;9,1;53,8
2010;1 866,3;207,3;2 073,7;1 363,4;3 437,1;343,9;60,3;10,0;54,3
2011;1 865,7;213,8;2 079,5;1 344,6;3 424,1;361,8;60,7;10,3;54,5
2012;1 895,0;209,9;2 104,9;1 297,0;3 401,9;375,5;61,9;10,0;55,7
2013;1 911,2;200,4;2 111,5;1 263,1;3 374,7;365,8;62,6;9,5;56,6
2014;1 988,6;160,8;2 149,4;1 191,7;3 341,1;300,6;64,3;7,5;59,5
2015;2 035,5;145,5;2 181,0;1 126,5;3 307,5;257,4;65,9;6,7;61,5
2016;2 102,4;106,4;2 208,8;1 066,0;3 274,8;201,4;67,4;4,8;64,2
2017;2 110,5;95,7;2 206,2;1 032,0;3 238,2;182,1;68,1;4,3;65,2
2018;2 136,0;83,4;2 219,5;988,8;3 208,3;157,6;69,2;3,8;66,6
2019;2 132,6;72,5;2 205,1;972,3;3 177,4;144,5;69,4;3,3;67,1
2020;2 102,6;92,6;2 195,2;950,2;3 145,4;188,6;69,8;4,2;66,8
2021;2 118,3;94,1;2 212,4;893,3;3 105,7;176,8;71,2;4,3;68,2
