20.1.1.4. A munkavállalási korú népesség gazdasági aktivitása, nemenként;;;;;;;;;
Év;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;Munkavállalási korú népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
2009;3 831,4;416,6;4 248,0;2 162,5;6 410,6;666,5;66,3;9,8;59,8
2010;3 811,4;468,4;4 279,8;2 110,6;6 390,4;730,4;67,0;10,9;59,6
2011;3 833,0;464,5;4 297,5;2 055,0;6 352,5;753,9;67,6;10,8;60,3
2012;3 886,8;470,3;4 357,2;1 949,3;6 306,5;777,8;69,1;10,8;61,6
2013;3 963,8;438,2;4 401,9;1 856,6;6 258,6;749,8;70,3;10,0;63,3
2014;4 155,1;341,1;4 496,2;1 689,4;6 185,7;606,2;72,7;7,6;67,2
2015;4 275,8;306,4;4 582,1;1 677,9;6 260,1;523,3;73,2;6,7;68,3
2016;4 403,7;232,7;4 636,4;1 577,6;6 214,0;410,5;74,6;5,0;70,9
2017;4 489,3;190,6;4 679,9;1 601,6;6 281,5;348,6;74,5;4,1;71,5
2018;4 527,7;171,0;4 698,7;1 517,0;6 215,7;306,2;75,6;3,6;72,8
2019;4 568,5;157,9;4 726,3;1 600,8;6 327,1;292,1;74,7;3,3;72,2
2020;4 518,6;196,1;4 714,7;1 565,6;6 280,3;371,4;75,1;4,2;71,9
2021;4 535,4;192,6;4 728,0;1 478,8;6 206,7;346,6;76,2;4,1;73,1
Férfi;;;;;;;;;
2009;1 988,6;231,7;2 220,3;933,8;3 154,1;355,2;70,4;10,4;63,0
2010;1 959,3;261,5;2 220,8;924,7;3 145,5;389,2;70,6;11,8;62,3
2011;1 982,0;251,1;2 233,1;893,0;3 126,1;395,1;71,4;11,2;63,4
2012;2 009,9;260,8;2 270,7;848,5;3 119,2;405,5;72,8;11,5;64,4
2013;2 066,1;238,5;2 304,6;792,1;3 096,7;388,2;74,4;10,3;66,7
2014;2 181,3;180,6;2 361,9;706,0;3 067,9;308,9;77,0;7,6;71,1
2015;2 251,8;161,0;2 412,8;694,2;3 107,0;267,7;77,7;6,7;72,5
2016;2 314,5;126,8;2 441,3;643,9;3 085,2;211,1;79,1;5,2;75,0
2017;2 382,8;95,4;2 478,2;642,6;3 120,8;168,5;79,4;3,9;76,4
2018;2 401,6;87,9;2 489,5;602,9;3 092,5;150,0;80,5;3,5;77,7
2019;2 435,9;85,4;2 521,2;628,5;3 149,7;147,6;80,0;3,4;77,3
2020;2 416,0;103,5;2 519,5;615,4;3 134,9;182,8;80,4;4,1;77,1
2021;2 417,1;98,5;2 515,6;585,4;3 101,0;169,8;81,1;3,9;77,9
Nõ;;;;;;;;;
2009;1 842,8;184,9;2 027,7;1 228,8;3 256,5;311,3;62,3;9,1;56,6
2010;1 852,1;206,9;2 059,0;1 185,9;3 244,9;341,2;63,5;10,0;57,1
2011;1 850,9;213,4;2 064,3;1 162,1;3 226,4;358,8;64,0;10,3;57,4
2012;1 876,9;209,5;2 086,5;1 100,9;3 187,3;372,3;65,5;10,0;58,9
2013;1 897,7;199,7;2 097,3;1 064,5;3 161,8;361,6;66,3;9,5;60,0
2014;1 973,8;160,5;2 134,3;983,5;3 117,8;297,3;68,5;7,5;63,3
2015;2 024,0;145,3;2 169,3;983,7;3 153,1;255,5;68,8;6,7;64,2
2016;2 089,2;105,9;2 195,1;933,7;3 128,8;199,4;70,2;4,8;66,8
2017;2 106,5;95,2;2 201,7;959,0;3 160,6;180,1;69,7;4,3;66,6
2018;2 126,1;83,1;2 209,2;914,1;3 123,3;156,2;70,7;3,8;68,1
2019;2 132,6;72,5;2 205,1;972,3;3 177,4;144,5;69,4;3,3;67,1
2020;2 102,6;92,6;2 195,2;950,2;3 145,4;188,6;69,8;4,2;66,8
2021;2 118,3;94,1;2 212,4;893,3;3 105,7;176,8;71,2;4,3;68,2
