20.1.1.5. A 15–74 éves népesség gazdasági aktivitása korcsoportok szerint, nemenként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korcsoport, éves;Foglalkoztatottak, ezer fõ, 2009;Munkanélküliek, ezer fõ, 2009;Gazdaságilag aktívak, ezer fõ, 2009;Gazdaságilag nem aktívak, ezer fõ, 2009;15–74 éves népesség, ezer fõ, 2009;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2009;Aktivitási arány, %, 2009;Munkanélküliségi ráta, %, 2009;Foglalkoztatási ráta, %, 2009;Foglalkoztatottak, ezer fõ, 2010;Munkanélküliek, ezer fõ, 2010;Gazdaságilag aktívak, ezer fõ, 2010;Gazdaságilag nem aktívak, ezer fõ, 2010;15–74 éves népesség, ezer fõ, 2010;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2010;Aktivitási arány, %, 2010;Munkanélküliségi ráta, %, 2010;Foglalkoztatási ráta, %, 2010;Foglalkoztatottak, ezer fõ, 2011;Munkanélküliek, ezer fõ, 2011;Gazdaságilag aktívak, ezer fõ, 2011;Gazdaságilag nem aktívak, ezer fõ, 2011;15–74 éves népesség, ezer fõ, 2011;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2011;Aktivitási arány, %, 2011;Munkanélküliségi ráta, %, 2011;Foglalkoztatási ráta, %, 2011;Foglalkoztatottak, ezer fõ, 2012;Munkanélküliek, ezer fõ, 2012;Gazdaságilag aktívak, ezer fõ, 2012;Gazdaságilag nem aktívak, ezer fõ, 2012;15–74 éves népesség, ezer fõ, 2012;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2012;Aktivitási arány, %, 2012;Munkanélküliségi ráta, %, 2012;Foglalkoztatási ráta, %, 2012;Foglalkoztatottak, ezer fõ, 2013;Munkanélküliek, ezer fõ, 2013;Gazdaságilag aktívak, ezer fõ, 2013;Gazdaságilag nem aktívak, ezer fõ, 2013;15–74 éves népesség, ezer fõ, 2013;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2013;Aktivitási arány, %, 2013;Munkanélküliségi ráta, %, 2013;Foglalkoztatási ráta, %, 2013;Foglalkoztatottak, ezer fõ, 2014;Munkanélküliek, ezer fõ, 2014;Gazdaságilag aktívak, ezer fõ, 2014;Gazdaságilag nem aktívak, ezer fõ, 2014;15–74 éves népesség, ezer fõ, 2014;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2014;Aktivitási arány, %, 2014;Munkanélküliségi ráta, %, 2014;Foglalkoztatási ráta, %, 2014;Foglalkoztatottak, ezer fõ, 2015;Munkanélküliek, ezer fõ, 2015;Gazdaságilag aktívak, ezer fõ, 2015;Gazdaságilag nem aktívak, ezer fõ, 2015;15–74 éves népesség, ezer fõ, 2015;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2015;Aktivitási arány, %, 2015;Munkanélküliségi ráta, %, 2015;Foglalkoztatási ráta, %, 2015;Foglalkoztatottak, ezer fõ, 2016;Munkanélküliek, ezer fõ, 2016;Gazdaságilag aktívak, ezer fõ, 2016;Gazdaságilag nem aktívak, ezer fõ, 2016;15–74 éves népesség, ezer fõ, 2016;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2016;Aktivitási arány, %, 2016;Munkanélküliségi ráta, %, 2016;Foglalkoztatási ráta, %, 2016;Foglalkoztatottak, ezer fõ, 2017;Munkanélküliek, ezer fõ, 2017;Gazdaságilag aktívak, ezer fõ, 2017;Gazdaságilag nem aktívak, ezer fõ, 2017;15–74 éves népesség, ezer fõ, 2017;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2017;Aktivitási arány, %, 2017;Munkanélküliségi ráta, %, 2017;Foglalkoztatási ráta, %, 2017;Foglalkoztatottak, ezer fõ, 2018;Munkanélküliek, ezer fõ, 2018;Gazdaságilag aktívak, ezer fõ, 2018;Gazdaságilag nem aktívak, ezer fõ, 2018;15–74 éves népesség, ezer fõ, 2018;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2018;Aktivitási arány, %, 2018;Munkanélküliségi ráta, %, 2018;Foglalkoztatási ráta, %, 2018;Foglalkoztatottak, ezer fõ, 2019;Munkanélküliek, ezer fõ, 2019;Gazdaságilag aktívak, ezer fõ, 2019;Gazdaságilag nem aktívak, ezer fõ, 2019;15–74 éves népesség, ezer fõ, 2019;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2019;Aktivitási arány, %, 2019;Munkanélküliségi ráta, %, 2019;Foglalkoztatási ráta, %, 2019;Foglalkoztatottak, ezer fõ, 2020;Munkanélküliek, ezer fõ, 2020;Gazdaságilag aktívak, ezer fõ, 2020;Gazdaságilag nem aktívak, ezer fõ, 2020;15–74 éves népesség, ezer fõ, 2020;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2020;Aktivitási arány, %, 2020;Munkanélküliségi ráta, %, 2020;Foglalkoztatási ráta, %, 2020;Foglalkoztatottak, ezer fõ, 2021;Munkanélküliek, ezer fõ, 2021;Gazdaságilag aktívak, ezer fõ, 2021;Gazdaságilag nem aktívak, ezer fõ, 2021;15–74 éves népesség, ezer fõ, 2021;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2021;Aktivitási arány, %, 2021;Munkanélküliségi ráta, %, 2021;Foglalkoztatási ráta, %, 2021
Együtt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15–19;11,5;11,4;22,9;563,7;586,6;19,1;3,9;49,7;2,0;11,8;9,8;21,7;557,9;579,6;16,1;3,7;45,4;2,0;11,2;8,4;19,6;552,8;572,3;15,8;3,4;43,0;1,9;10,2;10,8;20,9;536,0;557,0;18,6;3,8;51,5;1,8;12,6;13,5;26,1;510,5;536,6;22,5;4,9;51,7;2,4;17,9;11,0;28,8;486,6;515,4;20,8;5,6;38,0;3,5;22,1;10,7;32,8;465,9;498,7;17,9;6,6;32,6;4,4;24,8;8,8;33,7;453,9;487,6;16,3;6,9;26,2;5,1;26,0;8,2;34,2;446,7;480,9;15,4;7,1;23,9;5,4;28,2;8,2;36,3;441,4;477,7;14,8;7,6;22,4;5,9;30,0;9,1;39,1;437,4;476,5;16,8;8,2;23,3;6,3;23,8;7,9;31,7;447,7;479,4;15,4;6,6;24,8;5,0;23,9;9,9;33,8;446,2;480,0;17,2;7,0;29,3;5,0
20–24;214,7;67,4;282,1;340,5;622,6;95,2;45,3;23,9;34,5;212,4;68,4;280,8;334,2;614,9;95,0;45,7;24,4;34,5;207,3;66,1;273,3;334,5;607,8;96,7;45,0;24,2;34,1;209,8;73,9;283,6;327,5;611,1;106,1;46,4;26,0;34,3;223,7;70,0;293,7;317,9;611,5;106,2;48,0;23,8;36,6;251,2;56,6;307,8;299,8;607,6;83,9;50,7;18,4;41,3;264,4;48,2;312,6;287,0;599,5;71,8;52,1;15,4;44,1;282,2;35,9;318,1;265,2;583,3;57,9;54,5;11,3;48,4;283,6;28,1;311,7;251,9;563,6;48,4;55,3;9,0;50,3;279,0;25,5;304,5;243,4;547,9;40,6;55,6;8,4;50,9;263,5;28,0;291,4;241,9;533,3;45,7;54,6;9,6;49,4;254,4;31,8;286,2;229,9;516,1;53,7;55,5;11,1;49,3;246,4;32,2;278,6;224,6;503,1;51,4;55,4;11,6;49,0
25–29;501,1;63,3;564,4;119,0;683,4;91,0;82,6;11,2;73,3;461,6;70,8;532,3;116,1;648,4;100,8;82,1;13,3;71,2;443,4;59,0;502,4;112,1;614,5;91,9;81,8;11,7;72,2;436,4;65,3;501,7;102,5;604,2;98,1;83,0;13,0;72,2;440,7;55,7;496,5;104,2;600,7;84,7;82,6;11,2;73,4;465,1;45,7;510,7;90,8;601,5;74,6;84,9;8,9;77,3;472,3;40,9;513,2;89,4;602,6;62,0;85,2;8,0;78,4;487,1;31,0;518,1;87,6;605,7;48,9;85,5;6,0;80,4;498,7;24,0;522,7;84,8;607,5;41,0;86,0;4,6;82,1;501,5;21,6;523,1;87,7;610,8;34,8;85,6;4,1;82,1;506,7;23,2;529,9;83,0;612,9;35,4;86,5;4,4;82,7;496,1;29,9;526,1;84,1;610,2;49,1;86,2;5,7;81,3;483,3;25,5;508,8;85,3;594,1;44,8;85,6;5,0;81,3
30–34;617,1;55,5;672,6;98,4;771,0;87,8;87,2;8,3;80,0;604,3;63,5;667,8;97,2;765,0;94,8;87,3;9,5;79,0;610,8;55,3;666,2;92,2;758,4;87,3;87,8;8,3;80,5;588,1;59,1;647,2;83,9;731,1;92,5;88,5;9,1;80,4;560,4;53,7;614,1;77,2;691,2;85,8;88,8;8,7;81,1;546,6;39,9;586,6;66,8;653,4;64,3;89,8;6,8;83,7;527,0;33,6;560,6;64,5;625,1;55,0;89,7;6,0;84,3;527,6;24,0;551,5;58,2;609,7;38,5;90,5;4,3;86,5;522,9;20,3;543,2;55,3;598,5;34,8;90,8;3,7;87,4;525,1;19,3;544,4;53,8;598,3;30,8;91,0;3,5;87,8;534,8;13,3;548,1;57,0;605,1;23,7;90,6;2,4;88,4;523,7;18,4;542,2;70,2;612,4;37,4;88,5;3,4;85,5;524,4;22,4;546,8;65,6;612,4;37,9;89,3;4,1;85,6
35–39;610,6;53,6;664,1;94,9;759,0;86,6;87,5;8,1;80,4;620,1;63,4;683,5;96,7;780,2;101,7;87,6;9,3;79,5;635,2;65,9;701,1;100,5;801,6;105,8;87,5;9,4;79,2;661,1;67,7;728,7;96,3;825,0;111,9;88,3;9,3;80,1;694,7;57,4;752,1;90,4;842,5;98,2;89,3;7,6;82,5;711,2;46,1;757,3;81,0;838,3;82,1;90,3;6,1;84,8;692,4;40,1;732,5;75,6;808,1;67,5;90,6;5,5;85,7;669,5;30,3;699,7;69,3;769,1;51,1;91,0;4,3;87,0;638,6;24,7;663,3;65,0;728,2;42,4;91,1;3,7;87,7;610,4;21,8;632,2;58,9;691,1;40,0;91,5;3,4;88,3;585,5;16,2;601,7;57,5;659,2;30,5;91,3;2,7;88,8;552,3;22,0;574,2;62,3;636,5;41,1;90,2;3,8;86,8;541,6;20,8;562,4;56,9;619,3;38,1;90,8;3,7;87,4
40–44;539,4;51,2;590,6;96,7;687,3;83,5;85,9;8,7;78,5;544,5;57,0;601,5;94,3;695,8;89,8;86,5;9,5;78,3;551,0;59,5;610,5;93,9;704,4;95,0;86,7;9,7;78,2;574,1;52,8;626,9;85,2;712,1;91,0;88,0;8,4;80,6;579,9;55,8;635,6;79,9;715,5;94,1;88,8;8,8;81,0;615,4;41,4;656,8;71,7;728,5;72,7;90,2;6,3;84,5;659,0;35,3;694,4;66,5;760,9;61,5;91,3;5,1;86,6;701,4;27,4;728,7;67,3;796,1;51,1;91,5;3,8;88,1;732,2;23,6;755,8;65,1;820,9;42,9;92,1;3,1;89,2;750,9;23,9;774,8;64,4;839,2;41,3;92,3;3,1;89,5;751,1;21,9;773,0;66,0;838,9;39,0;92,1;2,8;89,5;717,1;25,4;742,5;70,1;812,7;48,7;91,4;3,4;88,2;692,2;21,2;713,4;60,0;773,4;38,4;92,2;3,0;89,5
45–49;493,0;47,6;540,6;121,2;661,8;82,1;81,7;8,8;74,5;477,8;51,3;529,0;103,3;632,4;83,5;83,7;9,7;75,6;459,6;52,6;512,2;91,5;603,7;87,8;84,8;10,3;76,1;473,5;47,1;520,6;85,7;606,3;83,0;85,9;9,1;78,1;499,4;47,0;546,3;83,6;629,9;86,2;86,7;8,6;79,3;542,8;33,3;576,1;78,0;654,1;67,0;88,1;5,8;83,0;570,8;31,2;602,0;75,1;677,1;57,4;88,9;5,2;84,3;597,3;22,9;620,2;76,0;696,3;44,9;89,1;3,7;85,8;622,0;18,0;640,0;65,5;705,5;37,8;90,7;2,8;88,2;630,2;16,6;646,9;62,6;709,5;32,2;91,2;2,6;88,8;646,8;16,6;663,5;62,8;726,2;31,4;91,4;2,5;89,1;668,0;22,3;690,3;70,5;760,7;41,6;90,7;3,2;87,8;705,7;20,1;725,8;67,3;793,1;38,1;91,5;2,8;89,0
50–54;451,4;37,7;489,1;161,6;650,7;64,9;75,2;7,7;69,4;450,1;45,2;495,4;155,0;650,4;76,4;76,2;9,1;69,2;453,8;48,3;502,0;147,0;649,0;84,6;77,4;9,6;69,9;458,4;48,2;506,6;121,9;628,5;84,6;80,6;9,5;72,9;449,6;39,5;489,1;117,4;606,5;77,5;80,6;8,1;74,1;458,1;28,5;486,6;105,2;591,8;60,7;82,2;5,8;77,4;468,8;28,6;497,5;85,4;582,9;52,3;85,3;5,8;80,4;477,5;22,6;500,0;80,3;580,4;41,9;86,2;4,5;82,3;495,2;19,1;514,3;76,8;591,2;34,3;87,0;3,7;83,8;525,8;16,2;542,0;73,0;615,0;30,0;88,1;3,0;85,5;550,7;13,5;564,2;77,1;641,3;27,6;88,0;2,4;85,9;576,1;16,6;592,7;73,2;665,9;37,7;89,0;2,8;86,5;597,5;18,7;616,2;67,7;683,8;33,6;90,1;3,0;87,4
55–59;347,9;26,7;374,6;352,1;726,7;49,2;51,5;7,1;47,9;381,5;35,9;417,4;329,0;746,5;62,7;55,9;8,6;51,1;407,1;45,0;452,1;313,7;765,9;79,1;59,0;10,0;53,2;422,7;41,0;463,7;303,9;767,5;80,1;60,4;8,8;55,1;432,6;39,7;472,3;277,5;749,8;78,2;63,0;8,4;57,7;450,4;28,8;479,2;233,0;712,2;59,3;67,3;6,0;63,2;443,6;23,9;467,5;199,8;667,3;49,9;70,1;5,1;66,5;440,8;17,3;458,1;171,2;629,4;35,4;72,8;3,8;70,0;428,4;13,4;441,8;157,7;599,5;28,0;73,7;3,0;71,5;428,5;10,4;438,9;140,1;578,9;23,9;75,8;2,4;74,0;421,6;9,9;431,5;135,6;567,1;23,9;76,1;2,3;74,3;421,4;13,7;435,1;125,2;560,3;27,0;77,7;3,1;75,2;438,5;14,1;452,6;104,9;557,5;26,5;81,2;3,1;78,7
