20.1.1.12. Foglalkoztatottak száma rész- vagy teljes munkaidõs foglalkozásuk szerint, nemenként [ezer fõ];;;;;;;;;
Év;Részmunkaidõs, férfi;Részmunkaidõs, nõ;Részmunkaidõs, együtt;Teljes munkaidõs, férfi;Teljes munkaidõs, nõ;Teljes munkaidõs, együtt;Összesen;Nem besorolt;Foglalkoztatottak összesen
2009;79,9;127,9;207,8;1 945,1;1 594,9;3 540,0;3 747,8;146,7;3 894,5
2010;79,0;140,8;219,8;1 913,5;1 599,0;3 512,6;3 732,4;141,4;3 873,8
2011;97,1;158,6;255,8;1 923,9;1 579,4;3 503,3;3 759,0;144,0;3 903,0
2012;96,6;174,1;270,7;1 952,3;1 604,3;3 556,5;3 827,2;131,5;3 958,7
2013;95,5;167,5;262,9;2 008,3;1 621,5;3 629,8;3 892,8;136,5;4 029,3
2014;99,4;162,3;261,6;2 113,1;1 710,4;3 823,5;4 085,2;137,4;4 222,6
2015;99,4;155,0;254,3;2 180,6;1 768,8;3 949,4;4 203,7;131,4;4 335,1
2016;83,3;144,8;228,1;2 277,7;1 842,3;4 120,1;4 348,2;134,0;4 482,2
2017;75,2;137,3;212,5;2 342,1;1 866,8;4 208,9;4 421,4;127,0;4 548,4
2018;76,8;139,6;216,4;2 369,4;1 883,7;4 253,1;4 469,5;136,9;4 606,4
2019;80,7;152,8;233,4;2 399,0;1 879,7;4 278,7;4 512,1;132,4;4 644,6
2020;87,3;164,7;252,1;2 373,6;1 834,7;4 208,4;4 460,5;142,8;4 603,2
2021;85,6;166,6;252,2;2 386,2;1 996,1;4 382,3;4 634,6;0,0;4 634,6
