20.1.1.13. Alkalmazottak száma munkaszerzõdésük idõtartama szerint, nemenként [ezer fõ];;;;;;;;;
Év;Határozatlan idõre szóló munkaszerzõdés, férfi;Határozatlan idõre szóló munkaszerzõdés, nõ;Határozatlan idõre szóló munkaszerzõdés, együtt;Meghatározott idõre szóló munkaszerzõdés, férfi;Meghatározott idõre szóló munkaszerzõdés, nõ;Meghatározott idõre szóló munkaszerzõdés, együtt;Összesen;Nem besorolt;Alkalmazottak összesen
2009;1 555,1;1 442,2;2 997,2;155,1;122,5;277,7;3 274,9;133,5;3 408,4
2010;1 515,9;1 437,2;2 953,0;172,5;147,2;319,6;3 272,7;127,5;3 400,2
2011;1 547,0;1 455,6;3 002,6;166,0;134,0;299,9;3 302,5;130,5;3 433,1
2012;1 571,3;1 484,6;3 056,0;183,4;138,8;322,2;3 378,1;119,5;3 497,6
2013;1 605,1;1 471,2;3 076,2;206,9;170,7;377,6;3 453,8;123,9;3 577,7
2014;1 695,6;1 548,2;3 243,8;214,6;177,9;392,6;3 636,4;112,2;3 748,6
2015;1 748,4;1 572,9;3 321,4;228,7;196,9;425,6;3 747,0;115,9;3 862,9
2016;1 864,4;1 638,7;3 503,2;191,9;185,8;377,8;3 880,9;120,8;4 001,7
2017;1 951,1;1 664,0;3 615,1;174,8;174,6;349,4;3 964,4;118,9;4 083,3
2018;2 001,1;1 710,3;3 711,4;144,2;148,3;292,5;4 003,9;128,8;4 132,7
2019;2 027,5;1 728,9;3 756,3;132,9;134,3;267,2;4 023,6;121,5;4 145,1
2020;2 000,2;1 691,6;3 691,7;113,1;118,4;231,5;3 923,2;133,4;4 056,6
2021;1 988,5;1 828,7;3 817,1;119,1;121,5;240,6;4 057,7;0,0;4 057,7
