20.1.1.18. Foglalkoztatási ráta legmagasabb iskolai végzettség szerint, nemenként [%];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;5,6;21,2;64,0;42,1;65,3;75,8;76,3;50,7
2010;8,1;21,1;62,7;41,2;64,3;75,0;76,0;50,6
2011;7,2;21,3;62,1;41,9;63,9;75,5;77,3;51,0
2012;8,4;21,6;61,7;42,7;64,1;75,7;77,0;51,8
2013;9,9;22,3;62,0;44,3;65,1;75,0;78,8;52,9
2014;11,9;26,3;64,2;46,9;67,6;75,3;78,9;55,8
2015;15,1;28,6;65,0;49,7;68,8;76,5;80,7;57,5
2016;17,8;31,3;66,1;54,0;70,3;78,7;81,3;59,7
2017;17,9;33,4;67,1;54,5;71,1;78,0;81,9;61,0
2018;18,1;34,1;68,3;55,0;70,7;77,6;83,6;62,0
2019;19,0;34,0;69,3;55,9;71,3;78,5;82,3;62,6
2020;19,7;33,1;67,7;57,0;70,1;77,0;81,8;62,1
2021;19,7;34,1;67,0;56,8;70,8;77,5;83,2;63,0
Férfi;;;;;;;;
2009;8,8;24,0;68,1;41,5;68,8;74,3;76,3;55,1
2010;10,7;23,6;65,6;41,0;67,5;73,2;75,3;54,3
2011;9,7;24,7;65,2;42,7;67,3;75,0;77,0;55,1
2012;12,7;25,6;64,7;42,4;67,8;75,5;76,8;55,7
2013;13,3;26,5;65,7;45,5;70,1;75,3;77,7;57,4
2014;15,4;31,6;68,2;50,1;73,4;75,4;79,5;60,8
2015;21,0;35,1;69,0;52,3;74,6;78,1;80,9;62,7
2016;20,5;38,1;70,8;58,3;75,9;80,5;80,8;65,1
2017;19,5;40,5;72,3;59,2;77,3;80,6;82,4;66,9
2018;20,3;42,1;73,2;60,6;76,6;79,0;84,4;67,9
2019;19,9;42,2;74,2;60,7;78,7;82,6;83,5;68,8
2020;21,8;40,6;72,8;61,9;77,8;81,5;83,3;68,2
2021;19,7;42,3;72,3;62,4;77,6;82,2;85,1;69,0
Nõ;;;;;;;;
2009;3,7;19,0;56,8;42,5;62,2;76,7;76,3;46,7
2010;6,5;19,2;57,6;41,3;61,6;76,0;76,8;47,1
2011;5,4;18,8;56,6;41,4;60,8;75,8;77,6;47,3
2012;5,6;18,5;56,3;42,9;60,9;75,8;77,1;48,2
2013;7,6;19,1;55,4;43,5;60,7;74,8;79,9;48,8
2014;9,2;22,1;57,1;45,0;62,4;75,2;78,3;51,1
2015;10,6;23,5;58,0;48,1;63,4;75,6;80,5;52,6
2016;15,7;26,1;58,1;51,3;65,2;77,7;81,7;54,7
2017;16,5;28,0;58,0;51,5;65,5;76,5;81,4;55,4
2018;16,5;28,0;59,5;51,6;65,5;76,7;82,8;56,4
2019;18,2;27,5;60,6;52,8;64,3;76,3;81,1;56,8
2020;18,0;27,1;58,5;53,8;62,9;74,5;80,4;56,3
2021;19,6;27,3;57,6;53,0;64,4;75,0;81,4;57,3
