20.1.1.34. A 15–64 éves, legfeljebb alapfokú végzettségûek foglalkoztatási rátájának eltérése a 15–64 évesek foglalkoztatási rátájától [százalékpont];;;;;;;;;;;;;
Megnevezés;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A 15–64 éves, legfeljebb alapfokú végzettségûek foglalkoztatási rátájának eltérése a 15–64 évesek foglalkoztatási rátájától;-31,0;-30,9;-31,4;-32,1;-32,8;-31,7;-31,5;-31,4;-31,0;-31,3;-32,3;-33,6;-33,9
Nemek szerint;;;;;;;;;;;;;
férfi;-31,9;-31,8;-31,8;-31,6;-32,9;-31,6;-30,4;-30,5;-31,0;-30,5;-31,4;-33,2;-33,0
nõ;-29,7;-29,8;-30,6;-32,2;-32,2;-31,4;-32,1;-31,7;-30,3;-31,5;-32,7;-33,6;-34,5
Régiók szerint;;;;;;;;;;;;;
Budapest;-36,8;-35,2;-36,1;-39,0;-41,4;-40,6;-40,1;-38,4;-38,3;-38,9;-43,7;-46,7;-51,4
Pest;-31,3;-32,2;-32,7;-33,5;-35,6;-35,0;-34,5;-36,1;-36,2;-31,9;-37,1;-39,8;-36,8
Közép-Magyarország;-34,4;-34,0;-34,7;-36,6;-38,7;-38,0;-37,6;-37,6;-37,7;-35,3;-40,3;-43,2;-43,3
Közép-Dunántúl;-26,7;-26,8;-26,7;-28,1;-29,4;-31,3;-29,4;-29,0;-28,3;-29,9;-28,0;-30,1;-31,3
Nyugat-Dunántúl;-31,1;-30,9;-31,7;-29,9;-31,5;-29,0;-34,3;-32,7;-31,1;-30,1;-32,0;-35,7;-38,1
Dél-Dunántúl;-29,5;-28,8;-30,5;-30,4;-30,7;-30,0;-28,0;-28,4;-27,0;-29,1;-28,2;-27,2;-29,4
Dunántúl;-29,2;-28,8;-29,6;-29,7;-30,9;-30,6;-30,7;-30,2;-29,1;-30,1;-29,7;-31,3;-33,2
Észak-Magyarország;-31,8;-31,3;-31,8;-31,5;-29,9;-28,6;-29,0;-29,2;-29,2;-27,7;-29,4;-28,1;-25,2
Észak-Alföld;-26,9;-28,1;-27,5;-28,2;-28,7;-27,0;-25,3;-24,7;-25,9;-28,2;-28,0;-28,2;-27,7
Dél-Alföld;-28,3;-28,7;-29,0;-30,1;-30,0;-28,5;-29,6;-30,0;-28,2;-31,5;-30,1;-31,3;-33,5
Alföld és Észak;-28,9;-29,5;-29,4;-29,9;-29,6;-28,1;-27,8;-27,7;-27,7;-29,1;-29,2;-29,2;-28,7
