20.1.1.39. Az 15–64 éves egy évvel korábban nem foglalkoztatottak közül foglalkoztatottakká válók aránya, (önbesorolás alapján) [%];;;;;;;;;;;;;
Megnevezés;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Az 15–64 éves egy évvel korábban nem foglalkoztatottak közül foglalkoztatottakká válók aránya;9,0;10,2;9,9;10,0;10,8;13,6;13,5;13,6;13,1;12,7;12,3;12,2;13,3
Nemek szerint;;;;;;;;;;;;;
férfi;9,6;11,1;10,6;11,1;12,1;15,3;14,9;14,7;14,9;14,3;13,5;12,7;15,2
nõ;8,5;9,6;9,3;9,2;9,8;12,4;12,5;12,9;12,0;11,7;11,6;11,9;12,2
Iskolai végzettség szerint;;;;;;;;;;;;;
8 általánosnál kevesebb;3,2;5,6;3,7;5,1;5,6;6,7;8,1;8,6;7,7;6,6;5,2;7,1;6,7
Általános iskola 8. osztálya;5,1;5,8;5,7;5,7;6,2;8,9;9,5;9,3;8,8;7,8;7,7;7,1;7,7
Szakiskola és szakmunkásképzõ;12,1;14,1;14,0;13,9;15,0;18,8;18,4;17,8;16,3;14,8;14,9;14,1;17,8
Gimnázium;6,6;7,3;6,4;6,7;8,5;10,8;9,5;10,8;11,3;11,4;10,6;10,9;9,7
Egyéb érettségi;13,3;14,4;13,7;13,8;14,5;17,4;17,6;18,1;17,6;17,7;18,0;18,4;21,4
Fõiskola;18,0;18,5;18,1;17,6;18,5;20,6;19,6;20,8;19,2;20,3;20,0;19,3;22,0
Egyetem;17,9;19,2;21,6;22,8;19,6;21,5;23,9;26,9;28,2;28,3;26,8;28,5;28,9
Korcsoport szerint, éves;;;;;;;;;;;;;
15–19;1,7;1,9;1,9;1,6;2,0;2,9;3,8;4,1;4,3;4,5;5,2;4,5;3,6
20–24;13,4;14,8;13,7;13,6;16,4;19,1;18,8;20,7;20,9;20,2;17,4;17,5;17,2
25–29;21,5;23,1;21,7;21,9;23,4;27,7;27,0;28,4;27,9;25,4;25,5;25,6;27,1
30–34;19,4;19,7;20,7;20,9;21,1;25,2;25,8;23,8;25,3;23,4;21,6;19,6;21,8
35–39;21,1;21,4;20,4;20,7;20,4;27,1;24,5;23,9;22,9;24,6;22,0;22,0;24,2
40–44;16,4;19,1;19,2;20,6;19,5;26,9;27,2;25,9;25,6;22,3;24,8;21,7;24,4
45–49;11,8;16,2;15,7;17,1;18,4;22,7;20,5;21,5;20,1;19,3;19,3;17,3;24,2
50–54;8,6;10,8;10,8;12,0;14,2;17,2;17,6;16,4;14,6;13,9;10,5;13,7;16,4
55–59;2,7;4,1;4,6;5,0;5,7;9,5;10,3;8,7;6,7;8,3;6,5;6,7;10,5
60–64;0,5;0,4;0,4;0,6;0,6;1,5;1,9;2,0;2,0;1,6;2,3;2,8;2,6
Régiók szerint;;;;;;;;;;;;;
Budapest;8,0;9,5;8,5;9,1;9,6;12,1;10,6;12,3;13,5;13,0;11,4;11,8;14,5
Pest;7,4;7,8;7,7;8,0;8,5;10,6;10,4;10,6;10,1;10,7;12,4;12,3;11,5
Közép-Magyarország;7,8;8,8;8,1;8,6;9,1;11,4;10,5;11,5;11,9;12,0;11,8;12,0;13,1
Közép-Dunántúl;9,4;10,2;11,1;9,4;10,6;12,3;12,8;13,6;11,5;10,8;9,8;11,7;11,1
Nyugat-Dunántúl;8,8;10,3;11,0;10,7;10,5;12,7;13,0;11,1;10,8;10,9;12,0;11,5;12,1
Dél-Dunántúl;10,0;11,9;10,4;9,5;11,5;15,6;14,8;14,7;13,8;13,6;13,4;11,6;12,4
Dunántúl;9,4;10,8;10,8;9,8;10,9;13,6;13,6;13,2;12,1;11,8;11,7;11,6;11,9
Észak-Magyarország;9,4;10,8;9,4;10,5;12,4;15,2;16,9;16,5;15,0;14,7;15,0;13,6;15,5
Észak-Alföld;9,8;11,1;11,0;12,0;12,0;15,4;15,5;14,9;15,3;14,8;13,9;13,1;15,1
Dél-Alföld;8,6;9,8;10,1;10,1;10,8;14,0;12,8;13,8;13,3;11,8;10,0;11,1;12,6
Alföld és Észak;9,3;10,6;10,2;11,0;11,8;14,9;15,1;15,1;14,6;13,9;13,1;12,7;14,5
