20.1.1.35. A 25–49 éves nõk foglalkoztatási rátája [%];;;;;;;;;;;;;
Megnevezés;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A 25–49 éves nõk foglalkoztatási rátája;74,4;74,2;74,0;75,6;76,8;79,1;80,3;82,5;83,5;84,0;84,6;82,2;83,0
A háztartásban élõ gyermekek száma szerint;;;;;;;;;;;;;
1;76,8;77,3;76,6;77,9;79,0;80,6;82,3;84,7;84,5;84,7;86,0;82,1;84,7
2;76,6;75,4;75,2;77,6;79,4;80,5;81,2;81,7;84,6;83,8;84,8;82,8;82,4
3 vagy több;48,8;48,4;47,0;47,8;51,2;55,7;56,5;61,5;60,4;66,1;65,0;64,8;65,8
A háztartásban élõ legfiatalabb gyermek életkora szerint;;;;;;;;;;;;;
0–2;68,2;66,6;66,4;69,1;70,1;67,2;67,7;69,6;71,0;73,2;73,2;73,6;75,0
3–5;63,8;62,9;65,1;65,4;67,5;70,8;70,8;73,4;74,8;75,9;76,1;69,6;70,7
6–16;74,5;74,8;72,9;74,7;76,5;80,0;82,3;84,4;85,2;85,2;86,9;84,6;85,9
17–24;80,2;80,4;79,9;80,7;82,9;85,0;85,8;88,3;88,6;89,3;90,0;86,5;86,2
Nem él gyermek a háztartásban;77,9;77,6;78,8;80,3;80,3;83,1;84,2;86,3;87,3;87,8;87,8;85,9;86,3
