20.1.1.19. A munkanélküliek száma korcsoportok szerint, nemenként [ezer fõ];;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
15–24 
éves"
Együtt ;;;;;;;;;;;;;;
2009;11,4;67,4;63,3;55,5;53,6;51,2;47,6;37,7;26,7;2,8;...;...;417,4;78,8
2010;9,8;68,4;70,8;63,5;63,4;57,0;51,3;45,2;35,9;3,6;...;...;469,1;78,2
2011;8,4;66,1;59,0;55,3;65,9;59,5;52,6;48,3;45,0;5,1;...;...;465,4;74,5
2012;10,8;73,9;65,3;59,1;67,7;52,8;47,1;48,2;41,0;6,0;...;...;472,8;84,6
2013;13,5;70,0;55,7;53,7;57,4;55,8;47,0;39,5;39,7;7,2;...;...;440,2;83,5
2014;11,0;56,6;45,7;39,9;46,1;41,4;33,3;28,5;28,8;11,0;...;...;342,9;67,6
2015;10,7;48,2;40,9;33,6;40,1;35,3;31,2;28,6;23,9;14,3;...;...;307,7;58,9
2016;8,8;35,9;31,0;24,0;30,3;27,4;22,9;22,6;17,3;13,6;...;...;234,5;44,7
2017;8,2;28,1;24,0;20,3;24,7;23,6;18,0;19,1;13,4;11,9;...;...;191,6;36,3
2018;8,2;25,5;21,6;19,3;21,8;23,9;16,6;16,2;10,4;8,1;...;...;171,8;33,6
2019;9,1;28,0;23,2;13,3;16,2;21,9;16,6;13,5;9,9;6,1;...;...;158,9;37,1
2020;7,9;31,8;29,9;18,4;22,0;25,4;22,3;16,6;13,7;8,1;...;...;197,6;39,6
2021;9,9;32,2;25,5;22,4;20,8;21,2;20,1;18,7;14,1;7,6;...;...;195,7;42,1
Férfi;;;;;;;;;;;;;;
2009;7,0;40,4;37,7;30,7;28,9;27,5;25,0;17,8;15,1;1,5;...;...;231,8;47,5
2010;6,3;40,1;42,4;36,7;33,8;30,6;25,7;23,5;20,3;2,1;...;...;261,7;46,5
2011;5,2;38,6;33,6;29,6;36,1;31,4;25,2;23,5;25,3;2,8;...;...;251,5;43,9
2012;7,1;41,4;39,2;34,9;37,7;28,5;22,9;24,4;21,9;3,9;...;...;262,1;48,5
2013;8,2;38,3;32,9;30,7;29,9;28,8;22,3;20,8;22,5;4,6;...;...;239,3;46,6
2014;7,0;30,9;24,0;20,6;23,2;20,4;16,3;16,2;14,6;8,2;...;...;181,7;37,9
2015;5,9;29,4;22,0;16,8;18,3;16,3;16,3;14,6;12,5;9,2;...;...;161,9;35,3
2016;5,6;20,0;17,0;13,4;16,5;14,1;11,9;12,0;8,3;8,4;...;...;127,5;25,6
2017;4,7;14,3;11,1;11,9;12,0;11,1;9,5;9,3;6,0;5,9;...;...;95,7;18,9
2018;5,2;13,9;10,8;10,8;11,7;10,6;7,8;8,0;5,1;4,1;...;...;88,1;19,1
2019;5,5;17,6;13,0;7,3;7,7;9,7;9,0;6,3;5,6;3,7;...;...;86,1;23,1
2020;4,8;16,6;16,4;9,2;10,9;12,3;11,8;8,5;7,9;5,0;...;...;104,2;21,4
2021;6,4;14,8;14,7;9,7;9,9;10,8;9,4;9,6;8,7;4,5;...;...;99,9;21,2
Nõ;;;;;;;;;;;;;;
2009;4,4;27,0;25,5;24,8;24,6;23,7;22,6;19,9;11,6;1,3;...;...;185,6;31,3
2010;3,5;28,2;28,4;26,8;29,6;26,4;25,6;21,7;15,6;1,5;...;...;207,4;31,8
2011;3,2;27,4;25,4;25,7;29,7;28,1;27,4;24,8;19,8;2,3;...;...;214,0;30,6
2012;3,7;32,5;26,0;24,2;30,0;24,3;24,2;23,8;19,1;2,2;...;...;210,7;36,1
2013;5,3;31,6;22,8;23,0;27,5;27,0;24,6;18,7;17,2;2,7;...;...;201,0;36,9
2014;4,0;25,7;21,7;19,3;22,9;21,0;17,0;12,3;14,2;2,7;...;...;161,1;29,7
2015;4,8;18,7;18,9;16,9;21,8;19,1;14,9;14,0;11,4;5,1;...;...;145,7;23,5
2016;3,2;15,8;13,9;10,5;13,7;13,2;11,1;10,6;9,0;5,3;...;...;107,0;19,0
2017;3,5;13,9;12,9;8,5;12,7;12,5;8,5;9,8;7,4;6,0;...;...;95,8;17,3
2018;3,0;11,6;10,8;8,5;10,1;13,3;8,8;8,2;5,3;4,0;...;...;83,7;14,5
2019;3,6;10,4;10,2;6,0;8,5;12,2;7,7;7,2;4,3;2,4;...;...;72,8;14,0
2020;3,1;15,2;13,5;9,2;11,1;13,1;10,6;8,1;5,7;3,1;...;...;93,4;18,2
2021;3,5;17,4;10,9;12,7;11,0;10,4;10,7;9,1;5,4;3,1;...;...;95,8;21,0
