20.1.1.20. A munkanélküliek száma legmagasabb iskolai végzettségük szerint, nemenként [ezer fõ];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;7,4;123,9;142,9;32,8;74,4;27,1;9,0;417,4
2010;10,2;132,3;156,5;37,8;88,8;29,6;13,9;469,1
2011;10,7;129,4;155,1;39,6;87,7;30,1;12,8;465,4
2012;9,5;127,1;153,3;45,7;90,1;32,2;14,9;472,8
2013;8,3;119,0;145,3;42,2;83,4;29,8;12,1;440,2
2014;7,8;97,0;104,5;35,4;63,2;24,5;10,5;342,9
2015;8,2;94,8;91,5;32,6;52,6;18,8;9,3;307,7
2016;5,9;73,3;69,1;28,2;37,1;12,0;8,8;234,5
2017;6,7;59,2;53,6;25,6;27,7;12,6;6,2;191,6
2018;5,4;53,5;46,3;21,6;27,3;10,1;7,7;171,8
2019;4,6;49,5;42,3;19,6;23,8;9,5;9,5;158,9
2020;4,5;53,5;54,3;26,3;35,0;13,7;10,4;197,6
2021;3,8;54,9;50,3;30,1;30,6;13,3;12,6;195,7
Férfi;;;;;;;;
2009;3,8;68,4;93,8;12,8;37,5;10,0;5,4;231,8
2010;4,5;74,8;105,9;12,7;42,6;13,4;7,8;261,7
2011;4,8;69,1;103,4;13,0;42,0;11,8;7,2;251,5
2012;5,1;68,6;103,1;20,0;45,3;12,7;7,3;262,1
2013;4,5;65,4;94,0;17,6;40,7;10,6;6,3;239,3
2014;3,8;51,8;67,2;13,5;31,1;9,8;4,6;181,7
2015;4,7;49,3;56,5;12,2;27,5;7,4;4,3;161,9
2016;3,4;41,0;42,4;11,4;19,9;3,7;5,6;127,5
2017;2,8;31,4;32,3;9,8;11,8;4,2;3,5;95,7
2018;2,0;29,3;28,9;8,2;13,1;4,8;1,8;88,1
2019;1,8;27,1;27,7;9,7;11,2;4,3;4,3;86,1
2020;2,8;28,6;35,5;9,4;18,4;4,3;5,2;104,2
2021;2,0;29,3;30,4;11,8;15,6;5,8;5,0;99,9
Nõ;;;;;;;;
2009;3,6;55,5;49,0;20,0;36,9;17,1;3,5;185,6
2010;5,7;57,5;50,6;25,1;46,1;16,2;6,1;207,4
2011;5,9;60,2;51,7;26,6;45,7;18,3;5,6;214,0
2012;4,4;58,4;50,2;25,7;44,8;19,5;7,6;210,7
2013;3,8;53,6;51,2;24,6;42,7;19,2;5,8;201,0
2014;4,0;45,2;37,3;21,8;32,1;14,8;5,9;161,1
2015;3,4;45,5;35,0;20,4;25,1;11,4;5,0;145,7
2016;2,5;32,3;26,7;16,8;17,1;8,4;3,2;107,0
2017;3,8;27,9;21,2;15,9;15,9;8,4;2,8;95,8
2018;3,3;24,2;17,3;13,4;14,2;5,4;5,9;83,7
2019;2,8;22,4;14,6;9,9;12,6;5,3;5,2;72,8
2020;1,7;24,8;18,9;16,8;16,7;9,3;5,1;93,4
2021;1,8;25,6;19,9;18,4;15,0;7,5;7,6;95,8
