20.1.1.22. A munkanélküliek száma az elõzõ foglalkozásuk fõcsoportja szerint, nemenként – FEOR'08 [ezer fõ];;;;;;;;;;;;;;;;
Év;8 éven belüli munkatapasztalattal rendelkezõk, gazdasági, igazgatási, érdek-képviseleti vezetõk, törvényhozók 1.;8 éven belüli munkatapasztalattal rendelkezõk, felsõfokú képzettség önálló alkalmazását igénylõ foglalkozások 2.;8 éven belüli munkatapasztalattal rendelkezõk, egyéb felsõfokú vagy középfokú képzettséget igénylõ foglalkozások 3.;8 éven belüli munkatapasztalattal rendelkezõk, irodai és ügyviteli (ügyfélkapcsolati) foglalkozások 4.;8 éven belüli munkatapasztalattal rendelkezõk, szellemi foglalkozások összesen 1–4.;8 éven belüli munkatapasztalattal rendelkezõk, kereskedelmi és szolgáltatási foglalkozások 5.;8 éven belüli munkatapasztalattal rendelkezõk, mezõgazdasági és erdõgazdálkodási foglalkozások 6.;8 éven belüli munkatapasztalattal rendelkezõk, ipari és építõipari foglalkozások 7.;8 éven belüli munkatapasztalattal rendelkezõk, gépkezelõk, összeszerelõk, jármûvezetõk 8.;8 éven belüli munkatapasztalattal rendelkezõk, szakképzettséget nem igénylõ (egyszerû) foglalkozások 9.;8 éven belüli munkatapasztalattal rendelkezõk, fizikai foglalkozások összesen 5–9.;8 éven belüli munkatapasztalattal rendelkezõk, fegyveres szervek foglalkozásai 0.;8 éven belüli munkatapasztalattal rendelkezõk összesen 0–9.;8 éve vagy régebben dolgozott vagy ismeretlen;Soha nem dolgozott;Munkanélküliek összesen
Együtt ;;;;;;;;;;;;;;;;
2011;5,8;15,2;31,4;20,0;72,4;63,3;9,9;67,5;56,5;101,3;298,5;0,4;371,3;36,7;57,4;465,4
2012;4,9;15,4;32,2;20,2;72,7;64,2;11,7;64,0;54,2;104,4;298,5;0,4;371,7;31,5;69,6;472,8
2013;6,2;12,3;26,0;20,4;64,8;62,7;7,8;56,6;42,5;97,4;267,0;0,4;332,2;34,1;73,9;440,2
2014;4,5;8,6;25,4;11,8;50,4;46,0;6,3;37,4;36,3;76,5;202,4;0,6;253,9;27,9;61,0;342,9
2015;3,7;7,9;18,2;13,3;43,2;35,9;5,3;34,4;33,4;77,3;186,4;0,1;230,6;27,1;50,0;307,7
2016;2,5;7,6;12,0;10,1;32,2;28,5;3,7;25,2;19,7;66,1;143,2;0,0;176,0;21,2;37,2;234,5
2017;3,2;5,5;12,5;8,0;29,2;24,5;3,8;18,5;18,8;49,4;115,0;0,1;144,5;15,6;31,4;191,6
2018;1,2;7,3;10,0;8,6;27,0;21,2;3,6;17,7;18,1;43,7;104,4;0,0;131,7;12,6;27,6;171,8
2019;1,3;7,5;7,7;7,5;24,0;19,2;3,4;18,8;17,9;36,6;95,9;0,3;120,2;9,7;29,1;158,9
2020;2,4;10,0;12,0;8,6;33,0;31,8;3,5;25,8;29,8;36,1;126,8;0,1;159,9;8,7;29,0;197,6
2021;2,5;9,1;12,5;9,2;33,2;29,4;3,5;20,3;26,2;43,3;122,7;0,2;156,2;7,2;32,3;195,7
