20.1.1.24. A munkanélküliek száma a munkakeresés idõtartama szerint, nemenként;;;;;;;;;;;
Év;1-nél kevesebb hónap, ezer fõ;1–3 hónap, ezer fõ;4–6 hónap, ezer fõ;7–11 hónap, ezer fõ;12 hónap, ezer fõ;13–18 hónap, ezer fõ;19–23 hónap, ezer fõ;24 hónap, ezer fõ;25 és több hónap, ezer fõ;Munkanélküliek összesen;Munkanélküliség átlagos idõtartama, hónap
Együtt ;;;;;;;;;;;
2009;20,7;76,5;69,0;78,0;17,8;51,2;19,4;7,0;77,8;417,4;12,0
2010;18,2;71,1;64,6;85,5;22,5;75,1;30,3;11,1;90,7;469,1;13,4
2011;30,7;75,7;64,9;72,5;17,8;64,3;29,3;10,2;100,0;465,4;13,1
2012;41,1;69,7;65,3;82,4;21,3;59,4;25,0;11,1;97,4;472,8;12,6
2013;51,4;53,1;56,9;64,6;23,6;50,9;25,6;18,1;96,0;440,2;13,1
2014;38,9;46,3;46,6;48,2;18,1;35,7;14,8;13,3;80,9;342,9;12,9
2015;34,5;47,3;39,2;46,2;17,3;31,2;12,6;10,6;68,6;307,7;12,5
2016;31,6;33,3;30,1;30,4;11,9;24,5;11,4;9,1;52,2;234,5;12,6
2017;26,6;34,0;27,7;25,9;9,0;19,4;8,0;5,6;35,3;191,6;11,2
2018;26,4;30,7;25,6;22,7;8,8;15,3;6,8;5,1;30,6;171,8;10,9
2019;28,2;29,8;27,4;22,5;7,2;12,8;5,1;4,5;21,4;158,9;9,6
2020;43,3;41,7;32,8;27,9;9,5;14,5;5,8;4,5;17,6;197,6;8,0
2021;45,8;31,6;27,6;29,7;14,8;17,4;6,3;4,9;17,5;195,7;8,4
Férfi;;;;;;;;;;;
2009;12,4;43,2;37,9;42,3;9,4;26,7;10,2;3,6;46,0;231,8;12,2
2010;8,9;39,8;37,0;46,8;13,1;41,9;16,9;6,4;51,0;261,7;13,5
2011;15,6;41,6;35,0;40,4;9,2;36,6;16,3;5,1;51,8;251,5;13,1
2012;22,9;38,9;36,2;44,9;11,2;33,1;14,8;6,8;53,5;262,1;12,8
2013;27,2;29,9;30,8;35,0;13,8;27,8;12,5;8,8;53,5;239,3;13,2
2014;18,7;24,5;25,1;26,2;9,6;17,9;7,8;7,1;44,9;181,7;13,1
2015;18,2;23,8;20,3;23,2;9,0;16,7;6,7;5,6;38,3;161,9;12,7
2016;16,0;18,0;17,0;18,2;6,8;12,6;5,6;5,0;28,5;127,5;12,5
2017;12,1;16,5;13,4;14,9;4,6;11,1;4,5;2,3;16,4;95,7;11,1
2018;13,4;15,3;12,4;11,1;5,0;8,6;3,4;2,6;16,4;88,1;10,9
2019;15,1;15,8;15,6;11,9;3,4;7,6;2,8;2,4;11,6;86,1;9,7
2020;21,5;23,0;15,9;15,2;4,7;8,8;3,6;2,4;9,1;104,2;8,1
2021;23,5;16,4;13,9;14,6;7,6;7,9;2,9;3,1;10,1;99,9;8,5
Nõ;;;;;;;;;;;
2009;8,3;33,3;31,1;35,7;8,4;24,5;9,2;3,4;31,8;185,6;11,8
2010;9,3;31,3;27,6;38,7;9,4;33,2;13,4;4,6;39,7;207,4;13,2
2011;15,1;34,2;29,9;32,1;8,6;27,7;13,0;5,1;48,2;214,0;13,1
2012;18,3;30,9;29,2;37,5;10,2;26,3;10,2;4,4;43,9;210,7;12,4
2013;24,2;23,2;26,1;29,6;9,8;23,1;13,1;9,3;42,5;201,0;12,9
2014;20,3;21,7;21,5;22,0;8,5;17,8;7,1;6,2;36,0;161,1;12,6
2015;16,3;23,5;18,8;23,0;8,3;14,6;5,9;5,0;30,3;145,7;12,3
2016;15,6;15,3;13,2;12,2;5,2;11,9;5,8;4,1;23,7;107,0;12,6
2017;14,5;17,5;14,3;11,0;4,4;8,3;3,5;3,4;18,9;95,9;11,4
2018;13,0;15,3;13,2;11,7;3,8;6,7;3,4;2,5;14,2;83,7;10,9
2019;13,0;14,0;11,9;10,6;3,8;5,2;2,4;2,1;9,8;72,8;9,5
2020;21,7;18,7;17,0;12,8;4,8;5,7;2,1;2,0;8,5;93,4;7,8
2021;22,4;15,2;13,7;15,1;7,3;9,5;3,5;1,8;7,5;95,8;8,3
