20.1.1.26. Munkanélküliségi ráta korcsoportok szerint, nemenként [%];;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
15–24 
éves"
Együtt ;;;;;;;;;;;;;;
2009;49,7;23,9;11,2;8,3;8,1;8,7;8,8;7,7;7,1;3,5;..;..;9,7;25,8
2010;45,4;24,4;13,3;9,5;9,3;9,5;9,7;9,1;8,6;4,3;..;..;10,8;25,9
2011;43,0;24,2;11,7;8,3;9,4;9,7;10,3;9,6;10,0;5,4;..;..;10,7;25,4
2012;51,5;26,0;13,0;9,1;9,3;8,4;9,1;9,5;8,8;6,3;..;..;10,7;27,8
2013;51,7;23,8;11,2;8,7;7,6;8,8;8,6;8,1;8,4;6,6;..;..;9,8;26,1
2014;38,0;18,4;8,9;6,8;6,1;6,3;5,8;5,8;6,0;7,6;..;..;7,5;20,1
2015;32,6;15,4;8,0;6,0;5,5;5,1;5,2;5,8;5,1;7,4;..;..;6,6;17,0
2016;26,2;11,3;6,0;4,3;4,3;3,8;3,7;4,5;3,8;5,6;..;..;5,0;12,7
2017;23,9;9,0;4,6;3,7;3,7;3,1;2,8;3,7;3,0;4,5;…;…;4,0;10,5
2018;22,4;8,4;4,1;3,5;3,4;3,1;2,6;3,0;2,4;2,9;…;…;3,6;9,9
2019;23,3;9,6;4,4;2,4;2,7;2,8;2,5;2,4;2,3;2,1;…;…;3,3;11,2
2020;24,8;11,1;5,7;3,4;3,8;3,4;3,2;2,8;3,1;2,8;…;…;4,1;12,5
2021;29,3;11,6;5,0;4,1;3,7;3,0;2,8;3,0;3,1;2,6;…;…;4,1;13,5
Férfi;;;;;;;;;;;;;;
2009;49,2;25,9;12,6;8,5;8,3;9,1;9,3;7,5;7,4;3,3;..;..;10,3;27,8
2010;49,8;25,9;14,9;10,2;9,4;10,0;9,8;9,9;9,5;4,4;..;..;11,6;27,7
2011;43,0;25,7;12,5;8,3;9,6;10,1;9,9;9,6;11,1;5,3;..;..;11,1;27,0
2012;53,5;26,9;14,6;10,1;9,7;8,9;8,8;10,0;9,1;7,2;..;..;11,3;29,1
2013;51,3;23,1;12,4;9,5;7,5;8,8;8,2;8,8;9,0;6,9;..;..;10,2;25,6
2014;40,8;17,9;8,7;6,6;5,8;6,0;5,6;6,9;5,9;9,1;..;..;7,6;20,0
2015;28,1;17,1;7,9;5,7;4,7;4,5;5,3;6,0;5,1;7,6;..;..;6,6;18,3
2016;26,8;11,3;6,1;4,6;4,5;3,7;3,8;4,9;3,6;5,5;..;..;5,1;12,9
2017;23,0;8,2;3,9;4,1;3,4;2,8;2,9;3,6;2,7;3,5;…;…;3,8;9,7
2018;23,4;8,1;3,8;3,7;3,5;2,6;2,4;3,0;2,3;2,4;…;…;3,5;9,8
2019;21,5;10,5;4,6;2,5;2,4;2,4;2,7;2,2;2,5;2,1;…;…;3,4;11,9
2020;24,4;10,3;5,8;3,1;3,6;3,1;3,3;2,8;3,6;2,7;…;…;4,1;11,9
2021;29,2;9,5;5,3;3,3;3,3;2,9;2,5;3,1;3,8;2,5;…;…;3,9;12,0
Nõ;;;;;;;;;;;;;;
2009;50,5;21,4;9,7;8,0;7,8;8,2;8,3;7,9;6,8;3,8;..;..;9,0;23,3
2010;39,2;22,4;11,4;8,7;9,2;8,9;9,6;8,4;7,7;4,3;..;..;9,9;23,6
2011;42,9;22,3;10,9;8,3;9,2;9,4;10,7;9,6;8,8;5,5;..;..;10,2;23,5
2012;48,0;25,0;11,1;8,1;8,8;8,0;9,3;9,1;8,6;5,1;..;..;9,9;26,3
2013;52,4;24,8;9,9;7,9;7,8;8,8;9,0;7,4;7,7;6,1;..;..;9,5;26,8
2014;34,0;19,0;9,3;7,0;6,4;6,7;5,9;4,9;6,2;5,1;..;..;7,5;20,2
2015;40,6;13,4;8,1;6,3;6,3;5,7;5,0;5,5;5,1;7,0;..;..;6,6;15,5
2016;25,4;11,2;5,8;4,1;4,1;3,8;3,6;4,2;4,0;5,7;..;..;4,8;12,4
2017;25,2;10,1;5,4;3,4;4,1;3,5;2,7;3,8;3,4;6,1;…;…;4,3;11,5
2018;20,9;8,8;4,5;3,4;3,4;3,6;2,8;3,0;2,5;3,8;…;…;3,7;10,0
2019;26,6;8,4;4,1;2,4;3,0;3,3;2,4;2,6;2,0;2,3;…;…;3,3;10,2
2020;25,6;12,1;5,6;3,8;4,1;3,7;3,1;2,8;2,7;2,8;…;…;4,2;13,3
2021;29,5;14,1;4,6;5,1;4,2;3,1;3,0;3,0;2,4;2,8;…;…;4,2;15,5
