20.1.1.27. Munkanélküliségi ráta befejezett legmagasabb iskolai végzettség szerint, nemenként [%];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;41,1;22,0;11,0;8,3;7,1;4,5;2,4;9,7
2010;43,1;23,7;12,1;9,6;8,3;4,9;3,5;10,8
2011;49,5;23,5;12,1;9,9;8,3;4,7;3,0;10,7
2012;44,9;23,7;12,0;11,2;8,4;4,7;3,4;10,7
2013;38,5;22,8;11,2;9,8;7,9;4,3;2,7;9,8
2014;34,5;17,7;8,1;7,6;5,9;3,5;2,2;7,5
2015;29,9;16,6;7,2;6,3;5,1;2,6;1,9;6,6
2016;22,2;12,6;5,4;4,8;3,6;1,6;1,8;5,0
2017;25,0;10,3;4,1;4,4;2,7;1,7;1,3;4,0
2018;21,5;9,6;3,5;3,7;2,7;1,5;1,3;3,6
2019;19,2;9,2;3,2;3,2;2,3;1,3;1,6;3,3
2020;19,2;10,4;4,3;4,2;3,5;1,9;1,6;4,1
2021;17,6;10,7;4,1;5,0;3,1;1,8;1,7;4,1
Férfi;;;;;;;;
2009;37,8;24,1;10,7;9,0;7,2;4,5;2,7;10,3
2010;39,6;26,7;12,2;9,2;8,1;6,1;3,7;11,6
2011;44,4;24,7;12,1;9,1;8,0;4,9;3,2;11,1
2012;42,3;24,5;12,0;13,1;8,6;4,9;3,3;11,3
2013;38,4;23,9;10,7;10,6;7,8;4,1;2,7;10,2
2014;31,3;17,8;7,8;7,4;5,8;3,7;1,9;7,6
2015;29,0;16,1;6,7;6,0;5,1;2,7;1,7;6,6
2016;24,8;13,2;4,9;4,7;3,7;1,3;2,3;5,1
2017;22,0;10,5;3,6;4,0;2,2;1,5;1,3;3,8
2018;17,4;9,8;3,2;3,3;2,5;1,8;0,6;3,5
2019;16,8;9,1;3,1;3,8;2,1;1,6;1,4;3,4
2020;23,1;10,2;4,1;3,6;3,4;1,6;1,6;4,1
2021;20,1;10,3;3,6;4,5;3,0;2,1;1,3;3,9
Nõ;;;;;;;;
2009;45,4;19,9;11,7;7,8;6,9;4,5;2,0;9,0
2010;46,3;20,7;11,8;9,9;8,4;4,3;3,3;9,9
2011;54,5;22,2;12,2;10,4;8,6;4,6;2,8;10,2
2012;48,2;22,8;12,1;10,0;8,3;4,6;3,5;9,9
2013;38,7;21,5;12,1;9,3;8,1;4,4;2,6;9,5
2014;38,4;17,5;8,9;7,8;6,1;3,4;2,6;7,5
2015;31,2;17,2;8,3;6,4;5,1;2,6;2,0;6,6
2016;19,5;12,0;6,4;4,9;3,4;1,9;1,3;4,8
2017;27,7;10,2;5,1;4,7;3,1;1,9;1,2;4,3
2018;25,2;9,5;4,1;4,0;2,8;1,2;2,0;3,7
2019;21,2;9,2;3,5;2,9;2,7;1,2;1,7;3,3
2020;15,1;10,6;4,8;4,7;3,6;2,1;1,6;4,2
2021;15,3;11,3;5,1;5,5;3,2;1,6;2,1;4,2
