20.1.1.41. A tartósan munkanélküliek aránya a 15–64 éves munkanélkülieken belül [%];;;;;;;;;;;;;
Megnevezés;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A tartósan munkanélküliek aránya a 15–64 éves munkanélkülieken belül;41,5;48,9;47,6;45,4;48,6;47,5;45,5;46,6;40,4;38,7;32,1;26,2;31,4
Nemek szerint;;;;;;;;;;;;;
férfi;41,4;49,3;47,3;45,6;48,7;47,9;46,9;45,8;40,6;40,8;32,2;27,4;31,9
nõ;41,6;48,4;48,0;45,1;48,6;47,0;43,9;47,5;40,2;36,5;32,0;24,8;31,0
Iskolai végzettség szerint;;;;;;;;;;;;;
8 általánosnál kevesebb;68,7;52,5;50,1;40,1;52,9;43,2;35,4;35,8;47,3;40,3;36,6;31,4;41,4
Általános iskola 8. osztálya;46,1;52,3;51,0;50,4;51,5;47,7;46,6;43,3;36,9;38,8;37,1;34,3;35,6
Szakiskola és szakmunkásképzõ;38,5;47,9;47,0;48,8;49,1;50,5;47,5;50,6;47,2;43,2;30,4;24,9;33,0
Gimnázium;41,9;47,2;43,2;36,9;42,7;44,9;39,6;39,6;37,7;42,6;33,5;21,8;30,9
Egyéb érettségi;37,1;49,6;46,9;41,2;48,8;49,0;49,0;52,9;39,6;33,8;25,5;21,1;27,1
Fõiskola;40,7;39,4;43,3;40,4;41,0;38,1;34,5;48,1;34,9;37,0;29,3;24,6;21,9
Egyetem;39,2;46,2;47,0;31,7;50,1;39,3;46,1;43,4;32,7;19,0;27,7;18,7;25,5
Korcsoport szerint, éves;;;;;;;;;;;;;
15–19;22,8;32,6;25,0;22,6;22,9;21,3;13,6;18,6;17,3;17,7;15,8;14,6;10,0
20–24;30,6;39,8;37,0;33,7;34,4;34,9;29,5;30,1;22,5;27,8;26,2;23,9;29,6
25–29;39,8;48,5;45,3;42,0;46,0;40,8;43,1;38,8;32,2;38,5;29,6;22,7;28,4
30–34;37,2;46,7;48,8;40,0;42,5;42,1;42,9;45,9;40,1;38,5;33,3;19,5;33,4
35–39;41,2;48,8;47,5;47,6;49,5;47,7;46,7;49,8;42,6;38,2;34,9;31,3;29,0
40–44;49,9;55,7;48,6;50,8;55,8;53,7;47,1;49,3;46,4;38,4;31,8;27,9;35,3
45–49;46,6;52,5;48,9;48,4;57,4;59,4;49,1;50,9;45,2;41,5;35,3;28,2;36,4
50–54;50,2;53,8;52,8;53,3;56,8;56,8;60,0;55,9;49,9;52,2;37,5;26,7;32,0
55–59;51,0;52,4;58,9;59,6;60,6;58,2;55,3;59,7;57,7;46,8;44,6;28,7;38,7
60–64;59,6;62,7;65,3;61,8;69,9;73,6;75,3;74,6;57,0;54,0;43,6;44,3;39,8
Régiók szerint;;;;;;;;;;;;;
Budapest;34,9;44,3;45,7;47,9;53,5;52,9;50,5;52,1;40,0;37,2;30,4;18,9;29,2
Pest;42,9;58,1;58,0;53,9;59,5;56,9;58,8;52,9;56,2;46,2;34,6;25,8;27,9
Közép-Magyarország;38,5;49,7;50,0;50,3;56,1;54,6;54,1;52,4;46,2;40,3;32,1;21,8;28,6
Közép-Dunántúl;35,3;46,9;51,4;47,3;47,4;50,9;46,5;43,2;41,9;33,8;27,0;20,0;27,0
Nyugat-Dunántúl;36,3;48,2;48,3;38,6;37,1;40,6;37,7;42,1;38,9;32,2;20,7;20,0;30,0
Dél-Dunántúl;45,3;49,1;46,2;44,1;46,1;41,7;44,7;53,7;43,5;35,9;34,1;26,7;26,2
Dunántúl;39,0;48,1;48,7;43,8;43,8;44,6;43,5;47,8;42,0;34,5;29,1;22,9;27,5
Észak-Magyarország;45,9;53,0;50,8;48,6;50,3;45,5;43,5;44,0;32,6;37,2;35,4;26,9;31,9
Észak-Alföld;43,9;45,4;41,8;39,1;44,1;46,0;40,0;43,0;38,3;43,1;32,3;31,6;36,9
Dél-Alföld;42,3;49,2;44,8;42,9;47,9;44,2;44,9;43,9;41,3;36,4;33,8;29,2;31,9
Alföld és Észak;44,2;49,1;45,7;43,4;47,0;45,3;42,3;43,5;37,4;40,0;33,5;29,8;34,2
