20.1.1.29. A gazdaságilag aktívak száma legmagasabb iskolai végzettség szerint, nemenként [ezer fõ];;;;;;;;
Év;8 általános iskolánál kevesebb;Általános iskola 8. osztálya;Középfokú végzettség érettségi nélkül, szakmai végzettséggel;Középfokú végzettség érettségivel, szakmai végzettség nélkül;Középfokú végzettség érettségivel, szakmai végzettséggel;Felsõfokú végzettség, fõiskola vagy alapképzés;Felsõfokú végzettség, egyetem vagy mesterképzés;Összesen
Együtt ;;;;;;;;
2009;18,0;562,5;1 295,9;397,3;1 052,7;606,4;379,0;4 311,9
2010;23,7;557,0;1 296,3;392,0;1 075,8;600,4;397,6;4 342,9
2011;21,6;550,8;1 278,6;398,6;1 055,4;639,0;424,2;4 368,4
2012;21,2;536,7;1 273,5;408,5;1 070,6;683,0;438,0;4 431,5
2013;21,7;523,0;1 296,8;430,3;1 052,8;690,6;454,2;4 469,5
2014;22,6;549,4;1 282,8;464,7;1 063,5;704,7;477,8;4 565,5
2015;27,3;571,0;1 265,5;521,4;1 037,2;720,8;499,5;4 642,8
2016;26,5;581,9;1 273,7;583,5;1 035,4;730,3;485,3;4 716,7
2017;26,7;573,0;1 303,1;579,0;1 034,5;726,6;497,0;4 739,9
2018;24,9;555,2;1 318,8;579,6;1 020,2;698,2;581,2;4 778,2
2019;24,2;540,7;1 302,5;602,8;1 011,6;718,3;603,4;4 803,5
2020;23,6;516,3;1 262,9;620,1;997,2;721,5;659,2;4 800,8
2021;21,7;512,9;1 220,9;600,1;993,5;746,4;734,8;4 830,2
Férfi;;;;;;;;
2009;10,1;283,6;876,5;142,3;518,5;222,9;204,1;2 257,8
2010;11,4;279,9;869,1;138,6;526,2;219,7;210,9;2 255,7
2011;10,8;279,7;854,4;143,5;523,3;238,9;223,5;2 274,1
2012;12,0;280,0;857,5;152,4;528,9;258,6;222,0;2 311,5
2013;11,8;273,4;875,2;166,0;524,8;259,0;233,6;2 343,9
2014;12,2;290,6;863,2;183,3;539,8;265,2;248,4;2 402,6
2015;16,3;306,4;843,6;204,0;543,7;277,2;254,8;2 446,0
2016;13,9;312,0;859,6;240,4;537,1;279,4;247,7;2 490,2
2017;12,9;298,9;888,7;243,1;527,0;283,4;259,2;2 513,2
2018;11,6;299,4;898,9;244,4;519,8;265,8;294,4;2 534,4
2019;11,0;297,9;889,6;256,5;541,9;269,2;300,2;2 566,2
2020;12,1;281,9;868,6;264,7;534,9;273,5;330,6;2 566,3
2021;10,0;285,3;834,6;264,0;527,8;277,3;372,6;2 571,7
Nõ;;;;;;;;
2009;7,9;279,0;419,4;255,1;534,2;383,5;175,0;2 054,1
2010;12,4;277,1;427,2;253,5;549,5;380,8;186,8;2 087,2
2011;10,8;271,1;424,2;255,2;532,1;400,1;200,7;2 094,3
2012;9,1;256,7;416,0;256,1;541,6;424,4;216,0;2 120,0
2013;9,8;249,6;421,7;264,3;528,0;431,7;220,6;2 125,6
2014;10,4;258,8;419,6;281,5;523,6;439,5;229,4;2 162,8
2015;11,0;264,6;422,0;317,4;493,5;443,6;244,7;2 196,8
2016;12,6;269,9;414,2;343,0;498,3;450,9;237,6;2 226,5
2017;13,9;274,1;414,4;335,8;507,5;443,2;237,8;2 226,8
2018;13,3;255,8;420,0;335,2;500,4;432,4;286,8;2 243,9
2019;13,2;242,8;412,9;346,3;469,6;449,1;303,3;2 237,3
2020;11,5;234,4;394,2;355,4;462,3;448,0;328,7;2 234,5
2021;11,7;227,6;386,3;336,1;465,6;469,1;362,2;2 258,6
