20.1.1.30. A gazdaságilag nem aktívak száma korcsoportok szerint, nemenként [ezer fõ];;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen
Együtt ;;;;;;;;;;;;;
2009;563,7;340,5;119,0;98,4;94,9;96,7;121,2;161,6;352,1;524,7;483,4;408,2;3 364,3
2010;557,9;334,2;116,1;97,2;96,7;94,3;103,3;155,0;329,0;540,8;486,6;408,8;3 319,8
2011;552,8;334,5;112,1;92,2;100,5;93,9;91,5;147,0;313,7;546,9;488,0;407,8;3 280,9
2012;536,0;327,5;102,5;83,9;96,3;85,2;85,7;121,9;303,9;555,2;490,5;415,7;3 204,3
2013;510,5;317,9;104,2;77,2;90,4;79,9;83,6;117,4;277,5;552,4;502,5;426,8;3 140,2
2014;486,6;299,8;90,8;66,8;81,0;71,7;78,0;105,2;233,0;541,0;516,9;437,0;3 007,8
2015;465,9;287,0;89,4;64,5;75,6;66,5;75,1;85,4;199,8;514,0;530,1;441,9;2 895,2
2016;453,9;265,2;87,6;58,2;69,3;67,3;76,0;80,3;171,2;475,0;549,3;437,3;2 790,9
2017;446,7;251,9;84,8;55,3;65,0;65,1;65,5;76,8;157,7;454,5;558,6;438,4;2 720,4
2018;441,4;243,4;87,7;53,8;58,9;64,4;62,6;73,0;140,1;425,2;560,5;443,0;2 654,0
2019;437,4;241,9;83,0;57,0;57,5;66,0;62,8;77,1;135,6;382,5;564,8;449,9;2 615,6
2020;447,7;229,9;84,1;70,2;62,3;70,1;70,5;73,2;125,2;332,4;578,8;463,5;2 607,9
2021;446,2;224,6;85,3;65,6;56,9;60,0;67,3;67,7;104,9;300,3;572,7;477,4;2 528,9
Férfi;;;;;;;;;;;;;
2009;284,4;159,4;45,8;25,6;31,0;38,2;54,5;73,3;132,3;220,5;198,5;155,4;1 418,9
2010;283,0;157,8;44,2;26,5;30,5;39,7;47,7;72,3;130,7;228,7;201,3;155,9;1 418,2
2011;280,3;159,5;41,5;25,1;26,9;39,8;40,8;65,7;127,7;233,1;201,8;155,4;1 397,7
2012;271,7;159,1;38,4;21,1;27,1;34,7;38,9;56,5;116,4;237,3;204,1;159,6;1 364,8
2013;258,7;146,9;39,2;23,6;27,7;30,5;38,0;54,3;99,8;229,1;211,0;165,1;1 323,8
2014;247,0;137,8;30,4;17,7;21,5;23,7;35,3;49,8;82,8;216,1;217,8;171,2;1 251,2
2015;234,7;134,1;29,6;19,8;20,0;21,2;32,0;40,4;68,5;196,5;224,4;174,2;1 195,3
2016;229,1;121,1;31,5;15,3;18,7;21,2;32,6;36,1;61,8;170,9;231,6;172,0;1 141,8
2017;226,1;113,6;29,9;13,1;16,3;19,9;28,1;29,5;57,2;157,5;233,4;174,6;1 099,4
2018;222,8;107,9;30,5;12,4;15,5;22,1;25,6;31,0;47,8;146,2;231,8;177,0;1 070,4
2019;218,7;106,5;31,7;14,1;15,3;20,6;27,2;27,2;46,3;120,8;233,3;178,4;1 040,3
2020;226,7;103,9;31,3;16,5;19,5;18,8;27,5;28,1;44,2;99,0;242,1;184,6;1 042,1
2021;224,4;103,1;30,6;18,5;15,4;16,9;25,8;25,8;36,1;88,9;237,9;188,7;1 012,0
Nõ;;;;;;;;;;;;;
2009;279,2;181,0;73,2;72,8;63,8;58,5;66,7;88,2;219,9;304,2;284,9;252,8;1 945,5
2010;274,9;176,4;71,8;70,7;66,2;54,6;55,7;82,7;198,3;312,1;285,3;252,9;1 901,6
2011;272,5;175,0;70,6;67,1;73,6;54,1;50,7;81,3;186,0;313,7;286,1;252,4;1 883,2
2012;264,3;168,4;64,1;62,9;69,1;50,6;46,8;65,5;187,5;317,9;286,4;256,1;1 839,5
2013;251,8;171,0;65,0;53,6;62,7;49,4;45,5;63,1;177,7;323,3;291,6;261,7;1 816,4
2014;239,6;161,9;60,4;49,1;59,5;48,0;42,7;55,4;150,2;324,9;299,1;265,8;1 756,6
2015;231,2;152,9;59,8;44,7;55,7;45,3;43,1;45,0;131,3;317,5;305,7;267,7;1 699,9
2016;224,8;144,1;56,1;42,9;50,6;46,1;43,4;44,2;109,5;304,1;317,7;265,4;1 649,1
2017;220,6;138,3;54,9;42,1;48,6;45,3;37,4;47,3;100,5;296,9;325,2;263,8;1 621,0
2018;218,6;135,5;57,2;41,5;43,4;42,3;37,0;42,1;92,3;279,0;328,7;266,0;1 583,5
2019;218,7;135,4;51,3;43,0;42,2;45,4;35,5;49,9;89,3;261,7;331,5;271,5;1 575,3
2020;221,0;126,0;52,8;53,7;42,8;51,4;43,0;45,2;81,0;233,4;336,6;278,9;1 565,8
2021;221,8;121,5;54,7;47,1;41,5;43,1;41,5;41,9;68,8;211,4;334,8;288,7;1 516,8
