20.1.1.32. A 15–74 éves gazdaságilag nem aktívak száma munkavállalási szándékuk szerint, nemenként [ezer fõ];;;
Év;Nem kíván dolgozni;Szeretne dolgozni;Gazdaságilag nem aktívak összesen
Együtt ;;;
2009;3 029,9;334,4;3 364,3
2010;2 972,6;347,2;3 319,8
2011;2 901,6;379,3;3 280,9
2012;2 831,1;373,2;3 204,3
2013;2 758,9;381,3;3 140,2
2014;2 683,4;324,4;3 007,8
2015;2 594,7;300,5;2 895,2
2016;2 514,4;276,4;2 790,9
2017;2 473,3;247,1;2 720,4
2018;2 418,2;235,8;2 654,0
2019;2 371,9;243,6;2 615,6
2020;2 324,7;283,2;2 607,9
2021;2 343,1;185,8;2 528,9
Férfi;;;
2009;1 261,6;157,2;1 418,9
2010;1 256,6;161,6;1 418,2
2011;1 218,9;178,8;1 397,7
2012;1 192,0;172,8;1 364,8
2013;1 146,0;177,8;1 323,8
2014;1 105,3;145,9;1 251,2
2015;1 062,2;133,1;1 195,3
2016;1 017,4;124,3;1 141,8
2017;993,2;106,2;1 099,4
2018;971,7;98,8;1 070,4
2019;937,3;102,9;1 040,3
2020;925,0;117,1;1 042,1
2021;933,0;79,0;1 012,0
Nõ;;;
2009;1 768,3;177,2;1 945,5
2010;1 716,0;185,6;1 901,6
2011;1 682,6;200,5;1 883,2
2012;1 639,1;200,4;1 839,5
2013;1 613,0;203,5;1 816,4
2014;1 578,1;178,5;1 756,6
2015;1 532,6;167,3;1 699,9
2016;1 497,0;152,1;1 649,1
2017;1 480,1;140,9;1 621,0
2018;1 446,5;137,0;1 583,5
2019;1 434,6;140,7;1 575,3
2020;1 399,7;166,1;1 565,8
2021;1 410,1;106,7;1 516,8
