20.1.1.43. Inaktivitási arány [%];;;;;;;;;;;;;
Megnevezés;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Inaktivitási arány;36,6;36,0;35,5;34,3;33,3;31,2;29,5;27,9;26,9;25,9;25,3;24,9;23,8
Nemek szerint;;;;;;;;;;;;;
férfi;32,2;32,2;31,6;30,4;29,0;26,6;24,7;23,0;21,8;20,9;20,0;19,6;18,9
nõ;40,8;39,7;39,3;38,1;37,4;35,7;34,1;32,6;31,9;30,8;30,6;30,2;28,8
Iskolai végzettség szerint;;;;;;;;;;;;;
8 általánosnál kevesebb;85,0;78,5;80,1;79,0;78,8;76,0;72,1;71,4;71,4;72,5;73,0;71,9;72,4
Általános iskola 8. osztálya;64,6;64,3;64,2;63,9;63,2;59,9;57,5;56,2;54,8;54,0;54,5;55,9;54,8
Szakiskola és szakmunkásképzõ;26,4;26,1;26,0;25,4;24,4;23,1;21,4;20,2;19,4;18,3;17,1;17,0;16,0
Gimnázium;50,5;50,8;49,6;47,9;46,7;44,2;41,2;36,8;36,0;35,9;35,2;33,7;33,5
Egyéb érettségi;23,7;23,2;23,4;22,5;21,1;19,4;17,6;16,6;16,3;16,3;14,9;14,5;13,5
Fõiskola;15,4;15,7;14,5;13,8;14,2;13,9;13,7;11,8;11,6;11,6;11,1;10,4;10,4
Egyetem;13,7;12,8;12,1;11,8;10,8;10,0;8,7;7,2;7,5;6,3;7,0;6,9;6,4
Korcsoport szerint, éves;;;;;;;;;;;;;
15–19;96,1;96,3;96,6;96,2;95,1;94,4;93,4;93,1;92,9;92,4;91,8;93,4;93,0
20–24;54,7;54,3;55,0;53,6;52,0;49,3;47,9;45,5;44,7;44,4;45,4;44,5;44,6
25–29;17,4;17,9;18,2;17,0;17,4;15,1;14,8;14,5;14,0;14,4;13,5;13,8;14,4
30–34;12,8;12,7;12,2;11,5;11,2;10,2;10,3;9,5;9,2;9,0;9,4;11,5;10,7
35–39;12,5;12,4;12,5;11,7;10,7;9,7;9,4;9,0;8,9;8,5;8,7;9,8;9,2
40–44;14,1;13,5;13,3;12,0;11,2;9,8;8,7;8,5;7,9;7,7;7,9;8,6;7,8
45–49;18,3;16,3;15,2;14,1;13,3;11,9;11,1;10,9;9,3;8,8;8,6;9,3;8,5
50–54;24,8;23,8;22,6;19,4;19,4;17,8;14,7;13,8;13,0;11,9;12,0;11,0;9,9
55–59;48,5;44,1;41,0;39,6;37,0;32,7;29,9;27,2;26,3;24,2;23,9;22,3;18,8
60–64;86,8;86,8;85,3;85,2;83,4;79,0;72,6;65,9;63,2;60,6;57,4;53,1;50,9
Inaktívak aránya az azonos korú népességen belül munkavállalási szándék szerint;;;;;;;;;;;;;
Nem kíván dolgozni;31,7;30,9;29,9;28,8;27,7;26,4;25,0;23,7;23,1;22,4;21,6;20,6;21,0
Szeretne rendszeres munkát, de nem keresett;4,7;4,9;5,4;5,3;5,4;4,6;4,3;4,1;3,6;3,4;3,6;4,2;2,6
Keresett munkát, de nem állt rendelkezésre;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,3
Régiók szerint;;;;;;;;;;;;;
Budapest;29,8;29,5;28,7;26,7;26,6;25,8;24,5;21,3;21,3;21,9;21,8;20,3;19,6
Pest;33,8;33,5;33,7;32,4;30,5;29,3;27,9;27,4;26,6;25,0;23,7;22,8;22,0
Közép-Magyarország;31,5;31,2;30,8;29,1;28,2;27,3;25,9;23,9;23,5;23,2;22,6;21,4;20,7
Közép-Dunántúl;34,5;34,1;32,4;32,2;31,2;29,6;27,1;27,1;25,4;24,9;24,7;24,0;22,7
Nyugat-Dunántúl;32,9;33,2;33,2;32,0;30,6;28,7;28,0;26,6;24,9;23,2;22,5;22,5;21,8
Dél-Dunántúl;40,2;38,7;39,4;39,2;38,3;35,3;33,3;32,2;31,3;30,3;29,8;30,3;29,0
Dunántúl;35,7;35,2;34,9;34,3;33,2;31,0;29,3;28,5;27,0;25,9;25,5;25,3;24,2
Észak-Magyarország;41,5;41,1;40,7;40,1;39,8;36,6;33,9;32,6;31,3;29,8;28,9;29,3;28,2
Észak-Alföld;42,5;41,3;40,2;38,6;36,8;33,7;32,3;30,3;29,1;27,7;27,3;27,5;26,2
Dél-Alföld;38,7;37,7;37,4;36,1;34,8;32,7;30,7;28,5;27,8;26,8;25,9;25,8;24,0
Alföld és Észak;41,0;40,0;39,4;38,2;37,0;34,2;32,3;30,4;29,3;28,0;27,3;27,5;26,1
