20.1.1.33. Aktivitási arány korcsoportok szerint, nemenként [%];;;;;;;;;;;;;;
Év;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl: 
15–24 
éves"
Együtt ;;;;;;;;;;;;;;
2009;3,9;45,3;82,6;87,2;87,5;85,9;81,7;75,2;51,5;13,2;4,8;1,5;56,2;25,2
2010;3,7;45,7;82,1;87,3;87,6;86,5;83,7;76,2;55,9;13,2;4,9;1,5;56,7;25,3
2011;3,4;45,0;81,8;87,8;87,5;86,7;84,8;77,4;59,0;14,7;5,3;1,9;57,1;24,8
2012;3,8;46,4;83,0;88,5;88,3;88,0;85,9;80,6;60,4;14,8;5,4;1,7;58,0;26,1
2013;4,9;48,0;82,6;88,8;89,3;88,8;86,7;80,6;63,0;16,6;5,0;1,6;58,7;27,9
2014;5,6;50,7;84,9;89,8;90,3;90,2;88,1;82,2;67,3;21,0;4,4;1,8;60,3;30,0
2015;6,6;52,1;85,2;89,7;90,6;91,3;88,9;85,3;70,1;27,4;4,8;2,0;61,6;31,4
2016;6,9;54,5;85,5;90,5;91,0;91,5;89,1;86,2;72,8;34,1;5,4;2,7;62,8;32,8
2017;7,1;55,3;86,0;90,8;91,1;92,1;90,7;87,0;73,7;36,8;5,9;3,0;63,5;33,1
2018;7,6;55,6;85,6;91,0;91,5;92,3;91,2;88,1;75,8;39,4;6,9;3,8;64,3;33,2
2019;8,2;54,6;86,5;90,6;91,3;92,1;91,4;88,0;76,1;42,6;9,2;4,3;64,7;32,7
2020;6,6;55,5;86,2;88,5;90,2;91,4;90,7;89,0;77,7;46,9;10,1;4,4;64,8;31,9
2021;7,0;55,4;85,6;89,3;90,8;92,2;91,5;90,1;81,2;49,1;12,1;4,7;65,6;31,8
Férfi;;;;;;;;;;;;;;
2009;4,8;49,5;86,7;93,4;91,9;88,8;83,1;76,3;60,6;17,3;6,9;2,5;61,4;27,7
2010;4,3;49,5;86,5;93,1;92,2;88,5;84,6;76,7;62,2;17,2;6,6;2,2;61,4;27,5
2011;4,2;48,5;86,6;93,4;93,3;88,7;86,2;78,8;64,0;18,4;7,3;2,8;61,9;27,0
2012;4,6;49,1;87,5;94,3;93,5;90,3;87,0;81,2;67,4;18,4;7,3;2,6;62,9;27,9
2013;5,8;53,0;87,2;93,2;93,5;91,5;87,8;81,4;71,4;22,6;6,4;2,9;63,9;31,0
2014;6,5;55,6;90,1;94,6;94,9;93,5;89,1;82,5;75,0;29,6;5,7;2,8;65,8;33,0
2015;8,2;56,2;90,4;93,7;95,1;94,5;90,5;85,7;77,9;38,2;5,9;3,2;67,2;34,4
2016;8,4;59,4;89,9;95,1;95,2;94,7;90,6;87,2;79,0;47,3;6,9;4,5;68,6;36,1
2017;8,3;60,6;90,4;95,7;95,5;95,2;92,0;89,8;79,6;51,4;8,0;4,0;69,6;36,5
2018;9,1;61,5;90,3;95,9;95,5;94,8;92,8;89,7;82,5;53,8;10,0;4,8;70,3;37,1
2019;10,4;61,1;89,9;95,5;95,4;95,1;92,5;91,4;82,7;59,8;12,5;6,1;71,2;37,2
2020;8,0;60,7;90,0;94,8;94,0;95,4;92,8;91,5;83,4;65,1;12,5;6,2;71,1;35,3
2021;8,9;60,1;90,0;94,1;95,1;95,7;93,5;92,4;86,5;66,8;15,1;6,9;71,8;35,1
Nõ;;;;;;;;;;;;;;
2009;3,0;41,0;78,3;81,0;83,1;83,1;80,3;74,1;43,7;10,0;3,3;1,0;51,4;22,6
2010;3,2;41,6;77,6;81,4;82,9;84,4;82,8;75,7;50,5;10,0;3,6;1,1;52,3;23,0
2011;2,6;41,2;76,8;82,2;81,5;84,7;83,5;76,1;54,7;11,6;3,8;1,4;52,7;22,5
2012;2,8;43,6;78,5;82,7;83,1;85,8;84,7;80,0;54,4;11,8;4,1;1,1;53,5;24,1
2013;3,8;42,8;78,0;84,4;85,0;86,1;85,7;80,0;55,7;11,8;4,0;0,7;53,9;24,6
2014;4,7;45,5;79,5;84,9;85,7;86,8;87,0;81,9;60,5;14,1;3,4;1,1;55,2;26,8
2015;4,9;47,8;79,7;85,6;86,1;88,0;87,3;85,0;63,2;18,6;3,9;1,3;56,4;28,4
2016;5,3;49,4;81,0;85,8;86,8;88,3;87,5;85,2;67,4;23,3;4,2;1,4;57,4;29,4
2017;5,9;49,8;81,4;85,7;86,6;88,9;89,4;84,3;68,4;24,8;4,2;2,3;57,9;29,6
2018;6,1;49,3;80,7;85,9;87,4;89,8;89,6;86,6;69,9;27,5;4,6;3,1;58,6;29,2
2019;5,9;47,8;82,8;85,4;87,1;89,1;90,2;84,7;70,1;28,4;6,7;3,0;58,7;28,0
2020;5,1;49,9;82,2;82,0;86,4;87,2;88,6;86,6;72,4;31,9;8,2;3,2;58,8;28,4
2021;5,1;50,4;81,1;84,1;86,4;88,8;89,5;87,9;76,3;34,4;9,8;3,3;59,8;28,3
