20.1.1.49. Fõbb kereseti adatok – költségvetés ;;;;;;;;;;;;;;;;
Év;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma elõzõ év azonos idõszaka = 100,0%
2009;201 631;92,0;..;..;124 998;95,5;685,7;102,5;..;..;..;..;..;..;..;..
2010;195 979;97,1;..;..;131 626;105,3;708,9;103,4;..;..;..;..;..;..;..;..
2011;203 515;103,8;..;..;134 322;102,0;647,8;91,4;..;..;..;..;..;..;..;..
2012;200 027;98,2;..;..;129 706;96,5;688,7;106,3;..;..;..;..;..;..;..;..
2013;207 190;103,5;..;..;135 709;104,6;729,4;105,9;227 784;..;..;..;149 198;..;629,9;..
2014;209 706;101,2;..;..;137 357;101,2;812,9;111,4;241 248;105,9;..;..;158 017;105,9;655,5;104,1
2015;220 210;105,0;..;..;144 238;105,0;827,8;101,8;256 245;106,2;..;..;167 841;106,2;658,6;100,5
2016;237 494;107,8;..;..;157 934;109,5;836,3;101,0;280 735;109,6;..;..;186 688;111,2;657,0;99,7
2017;275 251;115,9;..;..;183 042;115,9;804,7;96,2;317 240;113,0;..;..;210 964;113,0;661,2;100,7
2018;308 568;112,1;..;..;205 198;112,1;775,1;96,3;345 793;109,0;..;..;229 953;109,0;665,9;100,7
2019;339 386;110,0;301 455;108,8;225 692;110,0;742,3;95,8;373 162;107,9;325 200;107,0;248 153;107,9;654,8;98,3
2020;374 286;110,3;334 114;110,8;248 901;110,3;731,0;98,5;409 150;109,6;356 265;109,6;272 084;109,6;653,3;99,8
2021;409 880;109,5;361 080;108,1;272 570;109,5;708,7;96,9;447 967;109,5;385 000;108,1;297 898;109,5;634,7;97,2
