20.1.1.50. Fõbb kereseti adatok – nonprofit szervezetek;;;;;;;;;;;;;;;;
Év;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók bruttó medián keresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók bruttó medián keresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók nettó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók létszáma ezer fõ;Teljes munkaidõben alkalmazásban állók létszáma elõzõ év azonos idõszaka = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül bruttó medián keresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete Ft/fõ/hó;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül nettó átlagkeresete elõzõ év = 100,0%;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma ezer fõ;Teljes munkaidõben alkalmazásban állók közfoglalkoztatottak nélkül létszáma elõzõ év azonos idõszaka = 100,0%
2009;169 377;97,7;..;..;110 083;99,7;65,4;104,2;..;..;..;..;..;..;..;..
2010;169 655;100,1;..;..;116 436;105,7;74,1;113,3;..;..;..;..;..;..;..;..
2011;188 948;111,3;..;..;126 641;108,7;73,8;99,6;..;..;..;..;..;..;..;..
2012;203 750;107,8;..;..;132 051;104,2;75,6;102,4;..;..;..;..;..;..;..;..
2013;209 711;102,9;..;..;137 361;104,0;66,4;87,8;218 744;..;..;..;143 277;..;62,1;..
2014;212 613;101,3;..;..;139 261;101,3;74,3;111,9;233 441;106,7;..;..;152 904;106,7;64,5;103,9
2015;219 689;103,4;..;..;143 896;103,4;78,3;105,5;240 804;103,2;..;..;157 727;103,2;68,2;105,7
2016;232 195;105,7;..;..;154 410;107,3;89,8;114,7;254 478;105,7;..;..;169 228;107,3;78,5;115,2
2017;258 309;111,2;..;..;171 776;111,2;108,8;121,1;281 339;110,6;..;..;187 090;110,6;96,2;122,5
2018;286 317;110,7;..;..;190 401;110,7;124,1;105,2;306 913;109,6;..;..;204 097;109,6;112,6;107,1
2019;328 712;112,1;280 990;112,4;218 593;112,1;127,4;101,1;346 967;109,2;292 824;109,2;230 733;109,2;118,3;105,0
2020;363 037;110,4;307 729;109,5;241 420;110,4;130,4;102,3;379 828;109,5;318 061;108,6;252 585;109,5;122,9;103,9
2021;419 126;115,4;341 649;111,0;278 719;115,4;158,4;121,5;434 844;114,5;350 141;110,1;289 171;114,5;151,2;123,0
