20.1.1.52. Az alkalmazásban állók száma nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Nemzetgazdasági ágak együtt A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB
Alkalmazásban állók, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;2 660,7;82,8;4,4;606,3;25,7;45,2;681,6;117,8;345,4;186,2;80,4;65,3;70,2;29,6;72,5;109,9;293,5;256,5;213,3;118,8;94,5;37,7;17,8;..;..;..;..;..;..
2010;2 701,9;76,7;4,1;600,3;25,1;44,4;673,8;118,3;343,4;184,8;84,4;66,4;67,5;29,3;75,3;134,2;262,5;266,0;261,6;118,2;143,4;36,4;21,3;..;..;..;..;..;..
2011;2 691,5;74,7;4,0;621,5;24,9;42,4;692,8;115,7;338,5;182,4;83,9;70,5;65,6;29,1;79,7;146,1;247,0;262,2;245,6;116,2;129,4;35,9;21,9;..;..;..;..;..;..
2012;2 674,4;77,8;3,9;609,4;23,9;40,8;678,0;112,5;332,1;184,5;79,9;71,6;64,2;27,1;78,6;135,6;260,0;254,3;263,8;118,5;145,3;33,0;21,4;..;..;..;..;..;..
2013;2 700,2;75,3;3,8;612,6;23,4;41,3;681,1;108,1;328,0;183,8;77,2;70,2;63,3;29,4;83,1;142,8;269,7;244,0;294,7;118,5;176,2;31,9;17,6;2 571,1;250,7;243,8;196,9;118,3;78,6
2014;2 823,0;78,2;3,7;627,7;24,3;42,9;698,6;110,0;332,3;193,8;81,0;74,0;62,6;27,0;85,4;155,8;281,7;248,9;341,6;119,7;221,9;34,4;17,8;2 640,5;255,0;248,3;206,8;119,4;87,4
2015;2 894,9;78,9;3,6;646,6;23,9;41,8;715,9;111,2;342,4;197,7;86,3;74,7;61,6;27,0;91,4;163,5;285,5;251,6;346,4;119,7;226,7;41,5;19,2;2 703,0;259,3;250,3;207,6;119,3;88,3
2016;2 977,9;77,7;3,3;664,1;24,0;45,2;736,6;114,2;355,5;203,4;89,2;79,1;61,8;27,3;99,7;163,3;287,3;260,6;359,6;120,4;239,2;42,3;20,3;2 775,4;265,4;259,7;205,9;120,0;85,9
2017;3 026,9;78,1;3,3;686,3;24,1;43,8;757,5;118,4;364,5;208,5;95,6;80,9;62,4;26,0;105,7;166,0;281,6;280,0;342,0;120,4;221,7;38,8;20,8;2 862,3;262,7;278,6;213,9;120,0;93,9
2018;3 116,8;74,7;3,7;710,5;23,9;43,9;782,0;128,8;381,7;215,8;104,8;87,9;62,8;29,0;113,9;179,2;281,4;289,2;319,9;121,4;198,6;43,0;22,7;2 990,9;268,8;288,2;219,6;121,1;98,5
2019;3 185,7;73,3;4,1;714,1;23,7;43,9;785,8;156,7;399,2;220,0;115,2;91,2;63,5;30,7;127,1;191,8;270,6;290,6;302,9;122,8;180,1;43,1;23,9;3 084,6;261,7;289,7;220,7;122,7;98,0
2020;3 076,7;70,5;4,2;682,5;22,7;43,2;752,6;157,1;385,1;212,2;95,7;96,7;61,5;30,4;128,6;170,1;271,1;289,4;292,6;121,4;171,2;40,8;22,4;2 987,9;263,4;288,8;219,1;121,2;97,8
2021;3 173,2;69,5;4,2;703,6;23,8;41,8;773,4;166,9;398,1;214,3;104,5;106,8;62,5;28,0;135,8;186,8;273,0;293,5;293,3;125,5;167,8;42,3;24,6;3 089,1;265,9;292,9;222,9;125,3;97,5
Az elõzõ év = 100,0% ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;96,3;98,3;89,4;88,5;96,4;100,7;89,5;92,1;94,6;97,0;91,5;109,2;97,0;93,1;99,8;92,4;111,7;98,8;101,8;101,4;102,3;98,9;101,8;..;..;..;..;..;..
2010;101,5;92,6;92,0;99,0;97,9;98,1;98,9;100,4;99,4;99,2;104,9;101,6;96,1;99,2;103,9;122,1;89,4;103,7;122,6;99,5;151,7;96,5;119,6;..;..;..;..;..;..
