20.1.1.63. A teljes munkaidõben alkalmazásban állók bruttó túlóradíja és pótléka, valamint további pótlékai tárgyév októberében, nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Nemzetgazdasági ágak együtt A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB
1 fõre jutó összege a teljes sokaságban, Ft/fõ/hó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mûszakpótlék;6 750 ;2 855 ;13 946 ;15 747 ;20 511 ;5 702 ;15 414 ;1 495 ;4 267 ;13 579 ;4 360 ;1 707 ;487 ;2 767 ;2 146 ;8 966 ;1 240 ;908 ;4 849 ;7 335 ;3 205 ;2 165 ;2 311 ;6 990 ;1 275 ;911 ;6 776 ;7 350 ;6 060 
Túlóra alapdíja és pótléka;6 935 ;8 336 ;17 381 ;13 088 ;12 023 ;11 999 ;13 003 ;4 776 ;6 296 ;10 698 ;3 916 ;7 567 ;8 242 ;5 439 ;5 475 ;12 477 ;385 ;1 436 ;2 155 ;4 345 ;707 ;2 047 ;4 154 ;7 180 ;457 ;2 851 ;6 068 ;4 649 ;7 841 
Egyéb bérpótlék;5 681 ;7 329 ;22 790 ;7 101 ;16 318 ;10 525 ;7 775 ;3 948 ;6 598 ;12 310 ;4 883 ;6 401 ;4 344 ;3 534 ;3 399 ;6 380 ;449 ;2 841 ;4 342 ;4 639 ;4 145 ;3 757 ;6 053 ;5 882 ;390 ;1 441 ;3 008 ;4 354 ;1 326 
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mûszakpótlék;7 277 ;2 162 ;11 072 ;17 862 ;21 597 ;7 264 ;17 294 ;739 ;4 291 ;14 637 ;4 404 ;3 399 ;713 ;2 017 ;1 418 ;10 836 ;1 342 ;1 032 ;5 309 ;7 941 ;3 551 ;1 756 ;2 496 ;7 511 ;1 380 ;1 033 ;7 269 ;7 951 ;6 442 
Túlóra alapdíja és pótléka;7 929 ;7 169 ;14 045 ;15 151 ;20 455 ;12 548 ;15 169 ;3 530 ;6 315 ;11 292 ;2 883 ;13 936 ;4 961 ;3 908 ;5 594 ;17 589 ;2 825 ;1 371 ;2 430 ;4 665 ;936 ;2 147 ;5 135 ;8 183 ;2 908 ;1 373 ;3 321 ;4 671 ;1 685 
Egyéb bérpótlék;6 413 ;8 418 ;11 830 ;8 485 ;23 355 ;14 936 ;9 426 ;3 149 ;5 928 ;13 013 ;3 339 ;10 708 ;6 638 ;4 480 ;3 578 ;8 910 ;142 ;5 377 ;3 532 ;1 787 ;4 699 ;4 406 ;7 818 ;6 619 ;139 ;5 385 ;4 836 ;1 789 ;8 528 
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mûszakpótlék;8 420 ;2 676 ;8 073 ;19 372 ;23 005 ;5 996 ;18 683 ;767 ;4 662 ;17 905 ;5 407 ;3 053 ;697 ;2 067 ;1 174 ;11 154 ;1 476 ;1 944 ;5 779 ;8 315 ;3 997 ;2 220 ;2 306 ;8 653 ;1 512 ;1 946 ;7 708 ;8 322 ;6 956 
Túlóra alapdíja és pótléka;7 858 ;8 100 ;14 722 ;14 134 ;21 709 ;12 160 ;14 288 ;4 277 ;6 074 ;12 809 ;2 991 ;8 070 ;4 975 ;3 091 ;4 809 ;13 669 ;2 654 ;2 560 ;2 960 ;5 734 ;1 010 ;2 329 ;5 222 ;8 074 ;2 716 ;2 563 ;3 940 ;5 739 ;1 738 
Egyéb bérpótlék;7 150 ;8 816 ;19 557 ;7 883 ;35 577 ;15 094 ;9 311 ;5 000 ;5 417 ;14 289 ;3 437 ;8 836 ;5 762 ;4 053 ;3 067 ;7 223 ;100 ;11 512 ;4 657 ;3 141 ;5 722 ;6 505 ;4 809 ;7 346 ;81 ;11 525 ;6 212 ;3 144 ;9 968 
