20.1.1.64. A teljes munkaidõben alkalmazásban állók kedvezmények nélküli nettó átlagkeresete nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Nemzetgazdasági ágak együtt A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ebbõl: ezen belül: humán-egészségügyi ellátás QA;Ebbõl: ezen belül: szociális ellátás QB
Nettó átlagkereset, Ft/fõ/hó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;124 116;94 501;145 477;119 698;192 562;116 149;122 641;100 809;112 452;122 976;86 356;202 643;231 765;113 454;168 252;99 393;139 172;122 229;107 822;114 603;99 023;115 050;105 424;..;..;..;..;..;..
2010;132 604;101 824;148 697;131 076;213 697;129 285;134 397;105 301;122 653;132 805;89 172;213 581;245 949;121 124;179 104;102 089;156 291;133 013;102 009;122 376;83 721;122 741;104 695;..;..;..;..;..;..
2011;141 151;105 925;166 698;141 281;240 712;137 343;145 030;107 665;132 374;139 264;89 379;249 890;289 067;124 713;196 826;103 618;161 899;128 587;106 552;120 156;89 082;129 034;110 903;..;..;..;..;..;..
2012;144 085;106 892;174 842;148 830;258 120;144 370;152 856;106 144;137 518;141 214;91 066;261 596;292 700;141 980;212 447;106 252;159 287;128 472;98 816;128 114;72 554;136 107;114 071;..;..;..;..;..;..
2013;151 118;112 450;184 120;158 371;268 888;147 145;161 913;116 381;142 453;146 294;96 119;279 649;308 302;137 387;211 519;111 126;169 516;142 095;99 056;139 149;70 782;142 110;114 779;156 031;178 590;142 120;121 749;139 190;94 962
2014;155 690;118 065;188 009;165 821;276 701;147 012;168 902;121 621;146 643;150 741;100 130;294 365;318 365;140 276;226 103;118 776;171 645;161 086;93 696;141 497;69 046;148 244;118 947;163 693;184 305;161 365;124 343;141 750;100 183
2015;162 391;123 885;189 730;172 840;287 730;151 027;175 719;129 004;150 676;156 642;103 207;301 381;323 541;144 840;242 000;129 724;184 837;169 121;96 089;144 442;71 919;139 703;126 616;171 118;198 535;169 738;129 076;144 784;107 496
2016;175 009;135 917;199 071;185 759;302 150;155 635;187 952;133 731;162 073;164 629;110 373;318 951;345 153;159 149;260 858;143 136;208 201;182 350;102 704;162 837;74 266;151 294;137 805;184 952;221 318;182 831;144 935;163 256;119 012
2017;197 516;153 374;221 435;207 399;331 356;178 945;209 970;151 302;182 082;185 872;126 008;339 599;373 447;187 199;287 172;163 638;238 448;197 773;123 050;189 676;88 589;192 287;162 235;206 681;251 965;198 539;169 558;190 118;142 459
