20.1.1.68. A teljes munkaidõben alkalmazásban állók havi bruttó munkajövedelme nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Nemzetgazdasági ágak együtt A–S;Ebbõl: mezõgazdaság, erdõgazdaság, halászat A;Ebbõl: bányászat, kõfejtés B;Ebbõl: feldolgozóipar C;Ebbõl: villamosenergia-, gáz-, gõzellátás, légkondicionálás D;Ebbõl: vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ebbõl: ipar B+C+D+E;Ebbõl: építõipar F;Ebbõl: kereskedelem, gépjármûjavítás G;Ebbõl: szállítás, raktározás H;Ebbõl: szálláshely-szolgáltatás, vendéglátás I;Ebbõl: információ, kommunikáció J;Ebbõl: pénzügyi, biztosítási tevékenység K;Ebbõl: ingatlanügyletek L;Ebbõl: szakmai, tudományos, mûszaki tevékenység M;Ebbõl: adminisztratív és szolgáltatást támogató tevékenység N;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ezen belül: humán-egészségügyi ellátás QA;Ezen belül: szociális ellátás QB;Ebbõl: mûvészet, szórakoztatás, szabadidõ szociális ellátás R;Ebbõl: egyéb szolgáltatás szociális ellátás S;Nemzetgazdasági ágak együtt közfoglalkoztatottak nélkül A–S;"Ebbõl: közigazgatás, védelem; kötelezõ társadalom-biztosítás O";Ebbõl: oktatás P;Ebbõl: humán-egészségügyi, szociális ellátás Q;Ezen belül: humán-egészségügyi ellátás QA;Ezen belül: szociális ellátás QB
Bruttó munkajövedelem összesen, forint/fõ/hó;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;212 876;144 068;255 825;203 716;377 905;194 342;210 625;163 878;181 946;210 866;127 845;386 331;450 245;184 527;306 037;156 871;260 130;205 990;169 042;184 040;149 581;188 782;168 698;..;..;..;..;..;..
2010;215 997;150 792;249 224;215 819;396 749;208 849;222 854;167 284;192 719;216 129;128 285;384 786;461 024;188 981;309 869;152 316;269 917;206 582;148 493;184 132;116 492;190 381;157 824;..;..;..;..;..;..
2011;227 405;162 613;275 002;228 793;414 267;226 106;236 069;171 407;205 902;228 390;131 827;412 016;486 317;193 643;317 760;157 175;277 681;203 112;161 454;185 741;130 266;203 224;171 402;..;..;..;..;..;..
2012;235 491;170 971;293 158;245 203;437 622;240 123;252 475;176 206;220 098;233 609;145 514;426 451;484 631;225 660;342 697;169 986;268 698;205 414;156 891;204 459;114 253;219 160;183 744;..;..;..;..;..;..
2013;244 261;179 856;309 267;258 160;446 369;240 374;264 316;192 987;226 178;240 680;152 872;443 745;498 269;218 035;336 325;177 664;282 186;223 443;156 847;220 682;111 831;228 095;182 844;252 410;297 786;223 482;194 055;220 750;153 059
2014;250 611;188 933;314 242;268 715;457 718;239 524;274 192;194 940;232 150;248 523;159 972;466 718;513 649;221 975;360 245;189 731;284 035;253 534;147 716;224 555;108 091;237 263;188 872;263 799;305 657;253 978;197 755;224 964;159 990
2015;261 398;197 962;312 903;280 094;469 766;246 198;284 999;204 022;238 219;259 464;165 497;477 686;520 118;231 277;385 480;208 450;305 941;267 019;151 380;228 928;112 617;222 520;201 670;275 766;329 254;268 006;205 131;229 478;171 684
2016;277 232;213 865;313 264;295 731;484 591;250 116;299 478;206 768;252 068;270 471;174 177;497 743;546 219;249 287;408 154;225 026;340 469;283 612;159 040;253 921;114 169;237 444;215 627;293 298;362 451;284 367;226 243;254 582;186 143
2017;312 144;240 132;348 477;329 407;528 142;286 064;333 650;234 300;283 554;303 884;198 251;530 979;587 979;290 658;449 231;256 829;387 427;307 094;190 459;294 793;136 494;301 223;254 677;326 873;409 823;308 292;263 942;295 484;222 371
2018;346 701;265 636;396 298;363 540;579 538;318 845;368 151;261 294;314 849;337 232;222 891;583 194;635 530;326 765;481 240;290 070;425 997;330 462;225 045;342 335;156 459;347 766;282 260;359 140;442 440;331 396;298 951;342 931;243 540
