20.1.1.70. Reálkeresetek alakulása;;;;;;;
Év;Teljes munkaidõben foglalkoztatottak átlagkeresete, bruttó, Ft/fõ/hó;Teljes munkaidõben foglalkoztatottak átlagkeresete, nettó, Ft/fõ/hó;Teljes munkaidõben foglalkoztatottak átlagkeresete, bruttó, elõzõ év = 100,0%;Teljes munkaidõben foglalkoztatottak átlagkeresete, nettó, elõzõ év = 100,0%;Fogyasztóiár-index, elõzõ év = 100,0%;Reálkereseti index, bruttó elõzõ év = 100,0%;Reálkereseti index, nettó elõzõ év = 100,0%
1992;22 294;15 628;125,1;121,3;123,0;101,7;98,6
1993;27 173;18 397;121,9;117,7;122,5;99,5;96,1
1994;33 939;23 424;124,9;127,3;118,8;105,1;107,2
1995;38 900;25 891;116,8;112,6;128,2;91,1;87,8
1996;46 837;30 544;120,4;117,4;123,6;97,4;95,0
1997;57 270;38 145;122,3;124,1;118,3;103,4;104,9
1998;67 764;45 162;118,3;118,4;114,3;103,5;103,6
1999;77 187;50 076;116,1;112,7;110,0;105,5;102,5
2000;87 645;55 785;113,5;111,4;109,8;103,4;101,5
2001;103 553;64 913;118,0;116,2;109,2;108,1;106,4
2002;122 482;77 622;118,3;119,6;105,3;112,3;113,6
2003;137 193;88 753;112,0;114,3;104,7;107,0;109,2
2004;145 520;93 715;106,0;105,6;106,8;99,3;98,9
2005;158 343;103 149;108,8;110,1;103,6;105,0;106,3
2006;171 351;110 951;108,2;107,6;103,9;104,1;103,6
2007;185 017;114 282;108,0;103,0;108,0;100,0;95,4
2008;198 964;122 267;107,5;107,0;106,1;101,3;100,8
2009;199 837;124 116;100,6;101,8;104,2;96,5;97,7
2010;202 525;132 604;101,3;106,8;104,9;96,6;101,8
2011;213 094;141 151;105,2;106,4;103,9;101,3;102,4
2012;223 060;144 085;104,7;102,1;105,7;99,1;96,6
2013;230 714;151 118;103,4;104,9;101,7;101,7;103,1
2014;237 695;155 690;103,0;103,0;99,8;103,2;103,2
2015;247 924;162 391;104,3;104,3;99,9;104,4;104,4
2016;263 171;175 009;106,1;107,8;100,4;105,7;107,4
2017;297 017;197 516;112,9;112,9;102,4;110,3;110,3
2018;329 943;219 412;111,3;111,3;102,8;108,3;108,3
2019;367 833;244 609;111,4;111,4;103,4;107,7;107,7
2020;403 616;268 405;109,7;109,7;103,3;106,2;106,2
2021;438 814;291 812;108,7;108,7;105,1;103,4;103,4
