20.1.1.71. Üres álláshelyek száma és aránya foglalkozási fõcsoportok (FEOR'08) szerint;;;;;;;;;;
Év;1. Gazdasági, igazgatási, érdek-képviseleti vezetõk, törvényhozók;2. Felsõfokú képzettség önálló alkalmazását igénylõ foglalkozások;3. Egyéb felsõfokú vagy középfokú képzettséget igénylõ foglalkozások;4. Irodai és ügyviteli (ügyfélkapcsolati) foglalkozások;5. Kereskedelmi és szolgáltatási foglalkozások;6. Mezõgazdasági és erdõgazdálkodási foglalkozások;7. Ipari és építõipari foglalkozások;8. Gépkezelõk, összeszerelõk, jármûvezetõk;9. Szakképzettséget nem igénylõ (egyszerû) foglalkozások;Nemzetgazdaság összesen
Üres álláshelyek száma, db;;;;;;;;;;
2009;335;5 675;5 741;1 440;1 824;155;1 981;2 367;3 639;23 156
2010;410;6 559;6 305;1 717;1 490;152;2 746;3 461;4 330;27 167
2011;527;7 431;6 585;2 238;1 518;87;2 581;4 187;3 571;28 724
2012;399;7 019;6 399;1 592;1 674;227;2 077;3 674;3 476;26 536
2013;454;9 079;7 180;2 012;2 367;104;2 075;4 371;5 160;32 802
2014;511;9 937;7 597;2 583;2 421;245;2 714;5 707;5 994;37 709
2015;661;10 407;8 971;2 832;3 071;157;3 534;7 013;7 907;44 552
2016;714;11 404;10 084;3 522;3 941;272;5 411;9 511;10 345;55 203
2017;960;12 956;11 263;3 911;5 246;356;7 615;11 510;14 318;68 134
2018;1 300;15 333;12 790;4 438;6 564;448;9 683;14 296;18 658;83 510
2019;1 220;15 076;12 789;4 996;7 256;629;8 532;11 443;16 768;78 707
2020;884;13 342;10 906;3 543;4 863;399;5 823;7 833;13 078;60 669
2021;1 201;16 624;13 210;3 916;5 790;396;7 231;10 504;15 606;74 475
Üres álláshelyek aránya, %;;;;;;;;;;
2009;0,3;1,4;1,2;0,7;0,5;0,5;0,6;0,8;1,0;0,9
2010;0,3;1,7;1,3;0,8;0,4;0,5;0,8;1,1;1,1;1,0
2011;0,4;1,9;1,5;0,9;0,4;0,3;0,8;1,2;0,9;1,1
2012;0,3;1,8;1,5;0,7;0,5;0,7;0,7;1,0;0,8;1,0
2013;0,3;2,2;1,6;0,9;0,7;0,3;0,7;1,2;1,1;1,2
2014;0,3;2,3;1,7;1,2;0,8;0,8;0,9;1,6;1,2;1,4
2015;0,4;2,3;1,9;1,2;0,9;0,5;1,2;1,8;1,5;1,5
2016;0,5;2,4;2,1;1,5;1,1;0,9;1,8;2,4;1,8;1,9
2017;0,6;2,6;2,3;1,6;1,4;1,2;2,5;2,9;2,5;2,2
2018;0,8;3,0;2,5;1,7;1,7;1,5;3,2;3,4;3,3;2,7
2019;0,6;2,9;2,4;2,1;2,0;3,2;2,7;2,7;2,8;2,5
2020;0,4;2,5;2,1;1,5;1,5;2,1;2,0;2,0;2,4;2,0
2021;0,6;2,9;2,4;1,6;1,7;2,1;2,4;2,6;2,7;2,3
