20.1.1.72. Üres álláshelyek száma és aránya nemzetgazdasági áganként;;;;;;;;;;;;;;;;;;;;;;;;
Év;Mezõgazdaság, erdõgazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D;Vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ipar B+C+D+E;Építõipar F;Kereskedelem, gépjármûjavítás G;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabadidõ R;Egyéb szolgáltatás S;Nemzetgazdaság összesen A–S;Ebbõl: versenyszféra A–S;Ebbõl: költségvetés A–S
Üres álláshelyek száma, db;;;;;;;;;;;;;;;;;;;;;;;;
2009;293;2;4 570;221;4 793;332;5 125;898;1 394;633;547;749;606;99;805;1 407;2 321;3 040;4 711;413;118;23 156;12 228;9 831
2010;260;9;7 058;239;7 306;563;7 869;1 052;1 485;915;494;1 037;784;103;1 178;1 574;2 524;3 046;4 354;367;127;27 167;16 200;9 769
2011;214;12;7 369;163;7 544;215;7 758;637;1 379;943;505;1 257;654;123;966;1 787;4 311;3 277;4 377;397;141;28 724;15 669;11 809
2012;419;32;6 684;132;6 847;218;7 065;1 014;1 255;1 035;434;1 430;619;84;684;828;3 432;2 874;4 841;304;220;26 536;14 695;10 853
2013;248;19;7 800;111;7 929;197;8 127;1 180;1 533;1 279;562;1 392;769;299;880;1 887;4 059;5 095;4 942;290;262;32 802;17 529;13 604
2014;593;21;9 739;126;9 886;348;10 233;1 071;2 275;1 927;898;2 081;964;325;1 374;2 343;3 361;4 579;5 153;304;229;37 709;23 307;12 738
2015;288;2;12 439;219;12 660;343;13 003;1 312;3 273;1 830;1 088;2 240;1 077;143;1 526;3 860;4 285;4 194;5 792;418;225;44 552;28 728;13 875
2016;482;18;15 779;185;15 981;504;16 485;2 160;4 349;2 901;1 674;2 807;1 200;279;2 413;5 012;3 922;3 763;6 824;445;489;55 203;38 970;14 510
2017;636;20;20 227;264;20 511;526;21 037;3 160;6 103;3 370;2 396;2 768;1 387;297;2 528;7 137;5 260;3 753;7 482;519;304;68 134;49 694;16 061
2018;913;78;23 776;364;24 217;733;24 950;4 560;6 313;4 506;2 744;3 339;1 760;474;3 314;9 871;7 456;3 976;8 367;625;345;83 510;61 047;19 141
2019;882;75;19 173;367;19 615;836;20 451;4 325;6 400;5 811;2 754;3 107;1 366;442;2 901;7 758;7 573;4 289;9 505;612;536;78 707;54 768;20 465
2020;615;63;14 336;208;14 607;624;15 231;2 695;3 489;3 721;1 304;2 187;1 112;249;2 101;5 804;7 660;4 907;8 678;526;391;60 669;36 996;20 676
2021;695;79;17 844;372;18 296;645;18 941;3 321;4 529;4 084;1 959;3 162;1 645;326;3 042;9 406;8 070;5 953;8 340;638;367;74 475;49 587;21 868
Üres álláshelyek aránya, %;;;;;;;;;;;;;;;;;;;;;;;;
2009;0,4;0,1;0,7;0,9;0,7;0,8;0,7;0,7;0,4;0,3;0,8;1,1;0,8;0,3;1,0;1,2;0,9;1,2;2,6;1,2;0,6;0,9;0,6;1,5
2010;0,3;0,2;1,1;0,9;1,1;1,2;1,1;0,8;0,4;0,5;0,6;1,5;1,1;0,3;1,5;1,1;0,9;1,2;2,3;1,1;0,6;1,0;0,9;1,4
2011;0,3;0,3;1,2;0,7;1,1;0,5;1,1;0,5;0,4;0,5;0,6;1,8;1,0;0,4;1,1;1,2;1,6;1,4;2,4;1,2;0,7;1,1;0,8;1,8
2012;0,5;0,8;1,1;0,5;1,0;0,5;1,0;0,9;0,4;0,6;0,5;1,9;0,9;0,3;0,8;0,6;1,3;1,3;2,8;1,0;1,0;1,0;0,8;1,7
2013;0,3;0,5;1,2;0,5;1,2;0,5;1,2;1,0;0,4;0,7;0,7;1,9;1,2;1,0;1,0;1,3;1,3;2,1;2,7;1,0;1,4;1,2;0,9;2,0
2014;0,7;0,5;1,5;0,5;1,5;0,8;1,4;0,9;0,7;1,0;1,1;2,7;1,5;1,1;1,5;1,5;1,0;1,9;2,6;1,0;1,2;1,4;1,2;1,8
2015;0,3;0,1;1,9;0,9;1,8;0,8;1,8;1,1;0,9;0,9;1,2;2,9;1,7;0,5;1,6;2,3;1,2;1,7;2,9;1,0;1,1;1,5;1,4;1,8
2016;0,6;0,5;2,3;0,8;2,2;1,1;2,2;1,9;1,2;1,4;1,8;3,4;1,9;1,0;2,3;2,9;1,1;1,5;3,3;1,1;2,3;1,9;1,9;1,8
2017;0,8;0,6;2,8;1,1;2,8;1,2;2,7;2,5;1,6;1,6;2,4;3,2;2,1;1,1;2,3;4,2;1,4;1,4;3,3;1,2;1,4;2,2;2,3;2,0
2018;1,2;2,1;3,2;1,5;3,2;1,6;3,1;3,2;1,6;2,0;2,5;3,6;2,7;1,6;2,7;5,2;2,3;1,5;3,8;1,5;1,5;2,7;2,7;2,6
2019;1,1;1,8;2,6;1,5;2,6;1,9;2,5;2,6;1,6;2,6;2,4;3,3;2,1;1,3;2,2;3,7;2,4;1,6;4,1;1,5;2,0;2,5;2,4;2,9
2020;0,8;1,5;2,1;0,9;2,0;1,4;2,0;1,6;0,9;1,7;1,4;2,2;1,7;0,8;1,5;3,2;2,5;1,9;3,9;1,3;1,6;2,0;1,7;3,0
2021;1,0;1,9;2,5;1,5;2,4;1,5;2,4;1,9;1,1;1,9;1,8;2,8;2,5;1,1;2,1;4,7;2,7;2,0;3,7;1,5;1,4;2,3;2,1;3,2
