20.1.1.74. Továbbvezetett havi munkaerõköltség fõbb elemeinek megoszlása nemzetgazdasági áganként [munkaerõköltség = 100,0%];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág, ágazat;Bruttó munka-jövedelem 2009;Szociális költség 2009;Képzés és más költségelemek 2009;Munkaerõ-költség 2009;Bruttó munka-jövedelem 2010;Szociális költség 2010;Képzés és más költségelemek 2010;Munkaerõ-költség 2010;Bruttó munka-jövedelem 2011;Szociális költség 2011;Képzés és más költségelemek 2011;Munkaerõ-költség 2011;Bruttó munka-jövedelem 2012;Szociális költség 2012;Képzés és más költségelemek 2012;Munkaerõ-költség 2012;Bruttó munka-jövedelem 2013;Szociális költség 2013;Képzés és más költségelemek 2013;Munkaerõ-költség 2013;Bruttó munka-jövedelem 2014;Szociális költség 2014;Képzés és más költségelemek 2014;Munkaerõ-költség 2014;Bruttó munka-jövedelem 2015;Szociális költség 2015;Képzés és más költségelemek 2015;Munkaerõ-költség 2015;Bruttó munka-jövedelem 2016;Szociális költség 2016;Képzés és más költségelemek 2016;Munkaerõ-költség 2016;Bruttó munka-jövedelem 2017;Szociális költség 2017;Képzés és más költségelemek 2017;Munkaerõ-költség 2017;Bruttó munka-jövedelem 2018;Szociális költség 2018;Képzés és más költségelemek 2018;Munkaerõ-költség 2018
A;Mezõgazdaság, erdõgazdálkodás, halászat;73,3;25,2;1,5;100,0;75,2;22,9;1,9;100,0;75,1;23,4;1,5;100,0;77,7;21,4;0,9;100,0;75,5;21,0;3,5;100,0;74,8;21,1;4,1;100,0;75,4;20,4;4,2;100,0;74,6;20,2;5,3;100,0;77,3;17,0;5,7;100,0;78,6;15,7;5,7;100,0
B ;Bányászat, kõfejtés;72,6;24,9;2,4;100,0;74,6;23,2;2,2;100,0;75,0;23,0;2,0;100,0;74,2;23,4;2,4;100,0;72,5;22,6;4,9;100,0;72,0;22,9;5,1;100,0;72,1;22,6;5,3;100,0;75,3;22,1;2,6;100,0;79,3;17,9;2,8;100,0;80,9;16,3;2,8;100,0
C;Feldolgozóipar;72,1;25,4;2,5;100,0;74,4;23,4;2,1;100,0;75,0;23,2;1,7;100,0;76,3;21,6;2,1;100,0;75,0;21,1;3,8;100,0;74,5;21,4;4,1;100,0;74,2;21,7;4,1;100,0;75,6;21,8;2,7;100,0;79,0;18,2;2,8;100,0;80,3;16,8;2,9;100,0
CA;Élelmiszer, ital, dohánytermék gyártása;72,3;25,2;2,5;100,0;74,8;22,9;2,3;100,0;75,1;22,8;2,1;100,0;77,3;20,7;2,0;100,0;76,1;21,3;2,6;100,0;75,2;21,6;3,1;100,0;75,4;21,5;3,1;100,0;75,7;21,1;3,2;100,0;78,9;17,7;3,4;100,0;80,3;16,3;3,4;100,0
CB;Textília, ruházat, bõr és bõrtermék gyártása;73,6;25,5;0,9;100,0;74,5;24,2;1,3;100,0;76,9;23,3;-0,2;100,0;79,6;20,2;0,2;100,0;82,5;20,6;-3,0;100,0;82,1;21,6;-3,7;100,0;82,0;21,7;-3,8;100,0;79,6;20,5;-0,2;100,0;82,1;18,1;-0,2;100,0;83,6;16,6;-0,2;100,0
CC;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység;73,0;25,2;1,8;100,0;74,9;23,1;2,0;100,0;76,5;23,3;0,2;100,0;77,2;20,8;2,0;100,0;76,1;21,3;2,6;100,0;75,8;21,1;3,1;100,0;75,8;20,7;3,5;100,0;76,8;22,0;1,3;100,0;80,6;18,1;1,3;100,0;82,1;16,6;1,3;100,0
CD;Kokszgyártás, kõolajfeldolgozás;71,1;24,7;4,1;100,0;74,4;23,7;1,9;100,0;74,5;23,4;2,1;100,0;74,1;24,0;1,9;100,0;74,2;22,7;3,2;100,0;74,9;21,6;3,5;100,0;74,5;21,9;3,6;100,0;75,3;21,2;3,4;100,0;79,6;16,7;3,6;100,0;81,1;15,2;3,7;100,0
CE;Vegyi anyag, termék gyártása;70,8;25,5;3,7;100,0;71,8;24,5;3,7;100,0;73,2;24,2;2,6;100,0;73,6;23,9;2,5;100,0;73,4;23,0;3,5;100,0;73,5;22,9;3,6;100,0;73,9;22,6;3,5;100,0;74,6;22,3;3,1;100,0;78,6;18,2;3,2;100,0;79,9;16,8;3,3;100,0
CF;Gyógyszergyártás;69,4;26,4;4,2;100,0;72,6;24,3;3,1;100,0;72,9;24,2;3,0;100,0;77,2;19,3;3,5;100,0;75,6;18,3;6,1;100,0;75,5;19,0;5,5;100,0;72,1;21,3;6,6;100,0;73,8;21,6;4,6;100,0;76,1;19,0;4,9;100,0;77,1;17,8;5,1;100,0
CG;Gumi-, mûanyag és nemfém ásványi termék gyártása;72,5;25,3;2,2;100,0;74,3;23,7;2,0;100,0;75,2;23,1;1,7;100,0;76,6;21,6;1,8;100,0;75,9;21,0;3,1;100,0;75,2;22,0;2,8;100,0;75,2;21,8;3,0;100,0;75,8;21,3;2,8;100,0;79,5;17,6;3,0;100,0;80,8;16,2;3,0;100,0
