20.1.1.75. Továbbvezetett havi munkaerõköltség fõbb elemeinek alakulása nemzetgazdasági áganként, forintban [Ft/fõ/hó];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág, ágazat;Bruttó munka-jövedelem 2009;Szociális költség 2009;Képzés és más költségelemek 2009;Munkaerõ-költség 2009;Bruttó munka-jövedelem 2010;Szociális költség 2010;Képzés és más költségelemek 2010;Munkaerõ-költség 2010;Bruttó munka-jövedelem 2011;Szociális költség 2011;Képzés és más költségelemek 2011;Munkaerõ-költség 2011;Bruttó munka-jövedelem 2012;Szociális költség 2012;Képzés és más költségelemek 2012;Munkaerõ-költség 2012;Bruttó munka-jövedelem 2013;Szociális költség 2013;Képzés és más költségelemek 2013;Munkaerõ-költség 2013;Bruttó munka-jövedelem 2014;Szociális költség 2014;Képzés és más költségelemek 2014;Munkaerõ-költség 2014;Bruttó munka-jövedelem 2015;Szociális költség 2015;Képzés és más költségelemek 2015;Munkaerõ-költség 2015;Bruttó munka-jövedelem 2016;Szociális költség 2016;Képzés és más költségelemek 2016;Munkaerõ-költség 2016;Bruttó munka-jövedelem 2017;Szociális költség 2017;Képzés és más költségelemek 2017;Munkaerõ-költség 2017;Bruttó munka-jövedelem 2018;Szociális költség 2018;Képzés és más költségelemek 2018;Munkaerõ-költség 2018
A;Mezõgazdaság, erdõgazdálkodás, halászat;145 873;50 074;2 967;198 914;147 904;45 129;3 703;196 737;161 581;49 409;2 870;213 860;170 757;46 944;2 003;219 704;177 147;49 220;8 140;234 507;185 876;52 388;10 152;248 417;195 598;52 878;10 831;259 307;206 370;55 781;14 654;276 805;236 351;51 997;17 297;305 644;261 197;52 347;18 910;332 453
B ;Bányászat, kõfejtés;255 067;87 523;8 563;351 153;241 790;75 158;7 124;324 072;269 033;84 501;7 099;360 633;292 479;92 107;9 443;394 030;305 478;95 031;20 618;421 126;322 979;102 522;22 786;448 286;310 834;97 293;22 717;430 844;311 519;91 326;10 874;413 719;345 375;77 876;12 155;435 407;393 898;79 387;13 755;487 040
C;Feldolgozóipar;200 897;70 666;6 926;278 488;208 427;65 690;6 021;280 137;223 640;68 604;5 092;297 335;242 848;68 887;6 715;318 450;253 857;71 452;12 988;338 297;264 817;76 037;14 715;355 570;275 549;80 605;15 043;371 196;293 327;84 515;10 332;388 174;321 981;74 312;11 463;407 756;355 622;74 537;12 719;442 878
CA;Élelmiszer, ital, dohánytermék gyártása;169 117;58 891;5 791;233 800;166 675;51 051;5 210;222 935;177 295;53 693;4 596;235 584;198 642;53 118;5 229;256 990;200 313;56 227;6 838;263 378;215 750;62 085;9 002;286 838;224 656;64 070;9 154;297 880;239 960;67 038;10 123;317 121;263 288;59 155;11 301;333 743;292 570;59 217;12 481;364 269
CB;Textília, ruházat, bõr és bõrtermék gyártása;110 217;38 230;1 404;149 851;112 634;36 635;1 952;151 221;124 452;37 074;84;161 611;137 612;34 943;340;172 895;146 188;36 490;-5 404;177 274;154 121;40 474;-6 934;187 662;161 061;42 697;-7 445;196 313;167 141;43 131;-365;209 908;190 283;42 002;-414;231 871;211 472;41 934;-411;252 995
CC;Fafeldolgozás, papírtermék gyártása, nyomdai tevékenység;169 290;58 483;4 086;231 859;175 979;54 168;4 661;234 808;180 776;55 024;4 719;240 520;197 431;53 241;5 055;255 727;205 272;57 449;7 057;269 778;208 436;58 102;8 470;275 008;218 044;59 633;10 104;287 781;232 591;66 601;3 836;303 028;261 456;58 853;4 136;324 445;291 076;58 970;4 491;354 537
CD;Kokszgyártás, kõolajfeldolgozás;534 942;186 071;31 000;752 013;524 735;167 111;13 622;705 468;541 221;195 924;13 713;750 857;574 127;186 172;14 675;774 974;601 662;183 986;25 610;811 258;755 352;217 907;35 737;1 008 996;687 009;201 667;33 331;922 007;740 092;208 603;33 748;982 442;790 992;166 404;36 110;993 506;879 230;164 999;39 851;1 084 080
CE;Vegyi anyag, termék gyártása;292 212;105 353;15 137;412 702;307 744;105 213;15 868;428 825;315 683;101 988;10 434;428 104;348 126;113 149;11 628;472 903;355 836;111 629;17 067;484 531;358 942;111 671;17 647;488 260;371 267;113 231;17 568;502 066;392 160;116 992;16 465;525 617;427 560;98 982;17 545;544 087;475 473;100 186;19 439;595 099
CF;Gyógyszergyártás;374 740;142 405;22 468;539 613;432 386;144 716;18 339;595 441;455 126;144 024;18 881;618 030;472 033;117 775;21 521;611 329;484 690;117 371;38 911;640 972;506 365;127 231;37 187;670 783;501 328;148 181;45 915;695 424;515 425;150 929;31 980;698 333;539 911;134 727;35 112;709 750;560 044;129 481;36 788;726 313
CG;Gumi-, mûanyag és nemfém ásványi termék gyártása;198 499;69 434;6 014;273 946;208 789;66 565;5 583;280 938;220 345;66 909;5 218;292 472;234 273;66 006;5 525;305 805;248 579;68 848;10 071;327 498;252 195;73 691;9 513;335 399;267 692;77 527;10 581;355 800;286 717;80 662;10 720;378 099;315 451;69 697;11 802;396 950;347 359;69 687;12 979;430 025
