20.1.2.4. A foglalkoztatottak száma nemzetgazdasági szektorok szerint, régióként – TEÁOR'08 [ezer fõ];;;;
Régió/Év;Mezõgazdaság;Ipar;Szolgáltatás;Összesen
Budapest;;;;
2009;2,1;136,9;626,1;766,0
2010;1,7;132,7;610,0;745,9
2011;1,9;127,9;621,9;752,9
2012;4,0;125,5;645,9;775,9
2013;2,2;125,8;655,8;784,9
2014;3,1;134,7;670,3;809,1
2015;2,4;141,7;688,0;833,3
2016;1,1;139,3;729,0;870,3
2017;1,3;149,4;722,3;873,5
2018;1,6;152,5;709,2;863,5
2019;1,8;133,8;737,4;874,3
2020;4,5;137,1;735,5;878,4
2021;3,0;137,2;732,3;872,5
Pest;;;;
2009;9,9;152,6;341,1;504,6
2010;10,7;144,8;344,9;501,4
2011;12,6;146,0;348,3;508,0
2012;13,7;139,0;359,4;513,1
2013;10,1;146,8;368,3;526,4
2014;9,3;153,9;384,0;547,9
2015;12,5;157,7;390,7;561,4
2016;9,8;164,6;409,6;584,6
2017;11,6;175,3;410,4;597,9
2018;12,6;188,3;417,1;618,9
2019;13,7;184,2;437,8;636,7
2020;13,0;194,3;436,5;644,3
2021;16,2;184,2;458,0;658,4
Közép-Dunántúl;;;;
2009;19,2;192,0;237,0;449,2
2010;19,2;185,5;240,7;446,6
2011;19,6;196,1;243,4;459,5
2012;19,2;184,3;252,7;456,5
2013;21,1;182,5;258,0;462,1
2014;22,3;196,9;263,5;484,2
2015;23,1;203,3;273,8;500,7
2016;24,4;214,9;264,9;504,5
2017;22,6;226,9;266,4;516,3
2018;23,4;230,3;262,7;517,0
2019;20,9;230,2;268,4;520,2
2020;22,8;220,9;275,4;519,3
2021;21,1;223,8;281,3;526,2
Nyugat-Dunántúl;;;;
2009;22,6;162,8;234,2;420,1
2010;20,5;159,3;234,4;414,9
2011;23,6;166,1;233,3;423,7
2012;23,3;164,5;240,6;429,0
2013;20,2;161,5;252,2;433,9
2014;18,8;180,5;257,9;458,3
2015;23,5;170,7;267,7;462,5
2016;24,8;177,4;270,5;473,7
2017;25,8;194,2;264,2;484,8
2018;25,7;208,2;262,2;496,7
2019;24,6;209,9;267,4;503,1
2020;23,7;187,4;286,5;498,6
2021;22,3;191,2;288,8;502,3
Dél-Dunántúl;;;;
2009;27,3;113,8;202,4;344,2
2010;27,9;113,1;205,2;346,5
2011;25,6;106,5;205,5;338,0
2012;26,1;101,8;209,6;338,0
2013;29,8;101,1;218,0;349,3
2014;29,3;108,1;225,4;365,8
2015;30,2;112,3;226,5;369,4
2016;31,6;113,7;233,7;379,6
2017;31,8;118,3;227,3;377,5
2018;27,1;123,7;230,9;381,9
2019;26,0;126,6;228,3;381,4
2020;28,6;118,9;225,8;373,6
2021;24,7;119,0;233,9;377,6
Észak-Magyarország;;;;
2009;13,9;148,9;246,5;409,8
2010;15,3;146,9;241,7;404,4
2011;17,1;145,6;239,5;402,6
2012;19,9;146,2;237,9;404,5
2013;19,8;148,1;249,2;417,3
2014;17,0;154,4;267,7;443,7
2015;20,5;157,1;283,7;463,4
2016;21,5;174,0;281,5;477,7
2017;23,3;187,6;273,2;484,1
2018;22,0;189,3;283,8;495,1
2019;21,4;191,3;282,6;495,4
2020;18,5;191,8;273,0;483,2
2021;16,6;188,8;273,3;478,7
Észak-Alföld;;;;
2009;34,0;157,4;317,6;509,9
2010;35,7;154,9;326,8;517,6
2011;38,5;157,9;327,3;524,2
2012;43,1;160,2;336,0;539,4
2013;38,5;173,0;339,5;551,2
2014;41,2;187,6;356,0;589,6
2015;43,1;186,5;371,1;604,2
2016;44,1;186,4;394,5;626,7
2017;46,2;193,9;403,9;644,1
2018;48,4;210,2;397,8;656,9
2019;48,8;210,4;396,8;656,4
2020;48,7;213,8;377,8;640,7
2021;45,1;219,8;381,0;645,9
Dél-Alföld;;;;
2009;47,4;139,3;302,6;490,7
2010;43,8;141,4;310,7;496,5
2011;47,6;147,9;298,0;494,2
2012;45,4;146,7;309,2;502,3
2013;44,8;152,5;306,1;504,1
2014;50,1;155,6;316,4;524,1
2015;50,1;167,3;321,9;540,2
2016;62,4;171,3;330,5;565,1
2017;59,7;172,5;337,7;570,2
2018;56,7;176,6;342,9;576,3
2019;55,4;184,1;337,4;577,1
2020;54,2;185,7;325,0;565,1
2021;52,5;187,9;332,6;572,9
Összesen;;;;
2009;176,3;1 203,8;2 507,5;3 887,6
2010;174,7;1 178,7;2 514,4;3 867,8
2011;186,5;1 193,9;2 517,3;3 897,7
2012;194,7;1 168,2;2 591,3;3 954,2
2013;186,4;1 191,3;2 647,1;4 024,8
2014;191,1;1 271,7;2 741,4;4 204,2
2015;205,3;1 296,5;2 823,3;4 325,1
2016;219,6;1 341,6;2 914,0;4 475,3
2017;222,4;1 418,2;2 905,5;4 546,1
2018;217,4;1 479,1;2 906,5;4 603,0
2019;212,7;1 470,6;2 956,1;4 639,4
2020;213,9;1 449,8;2 935,5;4 599,3
2021;201,4;1 451,8;2 981,3;4 634,6
Nem besorolt;;;;
2009;0,0;0,0;0,0;6,9
2010;0,0;0,0;0,0;6,0
2011;0,0;0,0;0,0;5,3
2012;0,0;0,0;0,0;4,6
2013;0,0;0,0;0,0;4,4
2014;0,0;0,0;0,0;18,4
2015;0,0;0,0;0,0;10,0
2016;0,0;0,0;0,0;7,0
2017;0,0;0,0;0,0;2,3
2018;0,0;0,0;0,0;3,3
2019;0,0;0,0;0,0;5,2
2020;0,0;0,0;0,0;4,0
2021;0,0;0,0;0,0;0,0
Foglalkoztatottak összesen;;;;
2009;176,3;1 203,8;2 507,5;3 894,5
2010;174,7;1 178,7;2 514,4;3 873,8
2011;186,5;1 193,9;2 517,3;3 903,0
2012;194,7;1 168,2;2 591,3;3 958,7
2013;186,4;1 191,3;2 647,1;4 029,3
2014;191,1;1 271,7;2 741,4;4 222,6
2015;205,3;1 296,5;2 823,3;4 335,1
2016;219,6;1 341,6;2 914,0;4 482,2
2017;222,4;1 418,2;2 905,5;4 548,4
2018;217,4;1 479,1;2 906,5;4 606,4
2019;212,7;1 470,6;2 956,1;4 644,6
2020;213,9;1 449,8;2 935,5;4 603,2
2021;201,4;1 451,8;2 981,3;4 634,6
