20.1.2.6. Foglalkoztatási ráta, megye és régió szerint [%];;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;58,2;56,6;57,1;58,5;59,0;60,7;62,4;65,5;66,2;65,6;66,5;67,2;68,1
Pest ;megye, régió;55,1;54,4;54,7;54,8;56,2;58,4;59,6;61,7;62,6;64,2;65,3;65,3;66,1
Közép-Magyarország;nagyrégió;57,0;55,7;56,1;57,0;57,9;59,8;61,3;63,9;64,7;65,0;66,0;66,4;67,3
Fejér;megye;52,8;52,3;54,0;54,0;55,6;58,5;61,9;61,9;63,0;64,0;65,1;64,5;64,5
Komárom-Esztergom;megye;54,6;55,1;56,5;55,9;55,7;58,2;60,1;60,9;63,7;64,8;63,5;62,8;67,0
Veszprém;megye;51,6;51,2;52,9;53,2;54,7;58,4;60,3;61,9;64,1;62,7;63,0;63,2;63,6
Közép-Dunántúl;régió;52,9;52,7;54,4;54,3;55,3;58,4;60,9;61,7;63,6;63,8;63,9;63,6;64,9
Gyõr-Moson-Sopron;megye;56,1;56,0;55,5;56,6;58,3;61,4;62,0;63,6;65,4;66,7;67,0;66,8;67,6
Vas;megye;52,9;52,9;55,6;57,3;56,6;60,9;62,0;62,4;63,3;65,6;66,3;65,0;65,1
Zala;megye;53,3;51,2;53,6;52,9;53,3;56,0;56,6;59,1;61,3;62,2;63,2;61,8;61,8
Nyugat-Dunántúl;régió;54,4;53,8;55,0;55,7;56,4;59,7;60,5;62,0;63,7;65,2;65,8;65,0;65,4
Baranya;megye;48,4;48,3;46,6;46,2;49,4;51,5;54,1;56,5;57,3;59,1;58,6;55,2;57,5
Somogy;megye;44,1;45,7;45,4;47,1;46,8;50,0;50,4;54,0;52,8;53,2;54,3;54,9;54,9
Tolna ;megye;48,7;49,3;48,8;48,7;51,7;55,3;55,3;54,4;55,9;57,4;58,6;59,7;59,9
Dél-Dunántúl;régió;47,0;47,6;46,8;47,2;49,1;51,9;53,2;55,1;55,4;56,6;57,1;56,2;57,2
Dunántúl;nagyrégió;51,6;51,5;52,2;52,6;53,8;56,9;58,4;59,8;61,1;62,1;62,5;61,9;62,8
Borsod-Abaúj-Zemplén;megye;43,3;42,8;43,3;43,6;46,1;48,9;52,2;54,6;55,9;56,8;57,9;57,1;57,2
Heves;megye;45,5;46,1;47,2;47,3;48,3;51,4;53,8;56,8;56,9;59,5;60,6;58,9;59,0
Nógrád ;megye;43,6;42,9;40,5;43,0;43,9;50,4;52,3;52,6;56,1;60,1;57,8;57,2;56,1
Észak-Magyarország;régió;43,9;43,7;43,8;44,4;46,3;49,8;52,6;54,8;56,2;58,1;58,6;57,6;57,4
Hajdú-Bihar;megye;43,7;44,9;46,7;47,0;48,4;51,6;54,0;56,4;58,0;60,0;60,4;60,8;61,3
Jász-Nagykun-Szolnok;megye;48,5;48,2;48,7;49,5;50,2;55,4;55,6;57,3;57,4;59,3;60,3;56,8;58,1
Szabolcs-Szatmár-Bereg;megye;42,2;43,3;43,1;46,1;47,5;50,5;52,0;54,3;57,6;58,7;58,7;57,7;58,5
Észak-Alföld;régió;44,4;45,2;45,8;47,3;48,5;52,2;53,6;55,8;57,7;59,3;59,7;58,6;59,4
Bács-Kiskun ;megye;49,0;49,2;49,6;51,5;52,0;53,8;56,4;58,8;60,5;61,7;62,6;61,3;62,8
Békés;megye;45,3;47,3;46,9;48,5;49,5;50,4;52,9;56,2;57,7;60,1;60,0;59,7;59,5
Csongrád-Csanád;megye;50,8;51,4;51,3;50,8;50,9;55,6;56,7;60,2;60,7;60,7;61,2;60,3;63,1
Dél-Alföld;régió;48,5;49,3;49,4;50,4;51,0;53,5;55,5;58,5;59,8;60,9;61,5;60,5;62,0
Alföld és Észak;nagyrégió;45,6;46,1;46,4;47,5;48,7;51,9;54,0;56,4;57,9;59,5;60,0;58,9;59,7
Ország összesen;ország;50,7;50,6;51,0;51,8;52,9;55,8;57,5;59,7;61,0;62,0;62,6;62,1;63,0
