20.1.2.7. A munkanélküliek száma, megye és régió szerint [ezer fõ];;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;47,2;70,6;76,4;78,8;68,7;49,6;42,9;38,0;24,8;26,5;21,0;29,2;26,2
Pest ;megye, régió;37,1;45,8;41,6;50,4;50,6;36,7;32,7;17,8;15,4;13,6;15,0;21,2;20,0
Közép-Magyarország;nagyrégió;84,3;116,4;118,0;129,2;119,3;86,2;75,5;55,8;40,2;40,1;36,0;50,4;46,3
Fejér;megye;16,7;17,2;18,2;20,0;18,6;13,0;7,5;5,4;6,0;5,2;5,7;5,3;4,6
Komárom-Esztergom;megye;11,3;11,9;11,0;10,3;10,5;5,9;7,6;5,3;2,9;2,7;2,3;4,4;3,4
Veszprém;megye;15,5;18,7;17,2;18,1;13,6;8,6;7,5;4,5;2,5;3,3;2,1;4,7;3,3
Közép-Dunántúl;régió;43,5;47,8;46,4;48,4;42,7;27,5;22,7;15,2;11,3;11,2;10,1;14,4;11,3
Gyõr-Moson-Sopron;megye;13,0;14,0;12,2;10,9;11,1;6,4;6,2;4,5;3,7;3,3;2,7;4,2;3,6
Vas;megye;11,8;11,9;8,1;7,4;8,8;4,4;4,8;3,2;2,3;3,2;3,3;2,6;2,9
Zala;megye;14,0;15,1;11,9;15,4;14,9;10,4;6,8;4,9;5,7;3,4;2,8;4,8;5,0
Nyugat-Dunántúl;régió;38,8;41,0;32,2;33,8;34,8;21,2;17,8;12,6;11,7;9,9;8,8;11,7;11,4
Baranya;megye;17,9;21,7;22,3;21,8;15,8;13,4;14,1;12,7;12,5;11,9;11,0;11,7;9,1
Somogy;megye;15,0;17,9;17,2;14,0;13,9;11,7;11,1;7,2;9,6;8,0;4,6;5,6;7,2
Tolna ;megye;9,0;7,9;8,9;9,1;5,2;5,5;6,9;4,4;2,9;2,1;3,0;2,9;2,6
Dél-Dunántúl;régió;41,9;47,5;48,3;44,9;34,9;30,6;32,1;24,2;25,0;22,1;18,7;20,1;18,9
Dunántúl;nagyrégió;124,2;136,2;126,9;127,0;112,4;79,3;72,6;52,0;48,0;43,2;37,6;46,2;41,7
Borsod-Abaúj-Zemplén;megye;42,5;46,3;46,7;43,9;31,8;30,8;25,6;18,9;16,4;14,7;12,5;13,8;17,4
Heves;megye;16,4;14,9;16,7;18,0;15,1;12,6;10,4;5,6;5,6;3,2;3,6;4,2;4,8
Nógrád ;megye;12,6;14,9;13,7;13,6;11,7;6,8;6,9;7,0;7,4;6,0;6,1;6,9;9,5
Észak-Magyarország;régió;71,5;76,2;77,1;75,6;58,7;50,2;42,8;31,5;29,4;24,0;22,2;24,9;31,6
Hajdú-Bihar;megye;23,4;27,8;29,4;29,3;34,3;30,7;27,1;21,2;16,0;13,9;11,2;13,2;14,0
Jász-Nagykun-Szolnok;megye;18,1;16,8;17,9;18,5;18,3;13,0;12,1;11,3;11,4;7,7;10,1;12,8;10,6
Szabolcs-Szatmár-Bereg;megye;39,8;39,9;40,1;37,7;37,0;33,4;32,7;30,1;22,7;23,7;21,6;23,3;24,7
Észak-Alföld;régió;81,3;84,6;87,4;85,5;89,6;77,1;71,8;62,6;50,1;45,3;42,9;49,3;49,3
Bács-Kiskun ;megye;23,2;22,2;22,5;20,3;22,5;21,9;18,3;14,8;9,7;6,6;7,1;11,6;11,1
Békés;megye;19,8;18,2;17,8;17,7;16,3;15,5;13,2;9,4;7,7;7,3;9,0;9,2;10,1
Csongrád-Csanád;megye;13,1;15,3;15,8;17,5;21,3;12,7;13,5;8,3;6,5;5,4;4,1;6,0;5,6
Dél-Alföld;régió;56,1;55,7;56,1;55,5;60,2;50,1;45,0;32,5;23,9;19,3;20,2;26,8;26,8
Alföld és Észak;nagyrégió;208,9;216,5;220,5;216,5;208,4;177,4;159,6;126,6;103,4;88,6;85,3;101,0;107,8
Ország összesen;ország;417,4;469,1;465,4;472,8;440,2;342,9;307,7;234,5;191,6;171,8;158,9;197,6;195,7
