20.1.2.8. Munkanélküliségi ráta, megye és régió szerint [%];;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;5,8;8,6;9,2;9,2;8,0;5,8;4,9;4,2;2,8;3,0;2,3;3,2;2,9
Pest ;megye, régió;6,8;8,4;7,6;8,9;8,8;6,3;5,5;3,0;2,5;2,2;2,3;3,2;3,0
Közép-Magyarország;nagyrégió;6,2;8,5;8,6;9,1;8,3;6,0;5,1;3,7;2,7;2,6;2,3;3,2;2,9
Fejér;megye;8,7;9,1;9,3;10,1;9,3;6,4;3,6;2,6;2,9;2,5;2,7;2,5;2,2
Komárom-Esztergom;megye;7,9;8,3;7,5;7,2;7,4;4,2;5,2;3,6;1,9;1,8;1,5;2,9;2,1
Veszprém;megye;9,7;11,6;10,5;11,0;8,4;5,2;4,5;2,7;1,4;2,0;1,2;2,8;2,0
Közép-Dunántúl;régió;8,8;9,7;9,2;9,6;8,5;5,4;4,3;2,9;2,1;2,1;1,9;2,7;2,1
Gyõr-Moson-Sopron;megye;6,3;6,8;6,0;5,3;5,2;2,9;2,8;2,0;1,6;1,4;1,1;1,7;1,4
Vas;megye;9,9;10,0;6,7;6,1;7,2;3,5;3,7;2,5;1,8;2,4;2,4;2,0;2,2
Zala;megye;10,5;11,6;9,1;11,6;11,2;7,8;5,3;3,7;4,2;2,5;2,1;3,7;3,8
Nyugat-Dunántúl;régió;8,5;9,0;7,1;7,3;7,4;4,4;3,7;2,6;2,4;1,9;1,7;2,3;2,2
Baranya;megye;11,0;13,1;13,9;13,9;10,0;8,3;8,4;7,4;7,3;6,8;6,4;7,2;5,5
Somogy;megye;12,1;13,7;13,3;10,8;10,8;8,8;8,5;5,3;7,2;6,1;3,6;4,2;5,4
Tolna ;megye;9,2;8,1;9,1;9,4;5,4;5,3;6,7;4,5;3,0;2,2;3,0;2,9;2,7
Dél-Dunántúl;régió;10,9;12,1;12,5;11,7;9,1;7,7;8,0;6,0;6,2;5,5;4,7;5,1;4,8
Dunántúl;nagyrégió;9,3;10,1;9,4;9,4;8,3;5,7;5,2;3,7;3,4;3,0;2,6;3,2;2,9
Borsod-Abaúj-Zemplén;megye;15,6;17,0;17,1;16,2;11,8;11,0;8,9;6,5;5,6;5,1;4,3;4,8;6,0
Heves;megye;13,0;12,0;13,0;14,0;11,9;9,6;7,8;4,2;4,2;2,4;2,6;3,1;3,6
Nógrád ;megye;15,3;18,0;17,7;16,8;14,8;8,2;8,1;8,2;8,2;6,5;6,8;7,7;10,6
Észak-Magyarország;régió;14,9;15,9;16,1;15,7;12,3;10,2;8,5;6,2;5,7;4,6;4,3;4,9;6,2
Hajdú-Bihar;megye;11,4;13,0;13,2;13,1;14,6;12,6;10,9;8,4;6,4;5,5;4,5;5,2;5,4
Jász-Nagykun-Szolnok;megye;10,9;10,4;10,9;11,2;11,0;7,4;7,0;6,5;6,6;4,4;5,7;7,6;6,2
Szabolcs-Szatmár-Bereg;megye;18,0;17,7;17,9;16,0;15,4;13,4;12,7;11,4;8,4;8,7;8,0;8,8;9,2
Észak-Alföld;régió;13,8;14,0;14,3;13,7;14,0;11,6;10,6;9,1;7,2;6,5;6,1;7,1;7,1
Bács-Kiskun ;megye;10,4;10,0;10,1;8,9;9,8;9,3;7,6;6,0;4,0;2,7;2,9;4,7;4,5
Békés;megye;13,3;12,0;12,0;11,6;10,7;10,2;8,5;6,0;4,9;4,5;5,6;5,8;6,4
Csongrád-Csanád;megye;7,5;8,5;8,8;9,8;11,7;6,8;7,1;4,3;3,4;2,8;2,2;3,2;2,9
Dél-Alföld;régió;10,3;10,1;10,2;9,9;10,7;8,7;7,7;5,4;4,0;3,2;3,4;4,5;4,5
Alföld és Észak;nagyrégió;12,9;13,2;13,4;13,0;12,4;10,2;9,0;7,1;5,7;4,9;4,7;5,6;6,0
Ország összesen;ország;9,7;10,8;10,7;10,7;9,8;7,5;6,6;5,0;4,0;3,6;3,3;4,1;4,1
