20.1.2.9. A gazdaságilag aktív népesség száma, megye és régió szerint [ezer fõ];;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;813,2;816,4;829,2;854,7;853,6;858,6;876,2;908,3;898,3;889,9;895,4;907,7;898,7
Pest ;megye, régió;541,7;547,2;549,6;563,5;577,1;584,6;594,0;602,5;613,3;632,5;651,7;665,4;678,5
Közép-Magyarország;nagyrégió;1 354,9;1 363,7;1 378,9;1 418,2;1 430,7;1 443,2;1 470,2;1 510,8;1 511,6;1 522,4;1 547,0;1 573,1;1 577,2
Fejér;megye;190,5;189,7;196,6;197,7;200,9;203,8;208,0;206,2;208,7;210,8;215,6;214,0;212,2
Komárom-Esztergom;megye;142,9;143,9;145,9;142,9;141,7;141,9;146,9;145,6;148,8;151,0;148,6;150,1;157,4
Veszprém;megye;159,2;160,7;163,4;164,2;162,3;165,9;168,4;167,9;170,1;166,5;166,0;169,6;168,0
Közép-Dunántúl;régió;492,6;494,3;505,9;504,9;504,9;511,6;523,4;519,7;527,6;528,3;530,2;533,7;537,5
Gyõr-Moson-Sopron;megye;205,7;207,1;204,1;207,3;214,3;221,0;223,5;228,2;234,1;240,7;244,1;247,2;251,8
Vas;megye;119,0;118,8;120,2;122,6;122,1;125,7;128,0;126,9;127,2;132,4;134,0;130,9;130,5
Zala;megye;134,2;129,9;131,6;132,8;132,3;132,7;128,8;131,1;135,2;133,5;133,8;132,3;131,4
Nyugat-Dunántúl;régió;458,9;455,9;455,9;462,8;468,7;479,5;480,3;486,2;496,5;506,6;511,9;510,3;513,7
Baranya;megye;163,0;165,5;160,2;157,0;158,9;160,8;167,3;171,3;171,7;174,9;170,9;161,7;164,2
Somogy;megye;124,7;130,7;128,9;129,4;128,1;132,7;131,2;134,7;133,0;130,9;128,8;131,1;132,5
Tolna ;megye;98,4;97,8;97,1;96,5;97,3;102,8;103,1;97,8;97,8;98,2;100,3;100,9;99,8
Dél-Dunántúl;régió;386,1;394,0;386,3;382,9;384,2;396,3;401,6;403,9;402,5;404,0;400,1;393,7;396,5
Dunántúl;nagyrégió;1 337,6;1 344,2;1 348,0;1 350,6;1 357,8;1 387,4;1 405,2;1 409,8;1 426,6;1 438,8;1 442,2;1 437,7;1 447,7
Borsod-Abaúj-Zemplén;megye;273,1;272,6;273,9;270,5;269,1;279,7;288,1;290,3;290,8;290,1;290,3;285,3;287,2
Heves;megye;125,8;124,9;128,3;128,9;127,4;130,7;132,8;133,8;132,8;135,6;137,8;133,9;133,9
Nógrád ;megye;82,4;83,0;77,4;80,7;79,5;83,6;85,4;85,1;89,8;93,4;89,4;88,9;89,3
Észak-Magyarország;régió;481,3;480,5;479,6;480,1;476,0;494,0;506,3;509,2;513,4;519,2;517,6;508,1;510,4
Hajdú-Bihar;megye;204,8;214,5;223,3;224,1;234,3;243,2;247,7;250,8;250,2;254,6;252,3;255,2;257,7
Jász-Nagykun-Szolnok;megye;165,1;161,9;163,6;165,4;165,9;174,2;172,0;174,2;173,1;173,7;178,1;169,3;169,0
Szabolcs-Szatmár-Bereg;megye;221,4;225,8;224,7;235,4;240,5;249,3;256,3;264,4;270,9;274,0;269,0;265,4;268,5
Észak-Alföld;régió;591,3;602,2;611,6;624,8;640,8;666,7;675,9;689,3;694,2;702,2;699,4;690,0;695,2
Bács-Kiskun ;megye;222,1;221,2;222,6;227,3;230,6;235,5;240,4;245,3;244,2;244,3;246,9;245,0;248,4
Békés;megye;149,0;151,8;149,1;152,0;152,1;152,2;154,7;157,8;157,8;161,3;160,8;158,7;157,4
Csongrád-Csanád;megye;175,7;179,3;178,6;178,4;181,6;186,5;190,0;194,5;192,1;190,0;189,5;188,3;194,0
Dél-Alföld;régió;546,8;552,3;550,3;557,8;564,2;574,2;585,1;597,6;594,1;595,5;597,3;591,9;599,8
Alföld és Észak;nagyrégió;1 619,4;1 635,0;1 641,5;1 662,7;1 681,0;1 734,9;1 767,3;1 796,1;1 801,8;1 816,9;1 814,2;1 790,0;1 805,3
Ország összesen;ország;4 311,9;4 342,9;4 368,4;4 431,5;4 469,5;4 565,5;4 642,8;4 716,7;4 739,9;4 778,2;4 803,5;4 800,8;4 830,2
