20.1.2.11. Aktivitási arány, megye és régió szerint [%];;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Budapest;fõváros, régió;61,8;62,0;62,9;64,5;64,2;64,5;65,6;68,3;68,1;67,7;68,1;69,4;70,2
Pest ;megye, régió;59,2;59,3;59,1;60,2;61,6;62,3;63,1;63,6;64,2;65,6;66,9;67,4;68,2
Közép-Magyarország;nagyrégió;60,7;60,9;61,3;62,7;63,1;63,6;64,6;66,3;66,4;66,8;67,6;68,6;69,3
Fejér;megye;57,9;57,5;59,6;60,0;61,2;62,5;64,2;63,6;64,9;65,7;66,8;66,2;65,9
Komárom-Esztergom;megye;59,3;60,0;61,2;60,3;60,1;60,7;63,4;63,2;64,9;65,9;64,5;64,7;68,5
Veszprém;megye;57,2;57,9;59,1;59,8;59,7;61,6;63,1;63,7;65,0;63,9;63,8;65,0;64,9
Közép-Dunántúl;régió;58,1;58,4;59,9;60,0;60,4;61,7;63,6;63,5;65,0;65,2;65,2;65,3;66,3
Gyõr-Moson-Sopron;megye;59,9;60,1;59,0;59,8;61,5;63,3;63,7;64,8;66,4;67,7;67,8;68,0;68,6
Vas;megye;58,8;58,8;59,7;61,0;61,0;63,1;64,4;64,0;64,5;67,2;67,9;66,4;66,5
Zala;megye;59,5;57,9;58,9;59,8;60,0;60,8;59,7;61,4;64,0;63,9;64,5;64,1;64,2
Nyugat-Dunántúl;régió;59,5;59,1;59,2;60,1;61,0;62,5;62,8;63,7;65,2;66,5;66,9;66,5;66,9
Baranya;megye;54,3;55,5;54,2;53,6;54,9;56,1;59,1;61,1;61,8;63,4;62,6;59,5;60,9
Somogy;megye;50,2;52,9;52,4;52,9;52,5;54,8;55,1;57,1;56,9;56,7;56,3;57,3;58,1
Tolna ;megye;53,7;53,7;53,7;53,8;54,6;58,4;59,3;57,0;57,6;58,6;60,5;61,5;61,6
Dél-Dunántúl;régió;52,8;54,2;53,4;53,4;54,0;56,3;57,8;58,7;59,1;59,9;59,9;59,2;60,1
Dunántúl;nagyrégió;56,9;57,3;57,6;58,0;58,6;60,3;61,6;62,1;63,3;64,0;64,2;63,9;64,7
Borsod-Abaúj-Zemplén;megye;51,3;51,6;52,2;52,0;52,3;54,9;57,3;58,4;59,3;59,8;60,5;60,0;60,8
Heves;megye;52,3;52,4;54,2;55,0;54,9;56,9;58,3;59,2;59,4;61,0;62,2;60,8;61,2
Nógrád ;megye;51,5;52,3;49,1;51,8;51,5;54,9;56,9;57,2;61,1;64,2;62,0;62,0;62,7
Észak-Magyarország;régió;51,6;51,9;52,2;52,7;52,8;55,4;57,5;58,4;59,6;60,9;61,2;60,6;61,2
Hajdú-Bihar;megye;49,3;51,6;53,7;54,0;56,7;59,1;60,6;61,6;62,0;63,4;63,2;64,1;64,9
Jász-Nagykun-Szolnok;megye;54,4;53,7;54,7;55,7;56,4;59,9;59,8;61,2;61,4;62,1;63,9;61,4;61,9
Szabolcs-Szatmár-Bereg;megye;51,4;52,6;52,4;54,9;56,1;58,3;59,6;61,3;62,9;64,2;63,8;63,3;64,4
Észak-Alföld;régió;51,5;52,5;53,5;54,8;56,4;59,0;60,0;61,4;62,2;63,4;63,6;63,1;63,9
Bács-Kiskun ;megye;54,7;54,6;55,2;56,5;57,6;59,3;61,0;62,6;63,0;63,4;64,5;64,3;65,7
Békés;megye;52,2;53,7;53,3;54,8;55,4;56,2;57,8;59,7;60,7;62,9;63,6;63,4;63,6
Csongrád-Csanád;megye;54,9;56,2;56,2;56,4;57,7;59,7;61,1;62,8;62,8;62,5;62,6;62,3;65,0
Dél-Alföld;régió;54,1;54,9;55,0;56,0;57,0;58,6;60,2;61,9;62,3;63,0;63,6;63,4;64,9
Alföld és Észak;nagyrégió;52,3;53,1;53,6;54,6;55,5;57,8;59,3;60,7;61,5;62,5;62,9;62,5;63,5
Ország összesen;ország;56,2;56,7;57,1;58,0;58,7;60,3;61,6;62,8;63,5;64,3;64,7;64,8;65,6
