20.1.2.12. A nyilvántartott álláskeresõk száma, megye és régió szerint, december [fõ];;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Nyilvántartott álláskeresõk száma;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;22 942;21 123;21 416;23 889;25 630;43 152;47 771;45 076;48 141;38 457;34 204;29 358;20 279;16 741;14 301;13 652;26 674;17 606
Pest ;megye, régió;18 756;19 947;20 047;22 349;25 350;39 240;40 766;40 584;40 996;33 151;34 988;28 413;23 609;20 400;18 556;17 968;23 861;18 331
Közép-Magyarország;nagyrégió;41 698;41 070;41 463;46 238;50 980;82 392;88 537;85 660;89 137;71 608;69 192;57 771;43 888;37 141;32 857;31 620;50 535;35 937
Fejér;megye;14 389;14 244;13 314;13 404;16 587;23 559;23 253;21 230;21 835;14 784;13 074;11 740;8 745;7 977;7 564;7 951;9 600;7 630
Komárom-Esztergom;megye;9 231;9 409;8 083;7 540;9 469;16 174;14 581;12 929;14 225;9 846;8 413;6 724;4 967;4 629;4 646;4 639;5 791;4 718
Veszprém;megye;13 479;12 826;13 514;14 076;17 007;22 338;19 512;16 732;17 170;13 079;10 160;8 561;6 644;5 676;5 714;6 474;8 209;6 530
Közép-Dunántúl;régió;37 099;36 479;34 911;35 020;43 063;62 071;57 346;50 891;53 230;37 709;31 647;27 025;20 356;18 282;17 924;19 064;23 600;18 878
Gyõr-Moson-Sopron;megye;9 967;9 922;8 257;8 747;10 377;14 887;13 696;10 977;11 500;6 437;5 721;4 610;3 460;3 040;2 958;3 263;4 649;3 331
Vas;megye;8 353;8 537;7 157;7 971;8 449;13 008;10 399;8 290;8 660;6 561;5 610;4 584;4 078;4 148;4 131;4 220;5 298;4 009
Zala;megye;11 108;13 538;12 851;13 627;14 659;19 003;17 555;15 182;16 308;13 866;11 077;8 644;7 045;6 763;6 481;6 730;8 518;6 576
Nyugat-Dunántúl;régió;29 428;31 997;28 265;30 345;33 485;46 898;41 650;34 449;36 468;26 864;22 408;17 838;14 583;13 951;13 570;14 213;18 465;13 916
Baranya;megye;20 055;22 109;21 112;23 059;24 274;29 060;28 857;28 770;28 566;17 996;18 210;16 616;13 945;13 384;13 396;13 611;15 554;13 222
Somogy;megye;21 236;21 004;21 838;23 707;24 113;27 887;26 639;24 291;25 682;19 764;19 500;15 687;13 671;13 986;12 504;12 414;13 877;11 612
Tolna ;megye;12 822;12 947;11 908;12 675;13 508;16 176;14 980;13 706;14 647;10 748;9 465;8 503;6 911;5 729;5 699;5 899;7 287;5 878
Dél-Dunántúl;régió;54 113;56 060;54 858;59 441;61 895;73 123;70 476;66 767;68 895;48 508;47 175;40 806;34 527;33 099;31 599;31 924;36 718;30 712
Dunántúl;nagyrégió;120 640;124 536;118 034;124 806;138 443;182 092;169 472;152 107;158 593;113 081;101 230;85 669;69 466;65 332;63 093;65 201;78 783;63 506
Borsod-Abaúj-Zemplén;megye;57 093;56 700;55 433;60 876;62 189;71 922;68 622;66 133;66 189;47 761;46 575;41 415;35 638;34 677;34 040;33 845;39 969;34 772
Heves;megye;14 585;15 508;14 923;16 713;17 710;22 583;21 218;20 593;20 770;13 903;14 700;12 914;11 344;10 454;9 996;10 265;12 371;10 977
Nógrád ;megye;14 121;15 207;15 018;16 326;17 091;20 208;19 368;18 744;20 081;11 440;14 151;13 213;10 900;10 296;10 474;10 233;11 274;10 130
Észak-Magyarország;régió;85 799;87 415;85 374;93 915;96 990;114 713;109 208;105 470;107 040;73 104;75 426;67 542;57 882;55 427;54 510;54 343;63 614;55 879
Hajdú-Bihar;megye;30 471;31 891;33 041;38 788;38 989;46 764;47 208;44 530;46 172;34 408;32 190;29 442;24 330;22 309;21 484;17 994;21 169;18 210
Jász-Nagykun-Szolnok;megye;20 246;20 395;19 220;21 160;23 504;28 913;29 423;29 277;29 349;21 054;19 488;19 254;15 650;13 880;13 128;13 284;15 725;12 984
Szabolcs-Szatmár-Bereg;megye;41 014;42 818;44 261;51 842;55 997;60 537;60 823;57 211;59 331;44 976;41 502;34 297;28 416;30 174;27 732;23 832;26 378;24 198
Észak-Alföld;régió;91 731;95 104;96 522;111 790;118 490;136 214;137 454;131 018;134 852;100 438;93 180;82 993;68 396;66 363;62 344;55 110;63 272;55 392
Bács-Kiskun ;megye;23 227;23 578;24 345;26 535;29 000;36 651;35 161;32 060;33 504;25 040;23 349;19 066;14 442;13 224;12 020;11 578;14 179;11 237
Békés;megye;20 230;21 357;22 079;24 375;25 132;29 229;28 856;25 783;24 587;16 608;15 298;12 611;10 864;10 154;10 473;10 852;13 326;11 609
Csongrád-Csanád;megye;17 272;17 589;15 622;17 352;18 316;23 285;22 590;20 210;21 548;14 394;13 365;11 826;8 560;7 108;6 601;6 199;6 985;5 152
Dél-Alföld;régió;60 729;62 524;62 046;68 262;72 448;89 165;86 607;78 053;79 639;56 042;52 012;43 503;33 866;30 486;29 094;28 629;34 490;27 998
Alföld és Észak;nagyrégió;238 259;245 043;243 942;273 967;287 928;340 092;333 269;314 541;321 531;229 584;220 618;194 038;160 144;152 276;145 948;138 082;161 376;139 269
Ország összesen;ország;400 597;410 649;403 439;445 011;477 351;604 576;591 278;552 308;569 261;414 273;391 040;337 478;273 498;254 749;241 898;234 903;290 694;238 712
Ebbõl: nyilvántartott pályakezdõ álláskeresõk száma;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;1 147;1 172;963;970;1 143;1 129;2 503;2 001;3 548;2 791;2 220;1 509;975;688;476;414;843;469
Pest ;megye, régió;1 103;1 166;1 215;892;1 107;1 783;2 223;2 411;3 812;3 465;3 621;2 267;1 684;1 273;1 039;835;1 052;734
Közép-Magyarország;nagyrégió;2 250;2 338;2 178;1 862;2 250;2 912;4 726;4 412;7 360;6 256;5 841;3 776;2 659;1 961;1 515;1 249;1 895;1 203
Fejér;megye;1 012;1 031;913;898;1 115;1 730;1 918;1 927;2 594;1 844;1 428;1 244;722;614;586;593;593;381
Komárom-Esztergom;megye;848;869;695;573;607;878;1 007;907;1 460;980;887;493;358;295;287;250;286;214
Veszprém;megye;987;957;1 028;1 043;1 089;1 656;1 407;1 457;1 964;1 512;1 083;742;514;339;328;342;397;256
Közép-Dunántúl;régió;2 847;2 857;2 636;2 514;2 811;4 264;4 332;4 291;6 018;4 336;3 398;2 479;1 594;1 248;1 201;1 185;1 276;851
Gyõr-Moson-Sopron;megye;662;720;487;445;633;795;910;716;1 114;606;445;233;195;146;133;80;137;91
Vas;megye;660;764;608;601;702;960;811;691;1 031;777;577;380;307;294;308;269;317;213
Zala;megye;638;903;769;849;768;1 110;1 276;1 116;1 650;1 484;1 157;934;628;489;428;436;456;301
Nyugat-Dunántúl;régió;1 960;2 387;1 864;1 895;2 103;2 865;2 997;2 523;3 795;2 867;2 179;1 547;1 130;929;869;785;910;605
Baranya;megye;1 758;2 044;1 838;1 940;2 168;2 598;2 711;2 763;3 583;2 496;2 458;1 938;1 695;1 376;1 300;1 141;1 305;987
Somogy;megye;1 547;1 613;1 626;1 815;1 921;2 389;2 304;2 308;2 792;2 440;2 663;1 840;1 659;1 563;1 242;1 204;1 237;993
Tolna ;megye;1 305;1 424;1 246;1 244;1 368;1 499;1 527;1 517;1 976;1 608;1 347;1 046;841;624;601;588;684;475
Dél-Dunántúl;régió;4 610;5 081;4 710;4 999;5 457;6 486;6 542;6 588;8 351;6 544;6 468;4 824;4 195;3 563;3 143;2 933;3 226;2 455
Dunántúl;nagyrégió;9 417;10 325;9 210;9 408;10 371;13 615;13 871;13 402;18 164;13 747;12 045;8 850;6 919;5 740;5 213;4 903;5 412;3 911
Borsod-Abaúj-Zemplén;megye;5 711;6 079;6 300;6 883;6 608;7 535;7 340;7 386;8 308;6 611;6 369;5 218;4 537;3 788;3 652;3 398;4 013;3 065
Heves;megye;1 138;1 459;1 483;1 629;1 586;1 983;2 002;2 156;2 459;1 628;1 855;1 408;1 156;987;856;833;913;716
Nógrád ;megye;1 178;1 445;1 403;1 609;1 752;1 906;1 807;1 771;2 372;1 389;1 897;1 575;1 192;951;983;855;1 040;873
Észak-Magyarország;régió;8 027;8 983;9 186;10 121;9 946;11 424;11 149;11 313;13 139;9 628;10 121;8 201;6 885;5 726;5 491;5 086;5 966;4 654
Hajdú-Bihar;megye;2 713;3 160;3 306;4 235;3 926;4 954;4 965;4 813;5 891;5 113;4 631;3 841;3 046;2 450;2 251;1 677;1 956;1 462
Jász-Nagykun-Szolnok;megye;1 865;1 832;1 497;1 593;1 768;2 670;2 723;2 863;3 677;2 787;2 441;2 169;1 588;1 424;1 238;1 108;1 283;915
Szabolcs-Szatmár-Bereg;megye;5 206;5 725;5 731;6 710;6 813;7 469;7 237;7 028;8 358;7 207;6 873;5 680;4 959;4 458;3 240;2 776;3 124;2 593
Észak-Alföld;régió;9 784;10 717;10 534;12 538;12 507;15 093;14 925;14 704;17 926;15 107;13 945;11 690;9 593;8 332;6 729;5 561;6 363;4 970
Bács-Kiskun ;megye;2 002;2 294;2 184;2 263;2 343;3 283;3 488;3 503;4 544;3 497;3 139;2 077;1 686;1 203;940;861;979;670
Békés;megye;1 728;2 010;1 979;2 240;2 355;2 775;2 750;2 710;2 819;2 092;1 932;1 557;1 173;1 021;1 018;1 036;1 224;921
Csongrád-Csanád;megye;2 042;2 059;1 624;1 748;1 809;2 212;2 294;2 136;2 889;1 970;1 693;1 401;989;698;591;535;551;271
Dél-Alföld;régió;5 772;6 363;5 787;6 251;6 507;8 270;8 532;8 349;10 252;7 559;6 764;5 035;3 848;2 922;2 549;2 432;2 754;1 862
Alföld és Észak;nagyrégió;23 583;26 063;25 507;28 910;28 960;34 787;34 606;34 366;41 317;32 294;30 830;24 926;20 326;16 980;14 769;13 079;15 083;11 486
Ország összesen;ország;35 250;38 726;36 895;40 180;41 581;51 314;53 203;52 180;66 841;52 297;48 716;37 552;29 904;24 681;21 497;19 231;22 390;16 600
