20.1.2.13. Az álláskeresõk támogatása, megye és régió szerint, december [fõ];;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Álláskeresési járadékban részesültek száma;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;10 740;9 720;9 268;10 246;10 390;19 777;16 009;13 496;6 520;5 179;4 551;3 725;3 717;3 376;3 536;3 903;4 479;3 144
Pest ;megye, régió;9 384;9 109;8 707;9 691;10 446;17 183;13 310;11 630;5 613;4 681;4 184;3 514;3 463;3 369;3 550;4 272;5 192;3 475
Közép-Magyarország;nagyrégió;20 124;18 829;17 975;19 937;20 836;36 960;29 319;25 126;12 133;9 860;8 735;7 239;7 180;6 745;7 086;8 175;9 671;6 619
Fejér;megye;4 889;4 105;4 132;3 839;5 592;8 157;5 515;4 250;2 608;1 855;1 704;1 671;1 547;1 513;1 547;1 871;1 820;1 450
Komárom-Esztergom;megye;4 241;3 613;2 983;2 882;4 029;6 735;4 009;3 383;2 237;1 595;1 464;1 154;1 126;1 135;1 259;1 335;1 289;1 165
Veszprém;megye;5 450;4 301;4 438;4 024;5 741;6 795;4 446;3 582;2 742;1 789;1 568;1 437;1 334;1 251;1 362;1 662;1 750;1 282
Közép-Dunántúl;régió;14 580;12 019;11 553;10 745;15 362;21 687;13 970;11 215;7 587;5 239;4 736;4 262;4 007;3 899;4 168;4 868;4 859;3 897
Gyõr-Moson-Sopron;megye;5 491;4 707;3 655;3 935;4 610;6 637;4 865;3 752;2 515;1 797;1 567;1 324;1 271;1 178;1 202;1 595;1 854;1 275
Vas;megye;4 014;3 123;2 506;2 987;3 090;5 126;2 659;2 211;1 638;1 088;958;879;894;984;924;1 094;1 051;743
Zala;megye;4 357;4 480;3 422;3 456;3 785;5 560;3 788;3 158;2 402;1 525;1 259;1 115;1 133;1 167;1 134;1 331;1 336;913
Nyugat-Dunántúl;régió;13 862;12 310;9 583;10 378;11 485;17 323;11 312;9 121;6 555;4 410;3 784;3 318;3 298;3 329;3 260;4 020;4 241;2 931
Baranya;megye;4 910;4 084;3 942;4 101;4 331;6 191;4 850;5 033;2 271;1 678;1 475;1 482;1 582;1 699;1 569;1 703;1 522;1 227
Somogy;megye;5 432;3 967;3 554;3 641;3 819;5 278;4 253;3 371;2 524;1 910;1 867;1 742;1 923;1 890;1 630;1 739;1 709;1 297
Tolna ;megye;3 777;2 982;2 461;2 413;2 821;3 824;2 659;2 263;1 439;931;861;904;911;763;887;932;923;678
Dél-Dunántúl;régió;14 119;11 033;9 957;10 155;10 971;15 293;11 762;10 667;6 234;4 519;4 203;4 128;4 416;4 352;4 086;4 374;4 154;3 202
Dunántúl;nagyrégió;42 561;35 362;31 093;31 278;37 818;54 303;37 044;31 003;20 376;14 168;12 723;11 708;11 721;11 580;11 514;13 262;13 254;10 030
Borsod-Abaúj-Zemplén;megye;10 433;7 233;7 621;7 882;7 831;10 896;7 992;7 128;4 746;3 604;4 512;3 683;3 927;3 845;3 619;3 978;3 774;2 963
Heves;megye;4 073;3 737;3 369;3 853;3 829;5 334;3 702;3 203;2 093;1 485;1 562;1 389;1 612;1 280;1 474;1 507;1 437;1 147
