20.1.2.16. Üres álláshelyek száma és aránya a munkáltató székhelyének elhelyezkedése szerint;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Üres álláshelyek száma, db;;;;;;;;;;;;;;
Budapest;fõváros, régió;9 782;10 751;11 667;10 132;13 008;15 031;16 812;21 734;25 999;31 862;32 740;24 297;30 417
Pest ;megye, régió;1 985;2 474;2 396;1 948;2 337;3 260;4 540;5 833;8 901;12 367;10 355;6 925;7 070
Közép-Magyarország;nagyrégió;11 766;13 225;14 063;12 080;15 345;18 291;21 352;27 567;34 900;44 229;43 095;31 221;37 487
Fejér;megye;963;1 270;1 360;1 206;1 660;2 286;2 336;2 734;3 369;4 629;3 788;3 495;6 945
Komárom-Esztergom;megye;707;1 087;830;808;1 133;1 202;1 712;1 951;2 131;2 672;2 696;2 238;2 666
Veszprém;megye;467;583;703;1 045;768;919;1 138;1 556;1 845;2 219;2 120;1 639;2 177
Közép-Dunántúl;régió;2 137;2 940;2 893;3 059;3 562;4 407;5 186;6 241;7 345;9 520;8 604;7 371;11 788
Gyõr-Moson-Sopron;megye;688;960;1 508;1 431;1 995;1 951;2 244;2 287;3 228;3 692;3 055;2 755;3 357
Vas;megye;441;514;656;530;678;942;1 146;1 552;1 713;1 823;1 475;1 147;1 438
Zala;megye;395;450;557;469;573;709;821;1 018;1 093;1 204;1 209;932;1 079
Nyugat-Dunántúl;régió;1 524;1 924;2 721;2 430;3 245;3 603;4 211;4 857;6 034;6 718;5 739;4 834;5 874
Baranya;megye;817;771;915;982;1 020;1 007;1 270;1 214;1 422;1 410;1 279;1 041;957
Somogy;megye;719;740;785;700;784;639;742;1 606;1 876;2 018;2 098;1 647;1 661
Tolna ;megye;320;270;280;354;449;453;641;947;1 065;1 197;1 071;873;1 043
Dél-Dunántúl;régió;1 856;1 781;1 980;2 036;2 253;2 099;2 653;3 767;4 363;4 624;4 447;3 562;3 660
Dunántúl;nagyrégió;5 517;6 645;7 594;7 525;9 060;10 108;12 049;14 864;17 741;20 861;18 789;15 767;21 322
Borsod-Abaúj-Zemplén;megye;1 219;1 832;1 490;1 206;1 194;1 630;1 884;1 943;2 673;3 287;3 017;2 545;2 965
Heves;megye;313;448;454;423;470;609;836;798;1 073;1 541;1 375;1 017;1 368
Nógrád ;megye;279;195;282;269;317;356;509;679;569;639;712;581;662
Észak-Magyarország;régió;1 810;2 476;2 226;1 897;1 981;2 595;3 229;3 420;4 315;5 467;5 104;4 142;4 995
Hajdú-Bihar;megye;993;1 322;1 205;1 334;1 310;1 405;1 895;1 971;2 095;2 498;2 102;1 559;1 769
