20.1.3.3. A 15–64 éves népesség munkanélküliségi adatai;;;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;Munkanélküliek, ezer fõ, 2021;Munkanélküliségi ráta, százalék 2000;Munkanélküliségi ráta, százalék 2001;Munkanélküliségi ráta, százalék 2002;Munkanélküliségi ráta, százalék 2003;Munkanélküliségi ráta, százalék 2004;Munkanélküliségi ráta, százalék 2005;Munkanélküliségi ráta, százalék 2006;Munkanélküliségi ráta, százalék 2007;Munkanélküliségi ráta, százalék 2008;Munkanélküliségi ráta, százalék 2009;Munkanélküliségi ráta, százalék 2010;Munkanélküliségi ráta, százalék 2011;Munkanélküliségi ráta, százalék 2012;Munkanélküliségi ráta, százalék 2013;Munkanélküliségi ráta, százalék 2014;Munkanélküliségi ráta, százalék 2015;Munkanélküliségi ráta, százalék 2016;Munkanélküliségi ráta, százalék 2017;Munkanélküliségi ráta, százalék 2018;Munkanélküliségi ráta, százalék 2019;Munkanélküliségi ráta, százalék 2020;Munkanélküliségi ráta, százalék 2021
Ausztria;283,0;4,7;4,0;4,9;4,8;5,9;5,7;5,3;4,9;4,2;5,4;4,9;4,6;4,9;5,4;5,7;5,8;6,1;5,6;4,9;4,6;5,4;6,3
Belgium;322,9;6,6;6,2;6,9;7,7;7,4;8,5;8,3;7,5;7,0;8,0;8,4;7,2;7,6;8,5;8,6;8,6;7,9;7,1;6,0;5,4;5,6;6,3
Bulgária;168,6;16,4;20,0;18,3;13,9;12,2;10,2;9,0;6,9;5,7;6,9;10,3;11,4;12,4;13,0;11,5;9,2;7,7;6,2;5,3;4,3;5,2;5,3
Ciprus;34,6;5,1;4,0;3,4;4,2;4,4;5,4;4,7;4,0;3,8;5,5;6,5;8,1;12,1;16,1;16,3;15,2;13,2;11,3;8,6;7,3;7,8;7,7
Csehország;150,1;8,8;8,0;7,1;7,6;8,3;8,0;7,2;5,4;4,4;6,8;7,4;6,8;7,0;7,0;6,2;5,1;4,0;2,9;2,3;2,1;2,6;2,9
Dánia;150,8;4,5;4,2;4,3;5,5;5,3;4,9;4,0;3,8;3,7;6,5;7,9;7,9;8,0;7,6;7,1;6,5;6,2;6,0;5,3;5,1;5,8;5,1
Észtország;42,6;13,6;13,2;10,2;11,6;10,6;8,2;6,1;4,7;5,6;13,9;17,1;12,6;10,2;8,9;7,5;6,5;7,1;6,0;5,5;4,6;7,2;6,5
Finnország;209,5;11,2;10,4;10,5;10,5;10,4;8,5;7,8;6,9;6,4;8,4;8,5;7,9;7,8;8,3;8,8;9,6;9,0;8,8;7,5;6,8;7,9;7,8
Franciaország;2 346,2;10,3;8,6;8,7;8,3;8,9;8,5;8,5;7,7;7,1;8,8;8,9;8,9;9,5;10,0;10,3;10,4;10,1;9,5;9,1;8,5;8,1;7,9
Görögország;668,8;11,5;10,6;10,2;9,6;10,5;10,1;9,1;8,5;7,9;9,8;12,9;18,1;24,7;27,7;26,7;25,1;23,7;21,7;19,5;17,5;16,5;14,9
Hollandia;396,5;2,7;2,1;2,6;3,6;4,7;5,9;5,0;4,2;3,7;4,4;5,1;5,0;5,9;7,3;7,5;6,9;6,1;4,9;3,8;3,4;3,9;4,2
Horvátország;136,2;..;..;15,4;14,3;14,1;13,0;11,5;10,1;8,7;9,4;11,9;14,0;16,3;17,5;17,5;16,4;13,3;11,3;8,5;6,7;7,6;7,6
Írország;155,1;4,4;3,7;4,3;4,6;4,6;4,4;4,5;5,1;6,9;12,8;14,8;15,7;15,8;14,0;12,1;10,1;8,6;6,9;5,9;5,1;5,8;6,3
Lengyelország;577,4;16,6;18,7;20,2;19,7;19,4;18,0;14,0;9,7;7,2;8,3;9,7;9,8;10,2;10,5;9,1;7,6;6,2;5,0;3,9;3,3;3,2;3,4
Lettország;70,2;14,5;14,1;14,0;12,2;11,9;10,2;7,2;6,2;8,0;18,0;19,8;16,5;15,3;12,1;11,1;10,1;9,9;8,9;7,6;6,5;8,4;7,9
Litvánia;104,6;16,3;17,1;13,2;13,0;10,8;8,4;5,8;4,3;5,9;14,0;18,1;15,7;13,6;12,0;10,9;9,3;8,1;7,3;6,3;6,5;8,8;7,4
Luxemburg;17,0;2,4;1,8;2,6;3,7;5,1;4,5;4,7;4,1;5,1;5,2;4,4;4,9;5,2;5,9;5,9;6,7;6,3;5,5;5,6;5,6;6,8;5,3
Magyarország;192,6;6,6;5,7;5,6;5,8;5,9;7,2;7,5;7,5;7,9;10,1;11,3;11,1;11,1;10,2;7,8;6,8;5,1;4,2;3,7;3,5;4,3;4,1
Málta;9,8;6,4;7,2;7,0;7,5;7,4;7,0;6,8;6,5;6,0;6,9;6,9;6,4;6,3;6,2;5,8;5,4;4,7;4,1;3,7;3,7;4,4;3,6
Németország;1 520,7;8,0;7,8;8,6;9,9;10,8;11,3;10,4;8,8;7,6;7,9;7,1;5,9;5,5;5,3;5,1;4,7;4,2;3,8;3,5;3,2;3,9;3,6
Olaszország;2 348,3;11,0;9,7;9,3;9,0;8,0;7,8;6,9;6,2;6,8;7,9;8,5;8,5;10,8;12,3;12,9;12,1;11,9;11,4;10,8;10,2;9,4;9,7
Portugália;334,4;4,0;4,1;4,8;6,5;6,7;8,0;8,1;8,5;8,0;10,0;11,4;13,3;16,3;17,0;14,5;12,9;11,5;9,2;7,3;6,7;7,1;6,7
Románia;456,9;7,7;7,3;8,8;7,4;8,1;7,5;7,6;6,8;6,1;7,2;7,3;7,5;7,1;7,4;7,1;7,0;6,1;5,1;4,3;4,0;5,2;5,6
Spanyolország;3 413,1;13,9;10,4;11,2;11,3;11,1;9,2;8,5;8,3;11,3;18,0;20,0;21,5;24,9;26,2;24,6;22,2;19,7;17,3;15,4;14,2;15,6;14,9
Svédország;481,3;5,5;4,8;5,0;5,6;6,8;7,9;7,1;6,2;6,3;8,5;8,8;8,0;8,1;8,2;8,1;7,6;7,1;6,9;6,5;7,0;8,5;9,0
Szlovákia;187,2;19,1;19,4;18,7;17,2;18,6;16,3;13,4;11,2;9,5;12,1;14,4;13,7;14,0;14,3;13,2;11,5;9,7;8,2;6,6;5,8;6,8;6,9
Szlovénia;47,9;7,1;5,8;6,1;6,6;6,1;6,7;6,1;5,0;4,5;6,0;7,4;8,3;9,0;10,3;9,9;9,1;8,1;6,7;5,2;4,5;5,0;4,8
EU27_2020;14 826,1;..;..;9,7;9,8;10,0;9,7;8,7;7,5;7,3;9,3;10,0;10,0;11,0;11,5;11,0;10,2;9,3;8,3;7,4;6,8;7,2;7,1
Egyesült Királyság;1 248,8;5,6;4,7;5,1;4,9;4,6;4,8;5,4;5,3;5,7;7,7;7,9;8,2;8,1;7,7;6,3;5,4;4,9;4,4;4,1;3,8;..;..
Észak-Macedónia;155,9;..;..;..;..;..;..;36,3;35,2;34,0;32,3;32,2;31,6;31,2;29,1;28,1;26,3;24,0;22,5;21,0;17,4;16,6;..
Norvégia;126,0;3,5;3,7;4,1;4,3;4,3;4,4;3,4;2,5;2,6;3,2;3,6;3,3;3,2;3,5;3,6;4,4;4,8;4,3;3,9;3,8;4,5;4,5
Oroszország;4 143,7;10,7;9,0;7,9;8,3;7,8;7,2;7,1;6,1;6,2;8,4;7,4;6,6;5,5;5,5;5,2;5,6;5,6;5,2;4,9;4,5;5,7;..
Svájc;249,9;2,7;2,5;3,0;4,2;4,4;4,5;4,1;3,7;3,4;4,2;4,9;4,5;4,6;4,9;5,0;4,9;5,1;5,0;4,9;4,5;5,0;5,3
Törökország;4 023,9;..;..;..;..;..;..;8,9;9,1;9,9;12,8;10,9;9,0;8,3;8,9;10,1;10,4;11,1;11,1;11,1;14,0;13,4;..
Izrael;171,6;11,2;12,0;13,1;13,7;13,2;11,5;10,8;9,5;7,8;9,7;8,6;7,2;7,0;6,3;6,0;5,3;4,9;4,3;4,1;3,9;4,4;..
Japán;1 760,0;4,9;5,2;5,6;5,5;4,9;4,6;4,4;4,1;4,2;5,3;5,3;4,8;4,6;4,2;3,8;3,6;3,3;3,0;2,6;2,5;2,9;3,0
Koreai Köztársaság;911,4;4,2;3,9;3,2;3,5;3,6;3,7;3,4;3,2;3,1;3,5;3,4;3,1;2,9;2,9;3,2;3,7;3,8;3,7;3,9;3,8;4,0;3,6
Egyesült Államok;8 151,8;4,0;4,8;5,8;6,1;5,6;5,1;4,7;4,7;5,8;9,4;9,8;9,1;8,2;7,5;6,3;5,4;4,9;4,4;3,9;3,7;8,1;5,4
Kanada;1 446,9;6,9;7,3;7,7;7,6;7,2;6,8;6,4;6,1;6,2;8,4;8,2;7,6;7,4;7,2;7,0;7,0;7,1;6,4;5,9;5,7;9,6;7,4
Mexikó;2 312,7;2,6;2,6;3,1;3,6;4,1;3,7;3,7;3,8;4,0;5,5;5,5;5,3;5,0;5,1;5,0;4,5;4,0;3,5;3,4;3,6;4,6;4,2
Ausztrália;690,5;6,4;6,8;6,5;6,0;5,5;5,1;4,8;4,4;4,3;5,7;5,3;5,2;5,3;5,8;6,2;6,2;5,9;5,8;5,5;5,3;6,6;5,3
Új-Zéland;107,5;6,2;5,5;5,4;4,8;4,1;3,9;3,9;3,8;4,3;6,3;6,8;6,7;7,2;6,1;5,7;5,6;5,4;5,0;4,5;4,3;4,8;4,0
