20.1.3.4. A részmunkaidõs foglalkoztatottak aránya az összes foglakoztatotton belül [%];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;16,7;16,9;18,7;18,3;19,9;21,0;21,5;22,0;22,7;23,9;24,4;24,5;25,2;26,0;26,9;27,3;27,8;27,9;27,3;27,2;27,2;28,7
Belgium;20,6;18,4;19,3;20,4;21,5;21,7;22,0;21,9;22,4;23,2;23,7;24,7;24,7;24,3;23,7;24,3;24,7;24,5;24,5;24,9;24,4;24,1
Bulgária;..;3,3;2,7;2,1;2,7;1,9;1,8;1,5;2,0;2,1;2,2;2,2;2,2;2,5;2,5;2,2;2,0;2,2;1,8;1,9;1,8;1,6
Ciprus;7,6;7,4;6,3;7,6;7,5;7,6;6,6;6,4;6,8;7,5;8,3;9,0;9,7;11,9;13,5;13,0;13,4;12,2;10,8;10,2;10,0;10,1
Csehország;4,8;4,4;4,3;4,5;4,4;4,4;4,4;4,4;4,3;4,8;5,1;4,7;5,0;5,8;5,5;5,3;5,7;6,2;6,3;6,3;5,7;5,7
Dánia;21,4;19,6;20,0;20,3;21,9;21,5;23,0;23,0;23,1;24,6;24,8;24,3;24,1;24,0;23,9;23,8;25,0;24,7;23,9;24,2;23,4;23,9
Észtország;6,9;7,4;6,3;6,7;6,9;6,8;6,8;7,1;6,4;9,4;9,8;9,3;9,2;8,9;8,3;9,4;9,7;9,6;11,0;11,3;12,3;12,2
Finnország;11,9;11,6;12,1;12,5;12,8;13,3;13,5;13,4;12,7;13,3;13,9;14,1;14,1;14,0;14,1;14,1;14,9;15,1;15,1;15,5;14,8;16,9
Franciaország;16,8;16,3;16,1;16,8;16,9;17,1;17,1;17,2;16,8;17,2;17,6;17,6;17,7;18,1;18,6;18,4;18,3;18,2;18,0;17,5;17,0;17,3
Görögország;4,4;3,8;4,2;3,9;4,5;4,8;5,5;5,4;5,4;5,9;6,3;6,7;7,7;8,4;9,3;9,4;9,8;9,7;9,1;9,1;8,6;8,2
Hollandia;41,0;41,9;43,4;44,6;45,2;45,1;45,0;45,7;46,1;47,0;48,1;48,3;49,0;49,8;49,6;50,0;49,7;49,8;50,1;50,2;50,8;42,7
Horvátország;..;..;6,5;6,6;6,5;7,8;7,0;6,1;6,5;6,5;7,0;7,2;5,6;5,4;5,3;6,0;5,6;4,8;5,2;4,8;4,5;4,7
