20.2.1.1. A munkaerõpiac legfontosabb évközi adatai, negyedévente;;;;;;;;;;;;;;;;
Év;Negyedév;Aktivitási arány a 15–74 éves népességben, %;Foglalkoztatási ráta a 15–64 éves népességben, %;Munkanélküliségi arány a 15–74 éves népességben, %;Tartósan munkanélküliek aránya az összes munkanélkülin belül, %;A nyilvántartott álláskeresõk száma, fõ;Alkalmazásban állók száma a nemzetgazdaságban, ezer fõ;Ebbõl: teljes munkaidõben alkalmazásban állók száma, ezer fõ;Ebbõl: közfoglalkoztatottak száma, ezer fõ;Üres álláshelyek aránya,% ;Havi bruttó átlagkereset, Ft/hó/fõ;Havi nettó átlagkereset, Ft/hó/fõ;Havi bruttó munkajövedelem, Ft;Havi bruttó átlagkeresetek változása az elõzõ évhez képest, %;Havi nettó átlagkeresetek változása az elõzõ évhez képest, %;Havi bruttó munkajövedelem változása az elõzõ évhez képest, %
2018.;I.;63,9;70,8;3,7;41,8;284 565;3 114,8;2 793,9;141,3;2,5;316 268;210 318;331 840;112,4;112,4;112,6
;II.;64,2;71,4;3,5;42,9;240 711;3 123,0;2 801,0;134,6;2,6;332 539;221 138;347 957;111,6;111,6;111,3
;III.;64,7;71,7;3,7;40,4;251 047;3 116,4;2 788,8;113,8;2,8;323 550;215 160;338 537;111,1;111,1;111,0
;IV.;64,5;71,7;3,5;39,4;241 898;3 113,2;2 794,8;114,0;2,7;347 390;231 014;368 446;110,5;110,5;110,7
2019.;I.;64,6;72,0;3,4;37,8;278 835;3 180,3;2 852,0;106,8;2,5;352 151;234 181;366 967;111,0;111,0;110,3
;II.;64,7;72,1;3,2;35,7;248 199;3 187,6;2 856,3;101,3;2,5;366 765;243 899;382 469;110,3;110,3;110,0
;III.;64,9;72,4;3,4;34,1;243 356;3 186,6;2 848,8;98,3;2,4;360 728;239 884;375 523;111,4;111,4;110,9
;IV.;64,8;72,4;3,2;30,8;234 903;3 188,5;2 853,8;98,1;2,3;391 666;260 458;408 515;112,9;112,9;111,2
2020.;I.;64,5;71,9;3,6;29,8;281 273;3 139,2;2 810,1;87,8;1,9;384 219;255 506;399 942;109,1;109,1;109,0
;II.;64,4;71,0;4,5;20,9;376 290;2 970,9;2 544,4;85,5;2,0;406 822;270 537;424 293;110,9;110,9;110,9
;III.;65,3;72,4;4,3;31,0;323 408;3 074,2;2 666,1;90,5;2,0;395 172;262 789;409 622;109,5;109,5;109,1
;IV.;65,1;72,5;4,1;31,6;290 694;3 122,3;2 781,0;91,1;2,0;428 377;284 871;446 241;109,4;109,4;109,2
2021.;I.;64,8;71,8;4,5;25,1;303 631;3 123,1;2 789,0;85,5;2,0;420 222;279 448;439 517;109,4;109,4;109,9
;II.;65,4;72,8;4,1;31,9;265 497;3 158,8;2 823,5;85,9;2,3;436 174;290 056;456 415;107,2;107,2;107,6
;III.;66,0;73,6;3,9;34,1;250 286;3 195,0;2 851,1;82,7;2,5;429 419;285 564;445 372;108,7;108,7;108,7
;IV.;66,3;74,1;3,7;34,4;238 712;3 215,7;2 865,8;81,8;2,4;468 858;311 790;491 618;109,4;109,4;110,2
2022.;I.;66,2;74,0;3,7;34,2;251 297;3 206,7;2 869,2;77,7;2,7;508 279;338 005;531 329;121,0;121,0;120,9
;II.;66,2;74,3;3,2;36,7;230 309;3 232,2;2 893,0;76,2;3,0;502 290;334 023;522 325;115,2;115,2;114,4
;III.;66,8;74,6;3,6;33,9;238 242;3 238,9;2 891,7;69,2;..;500 386;332 757;520 165;116,5;116,5;116,8
;IV.;;;;;;;;;;;;;;;
