20.2.1.3. A 15–64 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2009.;január;3 832,2;373,0;4 205,3;2 556,7;6 761,9;625,9;62,2;8,9;56,7
;február;3 854,7;401,5;4 256,2;2 504,3;6 760,5;648,2;63,0;9,4;57,0
;március;3 859,2;436,2;4 295,4;2 463,6;6 759,0;686,2;63,6;10,2;57,1
;április;3 838,2;397,3;4 235,5;2 522,1;6 757,5;635,8;62,7;9,4;56,8
;május;3 903,2;390,8;4 294,0;2 462,1;6 756,1;634,9;63,6;9,1;57,8
;június;3 896,5;412,0;4 308,6;2 446,0;6 754,5;648,2;63,8;9,6;57,7
;július;3 868,8;409,6;4 278,4;2 474,7;6 753,1;664,3;63,4;9,6;57,3
;augusztus;3 878,3;425,2;4 303,5;2 448,1;6 751,6;680,7;63,7;9,9;57,4
;szeptember;3 858,8;456,1;4 314,9;2 435,2;6 750,0;719,6;63,9;10,6;57,2
;október;3 881,2;412,5;4 293,6;2 455,0;6 748,6;673,7;63,6;9,6;57,5
;november;3 856,5;444,1;4 300,6;2 446,5;6 747,1;711,9;63,7;10,3;57,2
;december;3 840,4;446,6;4 287,0;2 458,6;6 745,6;717,5;63,6;10,4;56,9
2010.;január;3 765,1;463,8;4 228,9;2 515,3;6 744,2;741,5;62,7;11,0;55,8
;február;3 801,8;507,4;4 309,2;2 433,5;6 742,7;780,4;63,9;11,8;56,4
;március;3 806,0;510,1;4 316,1;2 425,1;6 741,2;775,5;64,0;11,8;56,5
;április;3 822,3;460,5;4 282,8;2 456,9;6 739,6;722,2;63,5;10,8;56,7
;május;3 844,4;472,5;4 316,9;2 421,4;6 738,2;738,2;64,1;10,9;57,1
;június;3 853,6;478,4;4 332,0;2 404,8;6 736,8;734,4;64,3;11,0;57,2
;július;3 858,5;438,9;4 297,4;2 437,8;6 735,3;691,0;63,8;10,2;57,3
;augusztus;3 877,5;466,7;4 344,2;2 389,6;6 733,8;725,6;64,5;10,7;57,6
;szeptember;3 891,8;467,5;4 359,4;2 373,0;6 732,3;737,5;64,8;10,7;57,8
;október;3 891,8;435,4;4 327,2;2 403,7;6 730,8;685,1;64,3;10,1;57,8
;november;3 870,8;456,4;4 327,2;2 402,1;6 729,3;717,5;64,3;10,5;57,5
;december;3 829,1;469,2;4 298,3;2 429,6;6 727,9;772,5;63,9;10,9;56,9
2011.;január;3 801,7;479,3;4 281,0;2 445,4;6 726,4;758,9;63,6;11,2;56,5
;február;3 787,1;508,7;4 295,8;2 429,1;6 724,9;810,0;63,9;11,8;56,3
;március;3 811,1;487,9;4 299,0;2 424,5;6 723,5;798,9;63,9;11,3;56,7
;április;3 859,4;450,2;4 309,6;2 412,3;6 721,9;727,1;64,1;10,4;57,4
;május;3 861,4;460,3;4 321,8;2 398,7;6 720,5;734,4;64,3;10,7;57,5
;június;3 881,2;464,2;4 345,4;2 373,6;6 719,0;772,4;64,7;10,7;57,8
;július;3 923,9;454,4;4 378,3;2 339,2;6 717,4;744,3;65,2;10,4;58,4
;augusztus;3 880,3;450,7;4 331,0;2 385,0;6 716,0;745,2;64,5;10,4;57,8
;szeptember;3 911,8;463,2;4 375,0;2 339,5;6 714,5;766,1;65,2;10,6;58,3
;október;3 940,0;474,8;4 414,8;2 298,2;6 713,0;750,2;65,8;10,8;58,7
;november;3 900,3;429,7;4 330,0;2 382,5;6 712,5;733,4;64,5;9,9;58,1
;december;3 860,2;459,0;4 319,2;2 393,4;6 712,6;775,9;64,3;10,6;57,5
2012.;január;3 836,0;528,7;4 364,6;2 348,0;6 712,6;839,0;65,0;12,1;57,1
;február;3 818,8;498,3;4 317,1;2 391,8;6 708,9;792,8;64,3;11,5;56,9
;március;3 851,9;488,2;4 340,1;2 365,6;6 705,7;788,5;64,7;11,2;57,4
;április;3 896,0;498,0;4 394,0;2 308,0;6 702,1;817,2;65,6;11,3;58,1
;május;3 920,0;470,1;4 390,0;2 308,7;6 698,7;752,4;65,5;10,7;58,5
;június;3 928,5;443,5;4 372,0;2 323,4;6 695,5;761,9;65,3;10,1;58,7
;július;3 970,5;469,3;4 439,8;2 252,5;6 692,3;801,4;66,3;10,6;59,3
;augusztus;3 972,6;446,4;4 419,0;2 270,0;6 689,0;772,3;66,1;10,1;59,4
;szeptember;4 014,5;442,4;4 456,9;2 228,9;6 685,8;732,8;66,7;9,9;60,0
;október;3 973,9;473,7;4 447,7;2 235,2;6 682,9;778,7;66,6;10,7;59,5
;november;3 953,1;461,0;4 414,1;2 265,6;6 679,7;789,2;66,1;10,4;59,2
;december;3 955,3;441,4;4 396,7;2 279,9;6 676,6;795,3;65,9;10,0;59,2
2013.;január;3 840,3;517,8;4 358,1;2 315,0;6 673,1;887,2;65,3;11,9;57,5
;február;3 826,2;503,1;4 329,3;2 338,8;6 668,0;872,5;64,9;11,6;57,4
;március;3 961,7;459,8;4 421,6;2 241,9;6 663,5;798,9;66,4;10,4;59,5
;április;3 993,0;430,4;4 423,5;2 234,9;6 658,4;773,0;66,4;9,7;60,0
;május;3 940,2;462,3;4 402,5;2 251,2;6 653,7;778,1;66,2;10,5;59,2
