20.2.1.4. A 15–74 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2009.;január–március;3 877,0;403,6;4 280,6;3 400,7;7 681,3;657,1;55,7;9,4;50,5
;február–április;3 880,7;411,6;4 292,4;3 387,9;7 680,2;660,7;55,9;9,6;50,5
;március–május;3 897,9;408,4;4 306,3;3 372,8;7 679,1;656,6;56,1;9,5;50,8
;április–június;3 910,4;400,3;4 310,7;3 367,3;7 678,0;643,3;56,1;9,3;50,9
;május–július;3 921,1;404,8;4 325,8;3 351,0;7 676,8;653,6;56,3;9,4;51,1
;június–augusztus;3 912,3;416,5;4 328,8;3 346,9;7 675,7;669,4;56,4;9,6;51,0
;július–szeptember;3 899,4;431,2;4 330,6;3 344,0;7 674,5;692,4;56,4;10,0;50,8
;augusztus–október;3 904,3;432,1;4 336,3;3 337,1;7 673,4;695,5;56,5;10,0;50,9
;szeptember–november;3 896,5;437,8;4 334,3;3 337,9;7 672,3;705,0;56,5;10,1;50,8
;október–december;3 891,1;434,7;4 325,7;3 345,4;7 671,1;704,6;56,4;10,0;50,7
;november–2010. január;3 851,9;451,5;4 303,4;3 366,6;7 670,0;726,8;56,1;10,5;50,2
;december–2010. február;3 833,1;472,6;4 305,7;3 363,1;7 668,9;749,8;56,1;11,0;50,0
2010.;január–március;3 821,8;493,8;4 315,5;3 352,2;7 667,8;769,5;56,3;11,4;49,8
;február–április;3 838,5;492,8;4 331,2;3 335,4;7 666,6;762,7;56,5;11,4;50,1
;március–május;3 853,6;481,1;4 334,7;3 330,8;7 665,5;748,7;56,5;11,1;50,3
;április–június;3 870,9;470,6;4 341,4;3 322,9;7 664,3;734,8;56,6;10,8;50,5
;május–július;3 883,8;463,4;4 347,2;3 316,0;7 663,2;724,3;56,7;10,7;50,7
;június–augusztus;3 894,9;461,5;4 356,4;3 305,7;7 662,1;720,4;56,9;10,6;50,8
;július–szeptember;3 907,8;457,9;4 365,7;3 295,2;7 661,0;721,4;57,0;10,5;51,0
;augusztus–október;3 918,1;456,8;4 375,0;3 284,8;7 659,8;718,9;57,1;10,4;51,2
;szeptember–november;3 916,1;453,5;4 369,5;3 289,2;7 658,7;715,9;57,1;10,4;51,1
;október–december;3 894,7;454,1;4 348,8;3 308,8;7 657,6;727,1;56,8;10,4;50,9
;november–2011. január;3 866,2;468,5;4 334,7;3 321,8;7 656,5;752,0;56,6;10,8;50,5
;december–2011. február;3 838,5;485,9;4 324,4;3 330,9;7 655,3;782,4;56,5;11,2;50,1
2011.;január–március;3 831,9;492,2;4 324,1;3 330,1;7 654,2;792,0;56,5;11,4;50,1
;február–április;3 852,5;482,4;4 334,9;3 318,1;7 653,0;781,4;56,6;11,1;50,3
;március–május;3 877,9;466,3;4 344,2;3 307,7;7 651,9;757,0;56,8;10,7;50,7
;április–június;3 900,8;458,3;4 359,2;3 291,6;7 650,8;748,7;57,0;10,5;51,0
;május–július;3 922,5;459,7;4 382,2;3 267,4;7 649,6;754,6;57,3;10,5;51,3
;június–augusztus;3 930,1;456,6;4 386,6;3 261,9;7 648,5;758,6;57,4;10,4;51,4
;július–szeptember;3 942,2;456,3;4 398,5;3 248,8;7 647,3;755,9;57,5;10,4;51,6
;augusztus–október;3 948,1;463,3;4 411,4;3 234,8;7 646,2;757,1;57,7;10,5;51,6
;szeptember–november;3 954,5;456,3;4 410,7;3 234,6;7 645,3;753,6;57,7;10,3;51,7
;október–december;3 936,9;455,0;4 391,9;3 253,1;7 644,9;757,1;57,4;10,4;51,5
;november–2012. január;3 898,7;473,2;4 371,9;3 273,1;7 645,1;787,4;57,2;10,8;51,0
;december–2012. február;3 871,2;496,0;4 367,2;3 277,4;7 644,6;806,7;57,1;11,4;50,6
2012.;január–március;3 870,3;506,0;4 376,3;3 267,1;7 643,4;811,1;57,3;11,6;50,6
;február–április;3 890,6;496,0;4 386,5;3 254,8;7 641,3;804,8;57,4;11,3;50,9
;március–május;3 925,9;486,5;4 412,5;3 226,8;7 639,3;791,5;57,8;11,0;51,4
;április–június;3 950,3;471,9;4 422,2;3 215,2;7 637,5;783,1;57,9;10,7;51,7
;május–július;3 976,1;462,4;4 438,5;3 197,4;7 635,9;777,3;58,1;10,4;52,1
;június–augusztus;3 992,3;454,8;4 447,0;3 187,4;7 634,5;784,0;58,2;10,2;52,3
;július–szeptember;4 019,6;453,7;4 473,3;3 159,8;7 633,0;773,2;58,6;10,1;52,7
;augusztus–október;4 021,7;455,1;4 476,7;3 155,0;7 631,7;766,5;58,7;10,2;52,7
;szeptember–november;4 014,1;459,8;4 473,9;3 156,6;7 630,5;772,1;58,6;10,3;52,6
;október–december;3 994,7;459,5;4 454,1;3 175,1;7 629,2;793,6;58,4;10,3;52,4
;november–2013. január;3 948,7;474,2;4 422,9;3 204,8;7 627,7;829,8;58,0;10,7;51,8
;december–2013. február;3 905,5;488,5;4 394,0;3 231,6;7 625,6;857,8;57,6;11,1;51,2
2013.;január–március;3 906,6;494,7;4 401,3;3 221,6;7 622,8;859,3;57,7;11,2;51,2
;február–április;3 959,3;465,5;4 424,8;3 194,7;7 619,6;822,8;58,1;10,5;52,0
;március–május;3 997,7;451,8;4 449,5;3 166,9;7 616,4;793,4;58,4;10,2;52,5
;április–június;4 028,3;439,8;4 468,1;3 145,3;7 613,4;772,5;58,7;9,8;52,9
;május–július;4 055,1;439,6;4 494,6;3 116,0;7 610,6;759,5;59,1;9,8;53,3
;június–augusztus;4 070,8;434,5;4 505,3;3 102,6;7 608,0;748,6;59,2;9,6;53,5
;július–szeptember;4 081,7;428,9;4 510,6;3 094,7;7 605,3;734,6;59,3;9,5;53,7
;augusztus–október;4 084,5;424,1;4 508,6;3 094,1;7 602,7;725,6;59,3;9,4;53,7
;szeptember–november;4 099,7;402,4;4 502,1;3 097,9;7 600,0;698,6;59,2;8,9;53,9
;október–december;4 100,5;397,4;4 497,9;3 099,4;7 597,3;694,4;59,2;8,8;54,0
;november–2014. január;4 119,8;383,2;4 503,0;3 091,4;7 594,5;686,7;59,3;8,5;54,2
;december–2014. február;4 144,3;368,6;4 512,9;3 078,4;7 591,2;683,3;59,4;8,2;54,6
2014.;január–március;4 165,1;363,0;4 528,2;3 059,7;7 587,8;681,9;59,7;8,0;54,9
;február–április;4 190,4;356,2;4 546,7;3 037,6;7 584,2;654,1;59,9;7,8;55,3
;március–május;4 186,0;356,6;4 542,6;3 038,2;7 580,8;647,4;59,9;7,9;55,2
;április–június;4 196,3;358,8;4 555,1;3 022,3;7 577,5;637,1;60,1;7,9;55,4
;május–július;4 209,2;355,9;4 565,2;3 009,2;7 574,4;626,4;60,3;7,8;55,6
;június–augusztus;4 241,7;342,6;4 584,3;2 987,2;7 571,5;605,8;60,5;7,5;56,0
;július–szeptember;4 270,1;331,4;4 601,5;2 967,1;7 568,6;592,1;60,8;7,2;56,4
;augusztus–október;4 268,7;317,0;4 585,7;2 979,9;7 565,5;575,7;60,6;6,9;56,4
;szeptember–november;4 274,5;320,5;4 595,0;2 967,3;7 562,3;567,4;60,8;7,0;56,5
;október–december;4 258,8;318,3;4 577,1;2 982,0;7 559,1;573,7;60,6;7,0;56,3
;november–2015. január;4 244,6;330,1;4 574,7;2 980,9;7 555,7;596,8;60,5;7,2;56,2
;december–2015. február;4 240,9;345,4;4 586,4;2 965,5;7 551,8;613,5;60,7;7,5;56,2
2015.;január–március;4 235,8;347,3;4 583,1;2 964,7;7 547,8;607,4;60,7;7,6;56,1
;február–április;4 262,2;337,9;4 600,0;2 943,8;7 543,9;586,8;61,0;7,3;56,5
;március–május;4 291,5;319,6;4 611,1;2 929,1;7 540,1;560,1;61,2;6,9;56,9
;április–június;4 324,0;310,3;4 634,3;2 905,2;7 539,5;535,9;61,5;6,7;57,4
;május–július;4 346,4;305,7;4 652,1;2 887,1;7 539,2;530,1;61,7;6,6;57,7
;június–augusztus;4 371,5;303,8;4 675,2;2 864,0;7 539,2;522,6;62,0;6,5;58,0
;július–szeptember;4 390,4;292,4;4 682,8;2 853,6;7 536,5;501,7;62,1;6,2;58,3
;augusztus–október;4 392,6;289,8;4 682,5;2 851,2;7 533,7;490,9;62,2;6,2;58,3
;szeptember–november;4 399,9;283,7;4 683,6;2 847,2;7 530,8;484,1;62,2;6,1;58,4
;október–december;4 390,2;280,6;4 670,8;2 857,2;7 527,9;490,0;62,0;6,0;58,3
;november–2016. január;4 372,7;279,0;4 651,7;2 873,2;7 524,9;496,9;61,8;6,0;58,1
;december–2016. február;4 372,4;274,8;4 647,2;2 873,1;7 520,3;497,3;61,8;5,9;58,1
2016.;január–március;4 390,5;272,6;4 663,0;2 852,5;7 515,6;489,0;62,0;5,8;58,4
;február–április;4 424,1;264,7;4 688,8;2 821,9;7 510,7;461,9;62,4;5,6;58,9
;március–május;4 445,0;250,7;4 695,7;2 811,7;7 507,4;436,0;62,5;5,3;59,2
;április–június;4 476,4;234,1;4 710,5;2 797,3;7 507,8;416,2;62,7;5,0;59,6
;május–július;4 502,7;228,0;4 730,7;2 777,8;7 508,5;406,9;63,0;4,8;60,0
;június–augusztus;4 517,3;226,8;4 744,2;2 765,4;7 509,6;404,3;63,2;4,8;60,2
;július–szeptember;4 521,1;226,2;4 747,3;2 759,8;7 507,1;397,6;63,2;4,8;60,2
;augusztus–október;4 532,8;219,0;4 751,8;2 753,0;7 504,8;386,2;63,3;4,6;60,4
;szeptember–november;4 541,3;207,5;4 748,8;2 753,5;7 502,3;374,5;63,3;4,4;60,5
;október–december;4 540,9;205,0;4 745,9;2 753,8;7 499,6;373,0;63,3;4,3;60,5
;november–2017. január;4 530,9;197,6;4 728,4;2 768,1;7 496,5;374,6;63,1;4,2;60,4
;december–2017. február;4 504,1;202,4;4 706,5;2 783,5;7 490,0;386,4;62,8;4,3;60,1
2017.;január–március;4 498,0;206,6;4 704,6;2 779,4;7 484,0;394,7;62,9;4,4;60,1
;február–április;4 506,0;208,9;4 714,9;2 761,8;7 476,7;390,7;63,1;4,4;60,3
;március–május;4 516,7;203,0;4 719,7;2 751,6;7 471,3;377,9;63,2;4,3;60,5
;április–június;4 541,0;196,2;4 737,2;2 727,8;7 465,0;368,3;63,5;4,1;60,8
;május–július;4 551,5;193,3;4 744,8;2 715,2;7 460,0;369,8;63,6;4,1;61,0
;június–augusztus;4 564,2;195,5;4 759,6;2 696,6;7 456,2;361,9;63,8;4,1;61,2
;július–szeptember;4 575,2;188,2;4 763,4;2 688,7;7 452,1;346,1;63,9;4,0;61,4
;augusztus–október;4 573,8;183,2;4 757,0;2 691,2;7 448,1;334,0;63,9;3,9;61,4
;szeptember–november;4 581,7;177,2;4 759,0;2 685,3;7 444,3;324,0;63,9;3,7;61,5
;október–december;4 579,3;175,2;4 754,5;2 685,7;7 440,3;320,3;63,9;3,7;61,5
;november–2018. január;4 570,0;173,7;4 743,6;2 692,3;7 436,0;328,2;63,8;3,7;61,5
;december–2018. február;4 576,5;177,6;4 754,0;2 682,0;7 436,0;332,7;63,9;3,7;61,5
2018.;január–március;4 570,6;177,8;4 748,3;2 688,1;7 436,4;324,8;63,9;3,7;61,5
;február–április;4 579,2;176,8;4 756,0;2 681,0;7 437,0;320,2;64,0;3,7;61,6
;március–május;4 592,1;170,6;4 762,8;2 673,5;7 436,3;314,0;64,0;3,6;61,8
;április–június;4 606,9;165,0;4 772,0;2 664,2;7 436,2;313,8;64,2;3,5;62,0
;május–július;4 620,7;166,1;4 786,8;2 649,8;7 436,6;305,0;64,4;3,5;62,1
;június–augusztus;4 623,6;173,0;4 796,5;2 637,7;7 434,2;309,2;64,5;3,6;62,2
;július–szeptember;4 627,4;178,2;4 805,6;2 626,1;7 431,8;314,9;64,7;3,7;62,3
;augusztus–október;4 642,7;172,3;4 815,0;2 614,3;7 429,3;308,5;64,8;3,6;62,5
;szeptember–november;4 634,2;167,8;4 802,0;2 624,8;7 426,8;306,8;64,7;3,5;62,4
;október–december;4 620,6;166,3;4 786,9;2 637,4;7 424,3;308,3;64,5;3,5;62,2
;november–2019. január;4 619,8;169,2;4 789,0;2 632,5;7 421,5;311,8;64,5;3,5;62,2
;december–2019. február;4 633,1;167,4;4 800,5;2 620,5;7 421,0;308,7;64,7;3,5;62,4
2019.;január–március;4 631,0;165,0;4 796,0;2 624,1;7 420,0;302,3;64,6;3,4;62,4
;február–április;4 622,8;161,9;4 784,7;2 634,7;7 419,4;297,8;64,5;3,4;62,3
;március–május;4 634,0;160,0;4 794,1;2 626,0;7 420,0;296,2;64,6;3,3;62,5
;április–június;4 643,1;155,2;4 798,3;2 623,0;7 421,3;297,4;64,7;3,2;62,6
;május–július;4 648,6;157,6;4 806,2;2 616,8;7 422,9;307,0;64,7;3,3;62,6
;június–augusztus;4 651,3;156,9;4 808,2;2 613,1;7 421,3;305,8;64,8;3,3;62,7
;július–szeptember;4 654,2;162,4;4 816,6;2 603,2;7 419,8;303,9;64,9;3,4;62,7
;augusztus–október;4 656,8;161,8;4 818,6;2 599,6;7 418,2;291,5;65,0;3,4;62,8
;szeptember–november;4 649,8;161,5;4 811,2;2 605,4;7 416,6;294,6;64,9;3,4;62,7
;október–december;4 649,9;153,1;4 803,1;2 611,9;7 415,0;291,8;64,8;3,2;62,7
;november–2020. január;4 626,5;159,9;4 786,4;2 626,8;7 413,2;309,9;64,6;3,3;62,4
;december–2020. február;4 623,7;163,4;4 787,0;2 625,1;7 412,2;310,4;64,6;3,4;62,4
2020.;január–március;4 606,8;173,0;4 779,8;2 631,6;7 411,4;336,7;64,5;3,6;62,2
;február–április;4 584,0;174,1;4 758,1;2 653,1;7 411,2;367,4;64,2;3,7;61,9
;március–május;4 550,0;190,2;4 740,2;2 670,2;7 410,5;403,9;64,0;4,0;61,4
;április–június;4 556,4;214,2;4 770,5;2 639,2;7 409,7;435,7;64,4;4,5;61,5
;május–július;4 585,4;224,3;4 809,7;2 599,4;7 409,1;428,9;64,9;4,7;61,9
;június–augusztus;4 619,6;214,4;4 834,1;2 574,6;7 408,6;402,7;65,2;4,4;62,4
;július–szeptember;4 627,2;207,8;4 835,0;2 573,2;7 408,2;380,3;65,3;4,3;62,5
;augusztus–október;4 624,3;201,0;4 825,3;2 582,5;7 407,8;367,3;65,1;4,2;62,4
;szeptember–november;4 616,9;202,3;4 819,2;2 587,8;7 407,0;369,7;65,1;4,2;62,3
;október–december;4 622,6;195,4;4 817,9;2 587,6;7 405,5;366,5;65,1;4,1;62,4
;november–2021. január;4 601,0;208,9;4 809,8;2 593,4;7 403,2;402,7;65,0;4,3;62,1
;december–2021. február;4 573,6;216,8;4 790,3;2 602,3;7 392,7;434,9;64,8;4,5;61,9
2021.;január–március;4 567,6;214,8;4 782,4;2 599,7;7 382,0;435,4;64,8;4,5;61,9
;február–április;4 575,2;205,9;4 781,1;2 589,4;7 370,4;412,1;64,9;4,3;62,1
;március–május;4 593,9;198,0;4 792,0;2 573,6;7 365,6;386,3;65,1;4,1;62,4
;április–június;4 619,2;198,0;4 817,2;2 543,3;7 360,5;365,8;65,4;4,1;62,8
;május–július;4 646,9;197,4;4 844,3;2 512,3;7 356,5;346,5;65,8;4,1;63,2
;június–augusztus;4 659,2;199,9;4 859,1;2 494,5;7 353,6;339,0;66,1;4,1;63,4
;július–szeptember;4 663,4;189,7;4 853,1;2 498,1;7 351,2;322,2;66,0;3,9;63,4
;augusztus–október;4 677,4;184,2;4 861,6;2 487,2;7 348,8;310,8;66,2;3,8;63,6
;szeptember–november;4 687,1;177,0;4 864,2;2 482,0;7 346,2;298,1;66,2;3,6;63,8
