20.2.1.5. A 15–64 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–64 éves népesség, ezer fõ;"Ebbõl: Potenciális munkaerõ-
tartalék, ezer fõ";Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
2009.;január–március;3 848,7;403,6;4 252,3;2 508,2;6 760,5;653,4;62,9;9,5;56,9
;február–április;3 850,7;411,6;4 262,4;2 496,7;6 759,0;656,7;63,1;9,7;57,0
;március–május;3 866,9;408,1;4 275,0;2 482,6;6 757,5;652,3;63,3;9,5;57,2
;április–június;3 879,3;400,0;4 279,4;2 476,7;6 756,1;639,6;63,3;9,3;57,4
;május–július;3 889,5;404,2;4 293,7;2 460,9;6 754,6;649,2;63,6;9,4;57,6
;június–augusztus;3 881,2;415,6;4 296,8;2 456,3;6 753,1;664,4;63,6;9,7;57,5
;július–szeptember;3 868,6;430,3;4 298,9;2 452,7;6 751,6;688,2;63,7;10,0;57,3
;augusztus–október;3 872,7;431,3;4 304,0;2 446,1;6 750,1;691,3;63,8;10,0;57,4
;szeptember–november;3 865,5;437,6;4 303,0;2 445,6;6 748,6;701,7;63,8;10,2;57,3
;október–december;3 859,3;434,4;4 293,7;2 453,4;6 747,1;701,0;63,6;10,1;57,2
;november–2010. január;3 820,7;451,5;4 272,1;2 473,5;6 745,6;723,6;63,3;10,6;56,6
;december–2010. február;3 802,4;472,6;4 275,0;2 469,1;6 744,1;746,5;63,4;11,1;56,4
2010.;január–március;3 791,0;493,8;4 284,7;2 458,0;6 742,7;765,8;63,5;11,5;56,2
;február–április;3 810,0;492,7;4 302,7;2 438,5;6 741,2;759,3;63,8;11,5;56,5
;március–május;3 824,2;481,0;4 305,2;2 434,5;6 739,7;745,3;63,9;11,2;56,7
;április–június;3 840,1;470,5;4 310,6;2 427,7;6 738,2;731,6;64,0;10,9;57,0
;május–július;3 852,2;463,3;4 315,4;2 421,3;6 736,8;721,2;64,1;10,7;57,2
;június–augusztus;3 863,2;461,3;4 324,5;2 410,7;6 735,3;717,0;64,2;10,7;57,4
;július–szeptember;3 876,0;457,7;4 333,7;2 400,1;6 733,8;718,1;64,4;10,6;57,6
;augusztus–október;3 887,0;456,5;4 343,6;2 388,7;6 732,3;716,1;64,5;10,5;57,7
;szeptember–november;3 884,8;453,1;4 337,9;2 392,9;6 730,8;713,4;64,4;10,4;57,7
;október–december;3 863,9;453,7;4 317,6;2 411,8;6 729,4;725,0;64,2;10,5;57,4
;november–2011. január;3 833,8;468,3;4 302,2;2 425,7;6 727,9;749,7;63,9;10,9;57,0
;december–2011. február;3 806,0;485,7;4 291,7;2 434,7;6 726,4;780,5;63,8;11,3;56,6
2011.;január–március;3 799,9;492,0;4 291,9;2 433,0;6 724,9;789,3;63,8;11,5;56,5
;február–április;3 819,2;482,2;4 301,4;2 422,0;6 723,4;778,7;64,0;11,2;56,8
;március–május;3 844,0;466,1;4 310,1;2 411,8;6 721,9;753,5;64,1;10,8;57,2
;április–június;3 867,3;458,2;4 325,6;2 394,9;6 720,5;744,7;64,4;10,6;57,5
;május–július;3 888,8;459,6;4 348,5;2 370,5;6 719,0;750,4;64,7;10,6;57,9
;június–augusztus;3 895,1;456,4;4 351,5;2 365,9;6 717,5;754,0;64,8;10,5;58,0
;július–szeptember;3 905,3;456,1;4 361,4;2 354,5;6 716,0;751,9;64,9;10,5;58,1
;augusztus–október;3 910,7;462,9;4 373,6;2 340,9;6 714,5;753,8;65,1;10,6;58,2
;szeptember–november;3 917,4;455,9;4 373,3;2 340,1;6 713,3;749,9;65,1;10,4;58,4
;október–december;3 900,2;454,5;4 354,6;2 358,0;6 712,7;753,1;64,9;10,4;58,1
;november–2012. január;3 865,5;472,5;4 337,9;2 374,6;6 712,5;782,8;64,6;10,9;57,6
;december–2012. február;3 838,3;495,3;4 333,6;2 377,7;6 711,4;802,5;64,6;11,4;57,2
2012.;január–március;3 835,6;505,0;4 340,6;2 368,5;6 709,1;806,8;64,7;11,6;57,2
;február–április;3 855,6;494,8;4 350,4;2 355,2;6 705,6;799,5;64,9;11,4;57,5
;március–május;3 889,3;485,4;4 374,7;2 327,4;6 702,2;786,0;65,3;11,1;58,0
;április–június;3 914,8;470,5;4 385,4;2 313,4;6 698,7;777,2;65,5;10,7;58,4
;május–július;3 939,6;461,0;4 400,6;2 294,9;6 695,5;771,9;65,7;10,5;58,8
;június–augusztus;3 957,2;453,1;4 410,3;2 282,0;6 692,2;778,5;65,9;10,3;59,1
;július–szeptember;3 985,9;452,7;4 438,6;2 250,5;6 689,0;768,8;66,4;10,2;59,6
;augusztus–október;3 987,0;454,2;4 441,2;2 244,7;6 685,9;761,3;66,4;10,2;59,6
;szeptember–november;3 980,5;459,0;4 439,5;2 243,2;6 682,8;766,9;66,4;10,3;59,6
;október–december;3 960,8;458,7;4 419,5;2 260,2;6 679,7;787,7;66,2;10,4;59,3
;november–2013. január;3 916,2;473,4;4 389,6;2 286,8;6 676,5;823,9;65,7;10,8;58,7
;december–2013. február;3 874,0;487,4;4 361,4;2 311,2;6 672,6;851,7;65,4;11,2;58,1
2013.;január–március;3 876,1;493,6;4 369,6;2 298,6;6 668,2;852,8;65,5;11,3;58,1
;február–április;3 927,0;464,4;4 391,4;2 271,9;6 663,3;814,8;65,9;10,6;58,9
;március–május;3 965,0;450,8;4 415,8;2 242,7;6 658,5;783,3;66,3;10,2;59,5
;április–június;3 995,2;438,8;4 434,0;2 219,7;6 653,7;762,2;66,6;9,9;60,0
;május–július;4 021,8;438,7;4 460,5;2 188,5;6 649,0;749,8;67,1;9,8;60,5
;június–augusztus;4 037,2;433,8;4 471,0;2 173,3;6 644,3;739,9;67,3;9,7;60,8
;július–szeptember;4 048,9;428,3;4 477,2;2 162,4;6 639,6;727,0;67,4;9,6;61,0
;augusztus–október;4 051,4;423,8;4 475,2;2 159,8;6 635,0;717,8;67,4;9,5;61,1
;szeptember–november;4 066,3;402,0;4 468,3;2 162,1;6 630,4;692,3;67,4;9,0;61,3
;október–december;4 065,9;397,0;4 462,9;2 162,9;6 625,7;687,7;67,4;8,9;61,4
;november–2014. január;4 086,2;382,8;4 469,0;2 152,0;6 621,0;681,6;67,5;8,6;61,7
;december–2014. február;4 113,3;368,3;4 481,6;2 134,3;6 615,9;677,7;67,7;8,2;62,2
2014.;január–március;4 135,1;362,8;4 497,9;2 112,9;6 610,8;676,6;68,0;8,1;62,6
;február–április;4 160,1;356,1;4 516,3;2 089,1;6 605,4;649,5;68,4;7,9;63,0
;március–május;4 155,5;356,0;4 511,5;2 088,8;6 600,3;642,3;68,4;7,9;63,0
;április–június;4 165,5;358,0;4 523,5;2 071,6;6 595,1;631,6;68,6;7,9;63,2
;május–július;4 178,1;355,1;4 533,2;2 056,9;6 590,1;620,9;68,8;7,8;63,4
;június–augusztus;4 210,6;341,8;4 552,4;2 032,8;6 585,2;600,0;69,1;7,5;63,9
;július–szeptember;4 238,9;330,6;4 569,4;2 010,8;6 580,2;586,2;69,4;7,2;64,4
;augusztus–október;4 237,6;316,3;4 553,9;2 021,2;6 575,2;569,0;69,3;6,9;64,4
;szeptember–november;4 242,2;319,8;4 562,0;2 008,0;6 570,0;560,3;69,4;7,0;64,6
;október–december;4 227,3;317,5;4 544,8;2 020,1;6 564,9;566,3;69,2;7,0;64,4
;november–2015. január;4 214,7;329,3;4 544,0;2 015,6;6 559,6;589,4;69,3;7,2;64,3
;december–2015. február;4 210,5;344,6;4 555,1;1 998,9;6 553,9;605,4;69,5;7,6;64,2
2015.;január–március;4 205,1;346,8;4 551,9;1 996,5;6 548,4;598,4;69,5;7,6;64,2
;február–április;4 230,8;337,3;4 568,2;1 974,8;6 542,9;578,8;69,8;7,4;64,7
;március–május;4 259,5;318,7;4 578,2;1 959,5;6 537,7;552,0;70,0;7,0;65,2
;április–június;4 290,5;309,1;4 599,6;1 935,5;6 535,2;528,7;70,4;6,7;65,7
;május–július;4 311,6;304,6;4 616,2;1 916,8;6 532,9;521,7;70,7;6,6;66,0
;június–augusztus;4 335,5;302,8;4 638,3;1 892,6;6 530,9;516,9;71,0;6,5;66,4
;július–szeptember;4 353,7;291,6;4 645,3;1 880,9;6 526,2;496,5;71,2;6,3;66,7
;augusztus–október;4 356,1;289,0;4 645,0;1 876,4;6 521,4;486,1;71,2;6,2;66,8
;szeptember–november;4 361,7;282,8;4 644,5;1 872,1;6 516,6;478,3;71,3;6,1;66,9
;október–december;4 352,2;279,6;4 631,8;1 880,1;6 511,8;483,7;71,1;6,0;66,8
;november–2016. január;4 333,3;278,0;4 611,4;1 895,6;6 506,9;490,9;70,9;6,0;66,6
;december–2016. február;4 335,5;274,0;4 609,4;1 891,1;6 500,5;491,1;70,9;5,9;66,7
2016.;január–március;4 352,9;272,1;4 624,9;1 869,2;6 494,1;483,9;71,2;5,9;67,0
;február–április;4 386,0;264,0;4 650,0;1 837,6;6 487,6;457,3;71,7;5,7;67,6
;március–május;4 408,0;250,0;4 658,0;1 824,6;6 482,6;431,7;71,9;5,4;68,0
;április–június;4 438,2;233,3;4 671,5;1 809,6;6 481,1;411,5;72,1;5,0;68,5
;május–július;4 463,1;227,3;4 690,4;1 789,6;6 479,9;402,2;72,4;4,8;68,9
;június–augusztus;4 475,7;226,1;4 701,7;1 777,3;6 479,0;399,7;72,6;4,8;69,1
;július–szeptember;4 476,1;225,3;4 701,4;1 773,3;6 474,7;393,3;72,6;4,8;69,1
;augusztus–október;4 486,5;218,2;4 704,7;1 765,7;6 470,4;382,0;72,7;4,6;69,3
;szeptember–november;4 491,0;206,8;4 697,8;1 768,2;6 466,1;370,3;72,7;4,4;69,5
;október–december;4 492,6;204,3;4 696,9;1 764,8;6 461,7;368,0;72,7;4,3;69,5
;november–2017. január;4 484,1;196,8;4 680,9;1 776,2;6 457,1;368,6;72,5;4,2;69,4
;december–2017. február;4 458,6;202,0;4 660,6;1 789,0;6 449,6;381,0;72,3;4,3;69,1
2017.;január–március;4 452,7;206,2;4 658,8;1 783,6;6 442,5;389,8;72,3;4,4;69,1
;február–április;4 459,9;208,6;4 668,6;1 766,1;6 434,7;384,4;72,6;4,5;69,3
;március–május;4 470,7;202,7;4 673,4;1 755,2;6 428,6;369,8;72,7;4,3;69,5
;április–június;4 492,3;196,1;4 688,4;1 733,5;6 422,0;360,1;73,0;4,2;70,0
;május–július;4 502,8;193,1;4 695,9;1 720,0;6 415,9;363,2;73,2;4,1;70,2
;június–augusztus;4 517,4;195,1;4 712,5;1 698,4;6 410,9;356,4;73,5;4,1;70,5
;július–szeptember;4 526,9;187,9;4 714,9;1 690,8;6 405,7;341,1;73,6;4,0;70,7
;augusztus–október;4 527,4;183,0;4 710,4;1 690,2;6 400,6;329,4;73,6;3,9;70,7
;szeptember–november;4 533,7;177,1;4 710,9;1 684,8;6 395,7;319,6;73,7;3,8;70,9
;október–december;4 529,7;175,2;4 704,9;1 685,7;6 390,6;315,3;73,6;3,7;70,9
;november–2018. január;4 518,6;173,7;4 692,2;1 693,1;6 385,3;322,5;73,5;3,7;70,8
;december–2018. február;4 523,5;177,5;4 701,0;1 683,3;6 384,3;326,3;73,6;3,8;70,9
2018.;január–március;4 517,8;177,5;4 695,2;1 688,2;6 383,4;317,6;73,6;3,8;70,8
;február–április;4 527,3;176,4;4 703,7;1 678,6;6 382,3;312,6;73,7;3,7;70,9
;március–május;4 540,3;170,2;4 710,5;1 669,2;6 379,7;305,5;73,8;3,6;71,2
;április–június;4 550,6;164,8;4 715,4;1 662,3;6 377,7;305,4;73,9;3,5;71,4
;május–július;4 563,0;165,9;4 728,9;1 646,7;6 375,6;297,3;74,2;3,5;71,6
;június–augusztus;4 560,7;172,5;4 733,3;1 637,6;6 370,8;300,8;74,3;3,6;71,6
;július–szeptember;4 566,2;177,7;4 743,9;1 621,7;6 365,6;307,5;74,5;3,7;71,7
;augusztus–október;4 579,5;171,6;4 751,1;1 609,7;6 360,8;301,3;74,7;3,6;72,0
;szeptember–november;4 569,5;167,4;4 736,9;1 619,1;6 356,0;302,0;74,5;3,5;71,9
;október–december;4 555,7;165,9;4 721,5;1 629,7;6 351,2;303,6;74,3;3,5;71,7
;november–2019. január;4 552,2;168,3;4 720,6;1 625,7;6 346,2;306,0;74,4;3,6;71,7
;december–2019. február;4 564,2;166,4;4 730,6;1 612,8;6 343,5;302,8;74,6;3,5;72,0
2019.;január–március;4 564,0;164,1;4 728,1;1 612,3;6 340,4;296,6;74,6;3,5;72,0
;február–április;4 552,6;161,4;4 714,0;1 623,4;6 337,4;293,4;74,4;3,4;71,8
;március–május;4 559,9;159,4;4 719,3;1 616,3;6 335,6;291,3;74,5;3,4;72,0
;április–június;4 566,1;154,5;4 720,6;1 613,5;6 334,0;290,7;74,5;3,3;72,1
;május–július;4 570,8;156,3;4 727,1;1 605,6;6 332,8;298,5;74,6;3,3;72,2
;június–augusztus;4 577,3;155,8;4 733,1;1 595,1;6 328,2;297,8;74,8;3,3;72,3
;július–szeptember;4 575,8;160,5;4 736,3;1 587,4;6 323,7;295,4;74,9;3,4;72,4
;augusztus–október;4 579,7;160,8;4 740,5;1 578,7;6 319,2;284,6;75,0;3,4;72,5
;szeptember–november;4 568,5;160,6;4 729,1;1 585,6;6 314,7;288,4;74,9;3,4;72,3
;október–december;4 567,9;152,3;4 720,2;1 590,1;6 310,3;285,8;74,8;3,2;72,4
;november–2020. január;4 544,4;159,0;4 703,3;1 602,4;6 305,7;303,3;74,6;3,4;72,1
;december–2020. február;4 542,9;161,8;4 704,6;1 596,8;6 301,5;303,3;74,7;3,4;72,1
2020.;január–március;4 527,4;171,0;4 698,4;1 599,0;6 297,4;330,7;74,6;3,6;71,9
;február–április;4 500,5;172,2;4 672,8;1 621,0;6 293,8;361,4;74,2;3,7;71,5
;március–május;4 463,2;188,7;4 652,0;1 638,0;6 290,0;397,6;74,0;4,1;71,0
;április–június;4 464,2;213,8;4 678,0;1 608,1;6 286,1;428,7;74,4;4,6;71,0
;május–július;4 490,0;223,3;4 713,3;1 568,9;6 282,2;421,1;75,0;4,7;71,5
;június–augusztus;4 528,8;213,3;4 742,1;1 536,2;6 278,3;392,8;75,5;4,5;72,1
;július–szeptember;4 544,7;206,0;4 750,7;1 523,9;6 274,6;368,5;75,7;4,3;72,4
;augusztus–október;4 543,6;198,8;4 742,4;1 528,4;6 270,9;356,1;75,6;4,2;72,5
;szeptember–november;4 537,9;199,8;4 737,8;1 529,2;6 267,0;358,4;75,6;4,2;72,4
;október–december;4 537,9;193,5;4 731,5;1 531,5;6 263,0;357,8;75,5;4,1;72,5
;november–2021. január;4 514,5;206,6;4 721,2;1 537,4;6 258,6;392,6;75,4;4,4;72,1
;december–2021. február;4 485,9;213,3;4 699,2;1 547,7;6 246,9;423,2;75,2;4,5;71,8
2021.;január–március;4 476,3;210,4;4 686,7;1 548,5;6 235,2;421,2;75,2;4,5;71,8
;február–április;4 484,7;201,7;4 686,4;1 536,8;6 223,2;399,5;75,3;4,3;72,1
;március–május;4 496,7;195,0;4 691,6;1 526,2;6 217,8;376,4;75,5;4,2;72,3
;április–június;4 524,4;195,1;4 719,5;1 492,4;6 211,8;356,9;76,0;4,1;72,8
;május–július;4 549,1;194,2;4 743,2;1 463,2;6 206,4;336,9;76,4;4,1;73,3
;június–augusztus;4 558,5;196,8;4 755,3;1 446,1;6 201,4;329,3;76,7;4,1;73,5
;július–szeptember;4 560,8;187,3;4 748,0;1 448,9;6 196,9;315,1;76,6;3,9;73,6
;augusztus–október;4 572,6;182,5;4 755,1;1 437,4;6 192,4;303,9;76,8;3,8;73,8
;szeptember–november;4 579,9;174,6;4 754,5;1 433,4;6 187,9;290,7;76,8;3,7;74,0
;október–december;4 580,0;177,6;4 757,6;1 425,4;6 183,0;293,3;76,9;3,7;74,1
;november–2022. január;4 568,0;180,5;4 748,5;1 429,0;6 177,5;304,2;76,9;3,8;73,9
